scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
30yr_0060m_h192,30,0060,,7,GA-only-scale-check,10,0,0,0,0,37.699999999999996,1,,,1.2042742320336401
100yr_0060m_h155,100,0060,,7,GA-only-scale-check,10,0,0,0,0,37.699999999999996,1,,,1.1803221020381898
80yr_0060m_h135,80,0060,,7,GA-only-scale-check,10,0,0,0,0,37.699999999999996,1,,,1.1524141859263182
30yr_0060m_h135,30,0060,,7,GA-only-scale-check,10,0,0,0,0,37.699999999999996,1,,,1.1661326179746538
80yr_0060m_h190,80,0060,,7,GA-only-scale-check,10,0,0,0,0,37.699999999999996,1,,,1.1317276351619512
10yr_0060m_h138,10,0060,,7,GA-only-scale-check,10,0,0,0,0,37.699999999999996,1,,,1.1327940318733454
80yr_0060m_h186,80,0060,,7,GA-only-scale-check,10,0,0,0,0,37.699999999999996,1,,,1.14703294984065
80yr_0060m_h188,80,0060,,7,GA-only-scale-check,10,0,0,0,0,37.699999999999996,1,,,1.1600611340254545
30yr_0060m_h193,30,0060,,7,GA-only-scale-check,10,0,0,0,0,37.699999999999996,1,,,1.1934967460110784
10yr_0060m_h193,10,0060,,7,GA-only-scale-check,10,0,0,0,0,37.699999999999996,1,,,1.1771494830027223
10yr_0360m_h729,10,0360,,7,GA-only-scale-check,10,0,0,0,0,135.20000000000005,1,,,4.224884897004813
50yr_0360m_h714,50,0360,,7,GA-only-scale-check,10,0,0,0,0,135.20000000000005,1,,,4.172401505056769
50yr_0360m_h731,50,0360,,7,GA-only-scale-check,10,0,0,0,0,135.20000000000005,1,,,4.064862901112065
80yr_0360m_h737,80,0360,,7,GA-only-scale-check,10,0,0,0,0,135.20000000000005,1,,,4.039029346080497
20yr_0360m_h635,20,0360,,7,GA-only-scale-check,10,0,0,0,0,135.20000000000005,1,,,4.0418307390064
80yr_0360m_h672,80,0360,,7,GA-only-scale-check,10,0,0,0,0,135.20000000000005,1,,,4.053647586144507
20yr_0360m_h646,20,0360,,7,GA-only-scale-check,10,0,0,0,0,135.20000000000005,1,,,4.065252028172836
80yr_0360m_h684,80,0360,,7,GA-only-scale-check,10,0,0,0,0,135.20000000000005,1,,,4.062911293003708
50yr_0360m_h729,50,0360,,7,GA-only-scale-check,10,0,0,0,0,135.20000000000005,1,,,4.023310934891924
10yr_0360m_h720,10,0360,,7,GA-only-scale-check,10,0,0,0,0,135.20000000000005,1,,,4.0401877600234
50yr_1440m_h1211,50,1440,,7,GA-only-scale-check,10,0,0,0,0,486.2000000000001,1,,,14.617587321903557
100yr_1440m_h1133,100,1440,,7,GA-only-scale-check,10,0,0,0,0,486.2000000000001,1,,,14.5507999190595
30yr_1440m_h1202,30,1440,,7,GA-only-scale-check,10,0,0,0,0,486.2000000000001,1,,,14.473655647831038
10yr_1440m_h1137,10,1440,,7,GA-only-scale-check,10,0,0,0,0,486.2000000000001,1,,,14.530689883977175
20yr_1440m_h1172,20,1440,,7,GA-only-scale-check,10,0,0,0,0,486.2000000000001,1,,,14.465537778101861
10yr_1440m_h1121,10,1440,,7,GA-only-scale-check,10,0,0,0,0,486.2000000000001,1,,,14.53965218598023
30yr_1440m_h1216,30,1440,,7,GA-only-scale-check,10,0,0,0,0,486.2000000000001,1,,,14.649317221017554
50yr_1440m_h1132,50,1440,,7,GA-only-scale-check,10,0,0,0,0,486.2000000000001,1,,,14.720702079124749
80yr_1440m_h1237,80,1440,,7,GA-only-scale-check,10,0,0,0,0,486.2000000000001,1,,,14.499026579083875
100yr_1440m_h1141,100,1440,,7,GA-only-scale-check,10,0,0,0,0,486.2000000000001,1,,,14.46543362410739
