 step    level        vol | act0 | act1 | act2 | act3 | act4 | act5
    0   4.7000        0.0 | 0.6500 | 0.4309 | 0.3119 | 0.1928 | 0.0464 | -0.1000
    1   4.7000        0.0 | 0.6500 | 0.4309 | 0.3119 | 0.1928 | 0.0464 | -0.1000
    2   4.7000        0.0 | 0.6500 | 0.4309 | 0.3119 | 0.1928 | 0.0464 | -0.1000
    3   4.7000        0.0 | 0.6500 | 0.4309 | 0.3119 | 0.1928 | 0.0464 | -0.1000
    4   4.7000        0.0 | 0.6500 | 0.4309 | 0.3119 | 0.1928 | 0.0464 | -0.1000
    5   4.7000        0.0 | 0.6500 | 0.4309 | 0.3119 | 0.1928 | 0.0464 | -0.1000
   60   6.8823     4108.3 | 0.6500 | 0.5846 | 0.5182 | 0.4507 | 0.3895 | 0.3252
  120  10.0000    17021.0 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.4996
  180  10.0000    30623.7 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.5000
  240  10.0000    41998.7 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.5000
  300  10.0000    50246.3 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.5000
  360  10.0000    56201.8 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.5000
  420  10.0000    60790.5 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.5000
  480  10.0000    64725.6 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.5000
  540  10.0000    68288.2 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.5000
  600  10.0000    71320.7 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.5000
  660  10.0000    73517.3 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.5000
  720  10.0000    74940.0 | 0.6500 | 0.6091 | 0.5681 | 0.5272 | 0.5136 | 0.5000
final level: 10, total steps: 748
greedy replay action counts: [749, 0, 0, 0, 0, 0]
