scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,1,GA-guided,10,0,0,0,0,37.699999999999996,1,,,0.047898967983201146
30yr_0060m_h214,30,0060,,1,GA-guided,10,7,82,35,3,40.06533624635996,1,,,0.04694191110320389
20yr_0180m_h435,20,0180,,1,GA-guided,10,0,0,0,0,76.70000000000005,1,,,0.08732625911943614
50yr_0360m_h678,50,0360,,1,GA-guided,10,0,0,0,0,135.20000000000005,1,,,0.15084038209170103
10yr_0180m_h385,10,0180,,1,GA-guided,10,0,0,0,0,76.70000000000005,1,,,0.0834778209682554
20yr_1440m_h1149,20,1440,,1,GA-guided,10,0,0,0,0,486.2000000000001,1,,,0.5122310458682477
20yr_0060m_h216,20,0060,,1,GA-guided,10,10,80,33,4,39.22873455003706,1,,,0.04680459713563323
10yr_0240m_h515,10,0240,,1,GA-guided,10,0,0,0,0,96.2,1,,,0.10205284785479307
20yr_0120m_h366,20,0120,,1,GA-guided,10,0,0,0,0,57.20000000000001,1,,,0.06649663299322128
10yr_1080m_h1061,10,1080,,1,GA-guided,10,0,0,0,0,369.20000000000005,1,,,0.38220683787949383
100yr_0720m_h964,100,0720,,1,GA-guided,10,0,0,0,0,252.20000000000007,1,,,0.28037258703261614
100yr_0540m_h862,100,0540,,1,GA-guided,10,0,0,0,0,193.70000000000002,1,,,0.22061102907173336
30yr_0720m_h988,30,0720,,1,GA-guided,10,0,0,0,0,252.20000000000007,1,,,0.2707544839940965
100yr_1440m_h1202,100,1440,,1,GA-guided,10,0,0,0,0,486.2000000000001,1,,,0.5066603037994355
10yr_0180m_h429,10,0180,,1,GA-guided,10,0,0,0,0,76.70000000000005,1,,,0.08239640691317618
80yr_0240m_h578,80,0240,,1,GA-guided,10,0,0,0,0,96.2,1,,,0.108071283204481
80yr_1440m_h1188,80,1440,,1,GA-guided,10,0,0,0,0,486.2000000000001,1,,,0.5150581861380488
80yr_0720m_h952,80,0720,,1,GA-guided,10,0,0,0,0,252.20000000000007,1,,,0.27203772589564323
100yr_0240m_h602,100,0240,,1,GA-guided,10,0,0,0,0,96.2,1,,,0.10813376097939909
100yr_0240m_h549,100,0240,,1,GA-guided,10,0,0,0,0,96.2,1,,,0.10806770995259285
100yr_0120m_h322,100,0120,,1,GA-guided,10,0,0,0,0,57.20000000000001,1,,,0.06841573817655444
100yr_0180m_h465,100,0180,,1,GA-guided,10,0,0,0,0,76.70000000000005,1,,,0.08818006794899702
30yr_0240m_h619,30,0240,,1,GA-guided,10,0,0,0,0,96.2,1,,,0.10556266503408551
50yr_0240m_h616,50,0240,,1,GA-guided,10,0,0,0,0,96.2,1,,,0.11441288609057665
50yr_1080m_h1083,50,1080,,1,GA-guided,10,0,0,0,0,369.20000000000005,1,,,0.38948042900301516
100yr_0240m_h585,100,0240,,1,GA-guided,10,0,0,0,0,96.2,1,,,0.106892951996997
100yr_0120m_h277,100,0120,,1,GA-guided,10,5,128,12,0,62.470574480203304,1,,,0.07014895603060722
10yr_0360m_h672,10,0360,,1,GA-guided,10,0,0,0,0,135.20000000000005,1,,,0.14156421180814505
80yr_0060m_h246,80,0060,,1,GA-guided,10,5,63,28,0,41.19625209374084,1,,,0.047498893924057484
20yr_0240m_h588,20,0240,,1,GA-guided,10,0,0,0,0,96.2,1,,,0.1055582850240171
