scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,1,PSO-guided,10,0,0,0,0,37.699999999999996,1,,,0.063843066804111
30yr_0060m_h214,30,0060,,1,PSO-guided,10,0,0,0,0,37.699999999999996,1,,,0.06618598219938576
20yr_0180m_h435,20,0180,,1,PSO-guided,10,0,0,0,0,76.70000000000005,1,,,0.13686247589066625
50yr_0360m_h678,50,0360,,1,PSO-guided,10,0,0,0,0,135.20000000000005,1,,,0.1828914808575064
10yr_0180m_h385,10,0180,,1,PSO-guided,10,0,0,0,0,76.70000000000005,1,,,0.09256735304370522
20yr_1440m_h1149,20,1440,,1,PSO-guided,10,0,0,0,0,486.2000000000001,1,,,0.5766136769670993
20yr_0060m_h216,20,0060,,1,PSO-guided,10,0,0,0,0,37.699999999999996,1,,,0.05252916784957051
10yr_0240m_h515,10,0240,,1,PSO-guided,10,0,0,0,0,96.2,1,,,0.11985688703134656
20yr_0120m_h366,20,0120,,1,PSO-guided,10,0,0,0,0,57.20000000000001,1,,,0.09459418593905866
10yr_1080m_h1061,10,1080,,1,PSO-guided,10,0,0,0,0,369.20000000000005,1,,,0.4322633990086615
100yr_0720m_h964,100,0720,,1,PSO-guided,10,0,0,0,0,252.20000000000007,1,,,0.40966859203763306
100yr_0540m_h862,100,0540,,1,PSO-guided,10,0,0,0,0,193.70000000000002,1,,,0.24864814803004265
30yr_0720m_h988,30,0720,,1,PSO-guided,10,0,0,0,0,252.20000000000007,1,,,0.32967848400585353
100yr_1440m_h1202,100,1440,,1,PSO-guided,10,0,0,0,0,486.2000000000001,1,,,0.5704589451197535
10yr_0180m_h429,10,0180,,1,PSO-guided,10,0,0,0,0,76.70000000000005,1,,,0.09598303004167974
80yr_0240m_h578,80,0240,,1,PSO-guided,10,0,0,0,0,96.2,1,,,0.154065215960145
80yr_1440m_h1188,80,1440,,1,PSO-guided,10,0,0,0,0,486.2000000000001,1,,,0.5689308568835258
80yr_0720m_h952,80,0720,,1,PSO-guided,10,0,0,0,0,252.20000000000007,1,,,0.38725687097758055
100yr_0240m_h602,100,0240,,1,PSO-guided,10,0,0,0,0,96.2,1,,,0.12299765599891543
100yr_0240m_h549,100,0240,,1,PSO-guided,10,0,0,0,0,96.2,1,,,0.13356119906529784
100yr_0120m_h322,100,0120,,1,PSO-guided,10,0,0,0,0,57.20000000000001,1,,,0.09492041589692235
100yr_0180m_h465,100,0180,,1,PSO-guided,10,0,0,0,0,76.70000000000005,1,,,0.10937071102671325
30yr_0240m_h619,30,0240,,1,PSO-guided,10,0,0,0,0,96.2,1,,,0.12147716409526765
50yr_0240m_h616,50,0240,,1,PSO-guided,10,0,0,0,0,96.2,1,,,0.13277656584978104
50yr_1080m_h1083,50,1080,,1,PSO-guided,10,0,0,0,0,369.20000000000005,1,,,0.4901853969786316
100yr_0240m_h585,100,0240,,1,PSO-guided,10,0,0,0,0,96.2,1,,,0.1145980260334909
100yr_0120m_h277,100,0120,,1,PSO-guided,10,0,0,0,0,57.20000000000001,1,,,0.08607028494589031
10yr_0360m_h672,10,0360,,1,PSO-guided,10,0,0,0,0,135.20000000000005,1,,,0.16847526305355132
80yr_0060m_h246,80,0060,,1,PSO-guided,10,0,0,0,0,37.699999999999996,1,,,0.04918030905537307
20yr_0240m_h588,20,0240,,1,PSO-guided,10,0,0,0,0,96.2,1,,,0.13844022690318525
