scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,2,GA-guided-alfix_full,7.929407666779241,10,70,29,0,38.8128227620707,0,,,0.0967696369625628
30yr_0060m_h214,30,0060,,2,GA-guided-alfix_full,7.834630208877427,10,76,32,0,38.942142327416185,0,,,0.09802053915336728
20yr_0180m_h435,20,0180,,2,GA-guided-alfix_full,7.672294986572078,9,149,41,0,79.22569587350446,0,,,0.16820663679391146
50yr_0360m_h678,50,0360,,2,GA-guided-alfix_full,7.757095666188675,18,290,52,3,136.79936775777793,0,,,0.28161665704101324
10yr_0180m_h385,10,0180,,2,GA-guided-alfix_full,7.550217688728154,7,144,23,0,78.57614767076754,0,,,0.16675482410937548
20yr_1440m_h1149,20,1440,,2,GA-guided-alfix_full,8.03923498706752,48,418,30,11,485.19323045333016,0,,,0.9220906880218536
20yr_0060m_h216,20,0060,,2,GA-guided-alfix_full,7.9114500635278135,10,71,30,0,38.796532028487526,0,,,0.06051048100925982
10yr_0240m_h515,10,0240,,2,GA-guided-alfix_full,7.500801877616731,14,182,20,1,96.75989959035226,0,,,0.18079889891669154
20yr_0120m_h366,20,0120,,2,GA-guided-alfix_full,8.049985190737175,11,107,42,0,59.4061167821074,0,,,0.09964783093892038
10yr_1080m_h1061,10,1080,,2,GA-guided-alfix_full,8.058194795368697,30,314,30,2,370.44010334983795,0,,,0.7977529990021139
100yr_0720m_h964,100,0720,,2,GA-guided-alfix_full,8.041252555240932,27,409,65,0,255.85742100030825,0,,,0.5893508209846914
100yr_0540m_h862,100,0540,,2,GA-guided-alfix_full,8.030810385210822,18,362,78,0,198.45421694094915,0,,,0.3626103699207306
30yr_0720m_h988,30,0720,,2,GA-guided-alfix_full,8.042171021174418,32,338,51,1,254.02604007983,0,,,0.5785107731353492
100yr_1440m_h1202,100,1440,,2,GA-guided-alfix_full,8.069420434349537,50,478,65,2,489.3762282883614,0,,,0.9778728249948472
10yr_0180m_h429,10,0180,,2,GA-guided-alfix_full,7.564620929190757,8,137,28,0,78.12278079299878,0,,,0.1867677210830152
80yr_0240m_h578,80,0240,,2,GA-guided-alfix_full,8.0452276835128,9,217,64,0,100.80773101199128,0,,,0.19652723614126444
80yr_1440m_h1188,80,1440,,2,GA-guided-alfix_full,8.063370201863682,40,471,54,0,489.558675123561,0,,,0.8792008419986814
80yr_0720m_h952,80,0720,,2,GA-guided-alfix_full,8.033707240937126,24,416,47,0,255.62826878917556,0,,,0.5405520689673722
100yr_0240m_h602,100,0240,,2,GA-guided-alfix_full,8.26705092122134,15,214,72,0,100.69790094269072,0,,,0.24113081116229296
100yr_0240m_h549,100,0240,,2,GA-guided-alfix_full,8.612609904909657,14,230,71,2,101.18726645951399,0,,,0.22879124293103814
100yr_0120m_h322,100,0120,,2,GA-guided-alfix_full,8.208899647997272,11,130,60,0,60.81519568902306,0,,,0.10381116694770753
100yr_0180m_h465,100,0180,,2,GA-guided-alfix_full,8.195968598312474,16,171,67,0,80.17146349385408,0,,,0.17477013892494142
30yr_0240m_h619,30,0240,,2,GA-guided-alfix_full,8.05049343838623,13,199,49,0,99.57834933627433,0,,,0.21922705485485494
50yr_0240m_h616,50,0240,,2,GA-guided-alfix_full,8.251166338104106,12,212,54,0,100.28285065269247,0,,,0.1575738270767033
50yr_1080m_h1083,50,1080,,2,GA-guided-alfix_full,8.056219557286884,30,422,48,0,372.62708455242023,0,,,0.5835365960374475
100yr_0240m_h585,100,0240,,2,GA-guided-alfix_full,8.29805575542264,8,225,68,0,101.70349420789185,0,,,0.1806840831413865
100yr_0120m_h277,100,0120,,2,GA-guided-alfix_full,8.363557312908462,9,162,48,0,61.230804451626845,0,,,0.12123837904073298
10yr_0360m_h672,10,0360,,2,GA-guided-alfix_full,7.805847248451455,15,217,30,0,136.8419889504451,0,,,0.28860031394287944
80yr_0060m_h246,80,0060,,2,GA-guided-alfix_full,8.181445998000981,10,82,40,0,39.72917778095618,0,,,0.0884095779620111
20yr_0240m_h588,20,0240,,2,GA-guided-alfix_full,7.758568424351793,10,183,44,0,97.64007151197228,0,,,0.22107408801093698
