scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,2,PSO-guided-alfix_full,7.370962553173985,11,52,34,1,38.287092458348404,0,,,0.0871701161377132
30yr_0060m_h214,30,0060,,2,PSO-guided-alfix_full,7.369259280873047,11,57,36,0,38.548891330779455,0,,,0.07793595595285296
20yr_0180m_h435,20,0180,,2,PSO-guided-alfix_full,7.904024996638129,10,134,50,3,77.63090327739889,0,,,0.14074382884427905
50yr_0360m_h678,50,0360,,2,PSO-guided-alfix_full,7.975004333757811,16,253,68,4,136.89022088944324,0,,,0.26554703805595636
10yr_0180m_h385,10,0180,,2,PSO-guided-alfix_full,7.832631870062032,10,137,27,4,76.82423644236736,0,,,0.1759482359047979
20yr_1440m_h1149,20,1440,,2,PSO-guided-alfix_full,7.516489774927834,18,434,0,1,488.3664718282712,0,,,0.8038647139910609
20yr_0060m_h216,20,0060,,2,PSO-guided-alfix_full,7.577477985783494,12,58,34,1,38.25685209806498,0,,,0.06983233313076198
10yr_0240m_h515,10,0240,,2,PSO-guided-alfix_full,7.920639183182024,10,166,26,3,96.7105466478098,0,,,0.18358717788942158
20yr_0120m_h366,20,0120,,2,PSO-guided-alfix_full,7.932358252677015,11,86,48,0,59.17237754325119,0,,,0.16177607094869018
10yr_1080m_h1061,10,1080,,2,PSO-guided-alfix_full,7.566964267413467,12,343,0,0,371.9844025982534,0,,,0.6314005290623754
100yr_0720m_h964,100,0720,,2,PSO-guided-alfix_full,8.05431281918787,28,410,58,2,256.19718837229925,0,,,0.523037439910695
100yr_0540m_h862,100,0540,,2,PSO-guided-alfix_full,8.048904415409408,18,364,76,7,197.0863117806972,0,,,0.34469298110343516
30yr_0720m_h988,30,0720,,2,PSO-guided-alfix_full,8.076206380334835,18,367,28,2,255.79277322897246,0,,,0.49075541202910244
100yr_1440m_h1202,100,1440,,2,PSO-guided-alfix_full,7.513690560401196,18,570,0,0,490.6364677125829,0,,,0.7234343998134136
10yr_0180m_h429,10,0180,,2,PSO-guided-alfix_full,7.732220036641374,10,132,31,3,77.03321513327347,0,,,0.11137651209719479
80yr_0240m_h578,80,0240,,2,PSO-guided-alfix_full,7.966593619929209,10,199,73,2,98.34947520131827,0,,,0.1691691088490188
80yr_1440m_h1188,80,1440,,2,PSO-guided-alfix_full,7.729180779116337,30,536,6,0,489.4855564960683,0,,,0.7639577297959477
80yr_0720m_h952,80,0720,,2,PSO-guided-alfix_full,8.155035389667715,18,433,28,1,258.41761863965905,0,,,0.3701818399131298
100yr_0240m_h602,100,0240,,2,PSO-guided-alfix_full,8.011919093643966,11,192,78,0,100.96785813177527,0,,,0.13679028511978686
100yr_0240m_h549,100,0240,,2,PSO-guided-alfix_full,7.73925522882258,10,217,75,3,98.70963596532357,0,,,0.13319743401370943
100yr_0120m_h322,100,0120,,2,PSO-guided-alfix_full,7.505235680080248,11,104,66,1,59.57194262440187,0,,,0.08804742293432355
100yr_0180m_h465,100,0180,,2,PSO-guided-alfix_full,7.965860330001178,11,151,74,1,80.4579217364911,0,,,0.09948682505637407
30yr_0240m_h619,30,0240,,2,PSO-guided-alfix_full,7.970396209503823,14,169,60,1,99.21391785145468,0,,,0.12001338601112366
50yr_0240m_h616,50,0240,,2,PSO-guided-alfix_full,7.946544922491309,10,192,65,3,99.65844449234496,0,,,0.11900652595795691
50yr_1080m_h1083,50,1080,,2,PSO-guided-alfix_full,7.519817369871221,20,487,0,0,374.25476628336673,0,,,0.47938422206789255
100yr_0240m_h585,100,0240,,2,PSO-guided-alfix_full,7.993113903563998,14,192,83,4,98.17501815212071,0,,,0.15175024583004415
100yr_0120m_h277,100,0120,,2,PSO-guided-alfix_full,7.367868157150975,10,145,56,3,58.73321370539847,0,,,0.08982410817407072
10yr_0360m_h672,10,0360,,2,PSO-guided-alfix_full,8.027431093741386,16,212,27,2,136.72768123847123,0,,,0.1888700840063393
80yr_0060m_h246,80,0060,,2,PSO-guided-alfix_full,8.088960448868034,10,67,42,0,39.58722035044136,0,,,0.07062592101283371
20yr_0240m_h588,20,0240,,2,PSO-guided-alfix_full,7.989649455049841,10,183,40,2,98.47335685447203,0,,,0.1369120900053531
