scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,2,GA-guided-alfix_orig,10,0,0,0,0,37.699999999999996,1,,,0.0789952811319381
30yr_0060m_h214,30,0060,,2,GA-guided-alfix_orig,10,5,36,22,0,40.05407035376933,1,,,0.0653430640231818
20yr_0180m_h435,20,0180,,2,GA-guided-alfix_orig,10,10,105,66,0,82.67606704869499,1,,,0.0935761439613998
50yr_0360m_h678,50,0360,,2,GA-guided-alfix_orig,10,10,151,96,1,144.3946654681963,1,,,0.26445490191690624
10yr_0180m_h385,10,0180,,2,GA-guided-alfix_orig,10,10,90,52,1,80.8260422574547,1,,,0.1224343879148364
20yr_1440m_h1149,20,1440,,2,GA-guided-alfix_orig,10,18,229,59,2,490.42700729560715,1,,,0.5722119719721377
20yr_0060m_h216,20,0060,,2,GA-guided-alfix_orig,10,5,9,4,0,37.91718749999999,1,,,0.04813268897123635
10yr_0240m_h515,10,0240,,2,GA-guided-alfix_orig,10,10,111,54,1,100.49872701994842,1,,,0.10788434301503003
20yr_0120m_h366,20,0120,,2,GA-guided-alfix_orig,10,5,76,48,0,62.18532223019345,1,,,0.10787204816006124
10yr_1080m_h1061,10,1080,,2,GA-guided-alfix_orig,10,18,158,61,0,373.3684797384043,1,,,0.6781805770006031
100yr_0720m_h964,100,0720,,2,GA-guided-alfix_orig,10,24,359,95,2,262.2490785287397,1,,,0.47308455780148506
100yr_0540m_h862,100,0540,,2,GA-guided-alfix_orig,10,20,293,115,1,201.5338708553214,1,,,0.37609889078885317
30yr_0720m_h988,30,0720,,2,GA-guided-alfix_orig,10,16,287,75,0,257.98068571334136,1,,,0.36024634493514895
100yr_1440m_h1202,100,1440,,2,GA-guided-alfix_orig,10,34,418,82,1,491.6542219975461,1,,,0.6021337129641324
10yr_0180m_h429,10,0180,,2,GA-guided-alfix_orig,10,10,90,54,1,80.97211136907573,1,,,0.1283289089333266
80yr_0240m_h578,80,0240,,2,GA-guided-alfix_orig,10,2,141,0,0,101.54781250000002,1,,,0.16029429715126753
80yr_1440m_h1188,80,1440,,2,GA-guided-alfix_orig,10,39,315,87,1,491.07683714857114,1,,,0.549323322949931
80yr_0720m_h952,80,0720,,2,GA-guided-alfix_orig,10,10,351,76,0,260.09777851777073,1,,,0.38259098189882934
100yr_0240m_h602,100,0240,,2,GA-guided-alfix_orig,10,2,107,0,0,100.21968750000002,1,,,0.1678498238325119
100yr_0240m_h549,100,0240,,2,GA-guided-alfix_orig,10,2,185,0,0,103.2665625,1,,,0.1509348580148071
100yr_0120m_h322,100,0120,,2,GA-guided-alfix_orig,10,2,79,0,0,60.12593750000001,1,,,0.10929597588256001
100yr_0180m_h465,100,0180,,2,GA-guided-alfix_orig,10,2,83,0,0,79.78218750000005,1,,,0.11821962078101933
30yr_0240m_h619,30,0240,,2,GA-guided-alfix_orig,10,2,95,0,0,99.75093750000002,1,,,0.1479471898637712
50yr_0240m_h616,50,0240,,2,GA-guided-alfix_orig,10,2,101,0,0,99.98531250000002,1,,,0.17130438308231533
50yr_1080m_h1083,50,1080,,2,GA-guided-alfix_orig,10,18,363,67,1,374.50474686918454,1,,,0.4383417940698564
100yr_0240m_h585,100,0240,,2,GA-guided-alfix_orig,10,2,145,0,0,101.70406250000002,1,,,0.14827553811483085
100yr_0120m_h277,100,0120,,2,GA-guided-alfix_orig,10,10,119,72,0,64.02365230586885,1,,,0.0735060169827193
10yr_0360m_h672,10,0360,,2,GA-guided-alfix_orig,10,10,125,66,0,141.02711070733073,1,,,0.15802903403528035
80yr_0060m_h246,80,0060,,2,GA-guided-alfix_orig,10,5,49,30,0,40.965380658266064,1,,,0.0498550389893353
20yr_0240m_h588,20,0240,,2,GA-guided-alfix_orig,10,10,118,76,0,103.32123614931865,1,,,0.11184679414145648
