scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,2,PSO-guided-alfix_orig,10,0,0,0,0,37.699999999999996,1,,,0.1222035859245807
30yr_0060m_h214,30,0060,,2,PSO-guided-alfix_orig,10,0,0,0,0,37.699999999999996,1,,,0.13180299592204392
20yr_0180m_h435,20,0180,,2,PSO-guided-alfix_orig,10,5,98,64,0,83.35874804320197,1,,,0.23434419208206236
50yr_0360m_h678,50,0360,,2,PSO-guided-alfix_orig,10,10,199,97,1,146.63209409517535,1,,,0.49626643396914005
10yr_0180m_h385,10,0180,,2,PSO-guided-alfix_orig,10,5,83,54,0,82.12956386899887,1,,,0.2680500780697912
20yr_1440m_h1149,20,1440,,2,PSO-guided-alfix_orig,10,10,224,76,2,493.4288417917903,1,,,1.2015592867974192
20yr_0060m_h216,20,0060,,2,PSO-guided-alfix_orig,10,0,0,0,0,37.699999999999996,1,,,0.14460067194886506
10yr_0240m_h515,10,0240,,2,PSO-guided-alfix_orig,10,10,103,64,0,102.03681841097006,1,,,0.19417077815160155
20yr_0120m_h366,20,0120,,2,PSO-guided-alfix_orig,10,5,23,14,0,58.628125000000004,1,,,0.12220939411781728
10yr_1080m_h1061,10,1080,,2,PSO-guided-alfix_orig,10,10,200,82,4,376.3058932236111,1,,,1.069073785096407
100yr_0720m_h964,100,0720,,2,PSO-guided-alfix_orig,10,10,275,141,2,265.9345782348379,1,,,0.7107819861266762
100yr_0540m_h862,100,0540,,2,PSO-guided-alfix_orig,10,2,184,0,0,200.72750000000002,1,,,0.4221268850378692
30yr_0720m_h988,30,0720,,2,PSO-guided-alfix_orig,10,10,217,119,1,264.1981520124929,1,,,0.5701319652143866
100yr_1440m_h1202,100,1440,,2,PSO-guided-alfix_orig,10,12,402,81,2,496.51212299670755,1,,,1.1294266830664128
10yr_0180m_h429,10,0180,,2,PSO-guided-alfix_orig,10,5,74,48,0,81.82634804661595,1,,,0.20023784320801497
80yr_0240m_h578,80,0240,,2,PSO-guided-alfix_orig,10,5,141,74,0,106.10436691445068,1,,,0.21705550397746265
80yr_1440m_h1188,80,1440,,2,PSO-guided-alfix_orig,10,12,382,80,1,496.10208743249933,1,,,1.1842288579791784
80yr_0720m_h952,80,0720,,2,PSO-guided-alfix_orig,10,10,256,129,1,265.86433773631836,1,,,0.46323793893679976
100yr_0240m_h602,100,0240,,2,PSO-guided-alfix_orig,10,5,78,24,0,100.44062500000001,1,,,0.2045875492040068
100yr_0240m_h549,100,0240,,2,PSO-guided-alfix_orig,10,10,190,100,2,106.73539581367388,1,,,0.2079576349351555
100yr_0120m_h322,100,0120,,2,PSO-guided-alfix_orig,10,5,77,50,0,63.110596299376496,1,,,0.12506325193680823
100yr_0180m_h465,100,0180,,2,PSO-guided-alfix_orig,10,5,71,38,0,81.59687500000005,1,,,0.1432230519130826
30yr_0240m_h619,30,0240,,2,PSO-guided-alfix_orig,10,5,83,46,0,102.09687500000001,1,,,0.14894648105837405
50yr_0240m_h616,50,0240,,2,PSO-guided-alfix_orig,10,5,82,40,0,101.65937500000001,1,,,0.21941021201200783
50yr_1080m_h1083,50,1080,,2,PSO-guided-alfix_orig,10,10,323,94,1,379.05221946770916,1,,,0.7507512280717492
100yr_0240m_h585,100,0240,,2,PSO-guided-alfix_orig,10,5,139,66,0,105.61250000000001,1,,,0.16461613890714943
100yr_0120m_h277,100,0120,,2,PSO-guided-alfix_orig,10,5,104,68,0,64.66706857957435,1,,,0.13106986391358078
10yr_0360m_h672,10,0360,,2,PSO-guided-alfix_orig,10,10,123,78,3,141.69333447753706,1,,,0.2382214639801532
80yr_0060m_h246,80,0060,,2,PSO-guided-alfix_orig,10,0,0,0,0,37.699999999999996,1,,,0.07472699717618525
20yr_0240m_h588,20,0240,,2,PSO-guided-alfix_orig,10,10,131,78,2,103.54273833003043,1,,,0.20527071808464825
