scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,1,GA-guided-ctrl,10,0,0,0,0,37.699999999999996,1,,,0.06436745286919177
30yr_0060m_h214,30,0060,,1,GA-guided-ctrl,10,7,82,35,3,40.06533624635996,1,,,0.07183884410187602
20yr_0180m_h435,20,0180,,1,GA-guided-ctrl,10,0,0,0,0,76.70000000000005,1,,,0.158474629977718
50yr_0360m_h678,50,0360,,1,GA-guided-ctrl,10,0,0,0,0,135.20000000000005,1,,,0.1944773062132299
10yr_0180m_h385,10,0180,,1,GA-guided-ctrl,10,0,0,0,0,76.70000000000005,1,,,0.09571570111438632
20yr_1440m_h1149,20,1440,,1,GA-guided-ctrl,10,0,0,0,0,486.2000000000001,1,,,0.6670970350969583
20yr_0060m_h216,20,0060,,1,GA-guided-ctrl,10,10,80,33,4,39.22873455003706,1,,,0.04906812100671232
10yr_0240m_h515,10,0240,,1,GA-guided-ctrl,10,0,0,0,0,96.2,1,,,0.1180388848297298
20yr_0120m_h366,20,0120,,1,GA-guided-ctrl,10,0,0,0,0,57.20000000000001,1,,,0.07234328100457788
10yr_1080m_h1061,10,1080,,1,GA-guided-ctrl,10,0,0,0,0,369.20000000000005,1,,,0.4743391659576446
100yr_0720m_h964,100,0720,,1,GA-guided-ctrl,10,0,0,0,0,252.20000000000007,1,,,0.28614355996251106
100yr_0540m_h862,100,0540,,1,GA-guided-ctrl,10,0,0,0,0,193.70000000000002,1,,,0.284185198135674
30yr_0720m_h988,30,0720,,1,GA-guided-ctrl,10,0,0,0,0,252.20000000000007,1,,,0.28185994597151875
100yr_1440m_h1202,100,1440,,1,GA-guided-ctrl,10,0,0,0,0,486.2000000000001,1,,,0.6002352631185204
10yr_0180m_h429,10,0180,,1,GA-guided-ctrl,10,0,0,0,0,76.70000000000005,1,,,0.08570538181811571
80yr_0240m_h578,80,0240,,1,GA-guided-ctrl,10,0,0,0,0,96.2,1,,,0.14011088898405433
80yr_1440m_h1188,80,1440,,1,GA-guided-ctrl,10,0,0,0,0,486.2000000000001,1,,,0.5642156559042633
80yr_0720m_h952,80,0720,,1,GA-guided-ctrl,10,0,0,0,0,252.20000000000007,1,,,0.28247922798618674
100yr_0240m_h602,100,0240,,1,GA-guided-ctrl,10,0,0,0,0,96.2,1,,,0.11360474489629269
100yr_0240m_h549,100,0240,,1,GA-guided-ctrl,10,0,0,0,0,96.2,1,,,0.13090418395586312
100yr_0120m_h322,100,0120,,1,GA-guided-ctrl,10,0,0,0,0,57.20000000000001,1,,,0.07158494321629405
100yr_0180m_h465,100,0180,,1,GA-guided-ctrl,10,0,0,0,0,76.70000000000005,1,,,0.09658724698238075
30yr_0240m_h619,30,0240,,1,GA-guided-ctrl,10,0,0,0,0,96.2,1,,,0.11195154581218958
50yr_0240m_h616,50,0240,,1,GA-guided-ctrl,10,0,0,0,0,96.2,1,,,0.12291855807416141
50yr_1080m_h1083,50,1080,,1,GA-guided-ctrl,10,0,0,0,0,369.20000000000005,1,,,0.4040392201859504
100yr_0240m_h585,100,0240,,1,GA-guided-ctrl,10,0,0,0,0,96.2,1,,,0.10975009691901505
100yr_0120m_h277,100,0120,,1,GA-guided-ctrl,10,5,128,12,0,62.470574480203304,1,,,0.0709017631597817
10yr_0360m_h672,10,0360,,1,GA-guided-ctrl,10,0,0,0,0,135.20000000000005,1,,,0.1440797687973827
80yr_0060m_h246,80,0060,,1,GA-guided-ctrl,10,5,63,28,0,41.19625209374084,1,,,0.04892768897116184
20yr_0240m_h588,20,0240,,1,GA-guided-ctrl,10,0,0,0,0,96.2,1,,,0.10641637607477605
