scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,1,PSO-guided-ctrl,10,0,0,0,0,37.699999999999996,1,,,0.10754169221036136
30yr_0060m_h214,30,0060,,1,PSO-guided-ctrl,10,0,0,0,0,37.699999999999996,1,,,0.10730374488048255
20yr_0180m_h435,20,0180,,1,PSO-guided-ctrl,10,0,0,0,0,76.70000000000005,1,,,0.185579749988392
50yr_0360m_h678,50,0360,,1,PSO-guided-ctrl,10,0,0,0,0,135.20000000000005,1,,,0.3324259801302105
10yr_0180m_h385,10,0180,,1,PSO-guided-ctrl,10,0,0,0,0,76.70000000000005,1,,,0.11472745891660452
20yr_1440m_h1149,20,1440,,1,PSO-guided-ctrl,10,0,0,0,0,486.2000000000001,1,,,0.9060610278975219
20yr_0060m_h216,20,0060,,1,PSO-guided-ctrl,10,0,0,0,0,37.699999999999996,1,,,0.06819894211366773
10yr_0240m_h515,10,0240,,1,PSO-guided-ctrl,10,0,0,0,0,96.2,1,,,0.21020248113200068
20yr_0120m_h366,20,0120,,1,PSO-guided-ctrl,10,0,0,0,0,57.20000000000001,1,,,0.13405275298282504
10yr_1080m_h1061,10,1080,,1,PSO-guided-ctrl,10,0,0,0,0,369.20000000000005,1,,,0.6541160331107676
100yr_0720m_h964,100,0720,,1,PSO-guided-ctrl,10,0,0,0,0,252.20000000000007,1,,,0.4776023000013083
100yr_0540m_h862,100,0540,,1,PSO-guided-ctrl,10,0,0,0,0,193.70000000000002,1,,,0.4143219571560621
30yr_0720m_h988,30,0720,,1,PSO-guided-ctrl,10,0,0,0,0,252.20000000000007,1,,,0.4938715798780322
100yr_1440m_h1202,100,1440,,1,PSO-guided-ctrl,10,0,0,0,0,486.2000000000001,1,,,0.7515075108967721
10yr_0180m_h429,10,0180,,1,PSO-guided-ctrl,10,0,0,0,0,76.70000000000005,1,,,0.11249048612080514
80yr_0240m_h578,80,0240,,1,PSO-guided-ctrl,10,0,0,0,0,96.2,1,,,0.20824856404215097
80yr_1440m_h1188,80,1440,,1,PSO-guided-ctrl,10,0,0,0,0,486.2000000000001,1,,,0.8224431199487299
80yr_0720m_h952,80,0720,,1,PSO-guided-ctrl,10,0,0,0,0,252.20000000000007,1,,,0.38347231317311525
100yr_0240m_h602,100,0240,,1,PSO-guided-ctrl,10,0,0,0,0,96.2,1,,,0.1511675571091473
100yr_0240m_h549,100,0240,,1,PSO-guided-ctrl,10,0,0,0,0,96.2,1,,,0.1522625209763646
100yr_0120m_h322,100,0120,,1,PSO-guided-ctrl,10,0,0,0,0,57.20000000000001,1,,,0.09133627102710307
100yr_0180m_h465,100,0180,,1,PSO-guided-ctrl,10,0,0,0,0,76.70000000000005,1,,,0.13448923896066844
30yr_0240m_h619,30,0240,,1,PSO-guided-ctrl,10,0,0,0,0,96.2,1,,,0.13895790511742234
50yr_0240m_h616,50,0240,,1,PSO-guided-ctrl,10,0,0,0,0,96.2,1,,,0.19392509502358735
50yr_1080m_h1083,50,1080,,1,PSO-guided-ctrl,10,0,0,0,0,369.20000000000005,1,,,0.48598128207959235
100yr_0240m_h585,100,0240,,1,PSO-guided-ctrl,10,0,0,0,0,96.2,1,,,0.13400171813555062
100yr_0120m_h277,100,0120,,1,PSO-guided-ctrl,10,0,0,0,0,57.20000000000001,1,,,0.10058323899284005
10yr_0360m_h672,10,0360,,1,PSO-guided-ctrl,10,0,0,0,0,135.20000000000005,1,,,0.1828475189395249
80yr_0060m_h246,80,0060,,1,PSO-guided-ctrl,10,0,0,0,0,37.699999999999996,1,,,0.07209965912625194
20yr_0240m_h588,20,0240,,1,PSO-guided-ctrl,10,0,0,0,0,96.2,1,,,0.14407554711215198
