scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,1,GA-guided-fix,8.908682772386552,10,66,31,1,39.06667653507868,0,,,0.06549594784155488
30yr_0060m_h214,30,0060,,1,GA-guided-fix,9.203178743020304,10,73,33,1,39.42470138321688,0,,,0.06761661497876048
20yr_0180m_h435,20,0180,,1,GA-guided-fix,9.507768646482223,10,120,50,1,80.48482636907835,0,,,0.15088292094878852
50yr_0360m_h678,50,0360,,1,GA-guided-fix,9.699544148026686,12,257,69,3,139.784747790311,0,,,0.26345073780976236
10yr_0180m_h385,10,0180,,1,GA-guided-fix,10,11,132,32,0,81.2274587841122,1,,,0.13994379388168454
20yr_1440m_h1149,20,1440,,1,GA-guided-fix,8.74779533149915,38,474,0,14,488.6113771038638,0,,,0.8004573090001941
20yr_0060m_h216,20,0060,,1,GA-guided-fix,10,5,74,30,0,40.38430668097879,1,,,0.05555782886222005
10yr_0240m_h515,10,0240,,1,GA-guided-fix,10,11,159,32,0,101.70336008060038,1,,,0.1433229809626937
20yr_0120m_h366,20,0120,,1,GA-guided-fix,9.808098220009466,10,103,42,0,60.94237490485802,0,,,0.08334433403797448
10yr_1080m_h1061,10,1080,,1,GA-guided-fix,9.087467195635211,17,345,12,1,374.1146427072507,0,,,0.46771993301808834
100yr_0720m_h964,100,0720,,1,GA-guided-fix,10,11,412,59,1,258.76328054970577,1,,,0.2893267781473696
100yr_0540m_h862,100,0540,,1,GA-guided-fix,10,11,343,86,3,199.99752399472865,1,,,0.23893190501257777
30yr_0720m_h988,30,0720,,1,GA-guided-fix,10,13,342,49,3,257.3153772224499,1,,,0.3552220750134438
100yr_1440m_h1202,100,1440,,1,GA-guided-fix,10,17,508,42,2,495.2869550842238,1,,,0.5890803090296686
10yr_0180m_h429,10,0180,,1,GA-guided-fix,10,11,126,36,2,79.14623460938459,1,,,0.08571114484220743
80yr_0240m_h578,80,0240,,1,GA-guided-fix,9.760220975794109,13,172,80,0,103.25807470355535,0,,,0.1118835718370974
80yr_1440m_h1188,80,1440,,1,GA-guided-fix,10,17,488,42,3,494.7174344728948,1,,,0.5985430649016052
80yr_0720m_h952,80,0720,,1,GA-guided-fix,10,11,397,51,4,257.26613331906754,1,,,0.3108411291614175
100yr_0240m_h602,100,0240,,1,GA-guided-fix,9.775112574629933,10,186,86,0,104.66784008848272,0,,,0.11254341783933342
100yr_0240m_h549,100,0240,,1,GA-guided-fix,9.532834929905512,11,206,81,2,102.78950423434107,0,,,0.11473067011684179
100yr_0120m_h322,100,0120,,1,GA-guided-fix,9.969246777503283,10,121,63,1,62.702481952142556,0,,,0.07116025779396296
100yr_0180m_h465,100,0180,,1,GA-guided-fix,10,10,159,72,0,84.30458129862481,1,,,0.09188923379406333
30yr_0240m_h619,30,0240,,1,GA-guided-fix,9.74027536846754,10,155,69,0,102.43204740562913,0,,,0.1388569639530033
50yr_0240m_h616,50,0240,,1,GA-guided-fix,9.855731275666791,10,173,75,0,103.4956822851391,0,,,0.11243206495419145
50yr_1080m_h1083,50,1080,,1,GA-guided-fix,10,19,422,43,6,375.9771601069873,1,,,0.4248871149029583
100yr_0240m_h585,100,0240,,1,GA-guided-fix,9.607024491703365,12,179,86,1,103.71671625510564,0,,,0.11311878799460828
100yr_0120m_h277,100,0120,,1,GA-guided-fix,9.470040100222048,10,139,59,2,61.23218574506246,0,,,0.07675357791595161
10yr_0360m_h672,10,0360,,1,GA-guided-fix,10,16,197,45,4,138.0958514102544,1,,,0.1479621878825128
80yr_0060m_h246,80,0060,,1,GA-guided-fix,9.648969560708082,10,82,38,0,40.46635470438358,0,,,0.0607404129114002
20yr_0240m_h588,20,0240,,1,GA-guided-fix,9.730859958843194,13,140,59,1,100.490014123864,0,,,0.10964322299696505
