scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,2,PSO-guided-fix,7.907507858402564,10,70,31,0,38.8597177293857,0,,,0.1218847488053143
30yr_0060m_h214,30,0060,,2,PSO-guided-fix,7.905804586101627,10,72,35,0,38.985764189466366,0,,,0.13389273593202233
20yr_0180m_h435,20,0180,,2,PSO-guided-fix,7.837819156526197,12,150,42,0,77.8483769419373,0,,,0.2304157381877303
50yr_0360m_h678,50,0360,,2,PSO-guided-fix,7.744648778868381,16,287,50,0,137.26661870322022,0,,,0.4995862408541143
10yr_0180m_h385,10,0180,,2,PSO-guided-fix,7.804370930382274,14,146,26,1,76.97292012541018,0,,,0.27550817909650505
20yr_1440m_h1149,20,1440,,2,PSO-guided-fix,8.12372490151783,38,435,13,6,487.13133729105505,0,,,1.7577506881207228
20yr_0060m_h216,20,0060,,2,PSO-guided-fix,7.889550255151137,10,69,32,0,38.81784225987186,0,,,0.12625549919903278
10yr_0240m_h515,10,0240,,2,PSO-guided-fix,7.883640987144663,16,173,24,1,96.65594594331458,0,,,0.2009587329812348
20yr_0120m_h366,20,0120,,2,PSO-guided-fix,7.872337222150002,10,99,48,0,58.830546400821426,0,,,0.16930209007114172
10yr_1080m_h1061,10,1080,,2,PSO-guided-fix,8.139292909639524,28,336,15,0,372.2011265740671,0,,,0.9380649400409311
100yr_0720m_h964,100,0720,,2,PSO-guided-fix,8.084068526426995,21,451,42,2,256.9661812277991,0,,,0.8011897939722985
100yr_0540m_h862,100,0540,,2,PSO-guided-fix,8.140301107842783,26,367,78,1,197.78650300267554,0,,,0.553621195955202
30yr_0720m_h988,30,0720,,2,PSO-guided-fix,8.104826469389048,22,393,18,1,255.37292173969595,0,,,0.572410041000694
100yr_1440m_h1202,100,1440,,2,PSO-guided-fix,8.149997894394778,50,517,45,4,489.1253651607383,0,,,1.3527084130328149
10yr_0180m_h429,10,0180,,2,PSO-guided-fix,7.79885748405318,15,137,30,1,77.13171251234226,0,,,0.18089401489123702
80yr_0240m_h578,80,0240,,2,PSO-guided-fix,7.807285427523788,15,202,72,0,98.67057497092958,0,,,0.25533701409585774
80yr_1440m_h1188,80,1440,,2,PSO-guided-fix,8.14579660423151,48,497,43,5,489.3302608249968,0,,,1.1801105008926243
80yr_0720m_h952,80,0720,,2,PSO-guided-fix,8.032609548826173,20,460,22,2,255.64874660512834,0,,,0.4423950209748
100yr_0240m_h602,100,0240,,2,PSO-guided-fix,8.07710181061894,16,206,77,2,99.66433181800977,0,,,0.1764853079803288
100yr_0240m_h549,100,0240,,2,PSO-guided-fix,7.890926839429985,11,224,74,1,99.22238697637646,0,,,0.13218398299068213
100yr_0120m_h322,100,0120,,2,PSO-guided-fix,8.11483194317742,10,122,66,0,60.86563788542262,0,,,0.09581275610253215
100yr_0180m_h465,100,0180,,2,PSO-guided-fix,8.026457478422397,14,167,71,0,79.69209032125457,0,,,0.17560561490245163
30yr_0240m_h619,30,0240,,2,PSO-guided-fix,8.084890844114955,16,179,61,1,98.48518741655167,0,,,0.22291643708012998
50yr_0240m_h616,50,0240,,2,PSO-guided-fix,8.079026600842427,16,190,68,0,99.04018050689952,0,,,0.19729900592938066
50yr_1080m_h1083,50,1080,,2,PSO-guided-fix,8.135111703505816,32,445,35,1,372.2498152418907,0,,,0.6524141789413989
100yr_0240m_h585,100,0240,,2,PSO-guided-fix,7.9360485455932315,14,203,81,0,99.04342838657904,0,,,0.1471446710638702
100yr_0120m_h277,100,0120,,2,PSO-guided-fix,7.827764133061185,12,150,56,0,59.71594440284681,0,,,0.11868182988837361
10yr_0360m_h672,10,0360,,2,PSO-guided-fix,7.772850147851842,26,242,19,3,135.01693824899814,0,,,0.26391061302274466
80yr_0060m_h246,80,0060,,2,PSO-guided-fix,8.225071029332915,10,80,42,0,39.77947267943326,0,,,0.08274810784496367
20yr_0240m_h588,20,0240,,2,PSO-guided-fix,7.957638916688188,18,181,46,1,97.41343653283042,0,,,0.1864514141343534
