scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,2,GA-only,10,0,0,0,0,37.699999999999996,1,,,1.2103793730493635
30yr_0060m_h214,30,0060,,2,GA-only,10,0,0,0,0,37.699999999999996,1,,,1.2139496449381113
20yr_0180m_h435,20,0180,,2,GA-only,10,0,0,0,0,76.70000000000005,1,,,2.458158953115344
50yr_0360m_h678,50,0360,,2,GA-only,10,0,0,0,0,135.20000000000005,1,,,4.308406034950167
10yr_0180m_h385,10,0180,,2,GA-only,10,0,0,0,0,76.70000000000005,1,,,2.4215105411130935
20yr_1440m_h1149,20,1440,,2,GA-only,10,0,0,0,0,486.2000000000001,1,,,15.512034021085128
20yr_0060m_h216,20,0060,,2,GA-only,10,0,0,0,0,37.699999999999996,1,,,1.2020210609771311
10yr_0240m_h515,10,0240,,2,GA-only,10,0,0,0,0,96.2,1,,,3.0594771979376674
20yr_0120m_h366,20,0120,,2,GA-only,10,0,0,0,0,57.20000000000001,1,,,1.8024712959304452
10yr_1080m_h1061,10,1080,,2,GA-only,10,0,0,0,0,369.20000000000005,1,,,11.601971426978707
100yr_0720m_h964,100,0720,,2,GA-only,10,0,0,0,0,252.20000000000007,1,,,7.960382157936692
100yr_0540m_h862,100,0540,,2,GA-only,10,0,0,0,0,193.70000000000002,1,,,6.090206810971722
30yr_0720m_h988,30,0720,,2,GA-only,10,0,0,0,0,252.20000000000007,1,,,7.939531153067946
100yr_1440m_h1202,100,1440,,2,GA-only,10,0,0,0,0,486.2000000000001,1,,,15.283152254065499
10yr_0180m_h429,10,0180,,2,GA-only,10,0,0,0,0,76.70000000000005,1,,,2.4213844551704824
80yr_0240m_h578,80,0240,,2,GA-only,10,0,0,0,0,96.2,1,,,3.0243326649069786
80yr_1440m_h1188,80,1440,,2,GA-only,10,0,0,0,0,486.2000000000001,1,,,15.318799916189164
80yr_0720m_h952,80,0720,,2,GA-only,10,0,0,0,0,252.20000000000007,1,,,7.950033731060103
100yr_0240m_h602,100,0240,,2,GA-only,10,0,0,0,0,96.2,1,,,3.054317283211276
100yr_0240m_h549,100,0240,,2,GA-only,10,0,0,0,0,96.2,1,,,3.0249427030794322
100yr_0120m_h322,100,0120,,2,GA-only,10,0,0,0,0,57.20000000000001,1,,,1.8091259279754013
100yr_0180m_h465,100,0180,,2,GA-only,10,0,0,0,0,76.70000000000005,1,,,2.41633885493502
30yr_0240m_h619,30,0240,,2,GA-only,10,0,0,0,0,96.2,1,,,3.0212106669787318
50yr_0240m_h616,50,0240,,2,GA-only,10,0,0,0,0,96.2,1,,,3.0306337540969253
50yr_1080m_h1083,50,1080,,2,GA-only,10,0,0,0,0,369.20000000000005,1,,,11.60741953807883
100yr_0240m_h585,100,0240,,2,GA-only,10,0,0,0,0,96.2,1,,,3.041229059919715
100yr_0120m_h277,100,0120,,2,GA-only,10,0,0,0,0,57.20000000000001,1,,,1.7983196128625423
10yr_0360m_h672,10,0360,,2,GA-only,10,0,0,0,0,135.20000000000005,1,,,4.262299882015213
80yr_0060m_h246,80,0060,,2,GA-only,10,0,0,0,0,37.699999999999996,1,,,1.1942137880250812
20yr_0240m_h588,20,0240,,2,GA-only,10,0,0,0,0,96.2,1,,,3.037133995909244
