scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,2,PSO-only,10,0,0,0,0,37.699999999999996,1,,,0.13480958808213472
30yr_0060m_h214,30,0060,,2,PSO-only,10,0,0,0,0,37.699999999999996,1,,,0.12567863380536437
20yr_0180m_h435,20,0180,,2,PSO-only,10,0,0,0,0,76.70000000000005,1,,,0.2534327001776546
50yr_0360m_h678,50,0360,,2,PSO-only,10,0,0,0,0,135.20000000000005,1,,,0.4333429359830916
10yr_0180m_h385,10,0180,,2,PSO-only,10,0,0,0,0,76.70000000000005,1,,,0.24495322699658573
20yr_1440m_h1149,20,1440,,2,PSO-only,10,0,0,0,0,486.2000000000001,1,,,1.5258911969140172
20yr_0060m_h216,20,0060,,2,PSO-only,10,0,0,0,0,37.699999999999996,1,,,0.12582833203487098
10yr_0240m_h515,10,0240,,2,PSO-only,10,0,0,0,0,96.2,1,,,0.30382141401059926
20yr_0120m_h366,20,0120,,2,PSO-only,10,0,0,0,0,57.20000000000001,1,,,0.1871434380300343
10yr_1080m_h1061,10,1080,,2,PSO-only,10,0,0,0,0,369.20000000000005,1,,,1.1583609390072525
100yr_0720m_h964,100,0720,,2,PSO-only,10,0,0,0,0,252.20000000000007,1,,,0.80498300306499
100yr_0540m_h862,100,0540,,2,PSO-only,10,0,0,0,0,193.70000000000002,1,,,0.624072666047141
30yr_0720m_h988,30,0720,,2,PSO-only,10,0,0,0,0,252.20000000000007,1,,,0.7921813549473882
100yr_1440m_h1202,100,1440,,2,PSO-only,10,0,0,0,0,486.2000000000001,1,,,1.5357114630751312
10yr_0180m_h429,10,0180,,2,PSO-only,10,0,0,0,0,76.70000000000005,1,,,0.24308062507770956
80yr_0240m_h578,80,0240,,2,PSO-only,10,0,0,0,0,96.2,1,,,0.30990533996373415
80yr_1440m_h1188,80,1440,,2,PSO-only,10,0,0,0,0,486.2000000000001,1,,,1.5311649329960346
80yr_0720m_h952,80,0720,,2,PSO-only,10,0,0,0,0,252.20000000000007,1,,,0.8010659941937774
100yr_0240m_h602,100,0240,,2,PSO-only,10,0,0,0,0,96.2,1,,,0.3112288899719715
100yr_0240m_h549,100,0240,,2,PSO-only,10,0,0,0,0,96.2,1,,,0.31292016711086035
100yr_0120m_h322,100,0120,,2,PSO-only,10,0,0,0,0,57.20000000000001,1,,,0.19082280504517257
100yr_0180m_h465,100,0180,,2,PSO-only,10,0,0,0,0,76.70000000000005,1,,,0.2499993690289557
30yr_0240m_h619,30,0240,,2,PSO-only,10,0,0,0,0,96.2,1,,,0.30969199701212347
50yr_0240m_h616,50,0240,,2,PSO-only,10,0,0,0,0,96.2,1,,,0.30903216707520187
50yr_1080m_h1083,50,1080,,2,PSO-only,10,0,0,0,0,369.20000000000005,1,,,1.155546811176464
100yr_0240m_h585,100,0240,,2,PSO-only,10,0,0,0,0,96.2,1,,,0.3121784059330821
100yr_0120m_h277,100,0120,,2,PSO-only,10,0,0,0,0,57.20000000000001,1,,,0.1926674221176654
10yr_0360m_h672,10,0360,,2,PSO-only,10,0,0,0,0,135.20000000000005,1,,,0.45762334601022303
80yr_0060m_h246,80,0060,,2,PSO-only,10,0,0,0,0,37.699999999999996,1,,,0.13900877605192363
20yr_0240m_h588,20,0240,,2,PSO-only,10,0,0,0,0,96.2,1,,,0.39568827697075903
