scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,2,GA-only-w_2crit_1_1_0_0,5.969249891316837,5,126,84,34,75.73367596925341,0,,,1.6345887361094356
30yr_0060m_h214,30,0060,,2,GA-only-w_2crit_1_1_0_0,5.837799567298382,5,135,90,35,77.67568272534301,0,,,2.028397258836776
20yr_0180m_h435,20,0180,,2,GA-only-w_2crit_1_1_0_0,5.962262785779595,5,273,182,90,149.70322607945084,0,,,3.4999091050121933
50yr_0360m_h678,50,0360,,2,GA-only-w_2crit_1_1_0_0,5.953710077826251,5,534,356,177,262.1496943605485,0,,,6.852651506895199
10yr_0180m_h385,10,0180,,2,GA-only-w_2crit_1_1_0_0,5.929154616745462,5,318,212,105,145.06355437507344,0,,,3.6583617210853845
20yr_1440m_h1149,20,1440,,2,GA-only-w_2crit_1_1_0_0,5.985777129122832,5,1983,1322,660,812.9266642422331,0,,,24.42010272294283
20yr_0060m_h216,20,0060,,2,GA-only-w_2crit_1_1_0_0,5.945278681420351,5,132,88,36,75.9933031721982,0,,,1.9851848541293293
10yr_0240m_h515,10,0240,,2,GA-only-w_2crit_1_1_0_0,5.926500293721697,5,402,268,133,178.81837342874292,0,,,4.89854235900566
20yr_0120m_h366,20,0120,,2,GA-only-w_2crit_1_1_0_0,5.935067701404364,5,195,130,57,114.0413337931382,0,,,2.5966561471577734
10yr_1080m_h1061,10,1080,,2,GA-only-w_2crit_1_1_0_0,5.979101665233034,5,1446,964,481,620.3546441345875,0,,,19.56349162198603
100yr_0720m_h964,100,0720,,2,GA-only-w_2crit_1_1_0_0,5.989342012405336,5,984,656,327,463.82219470708793,0,,,12.998086362844333
100yr_0540m_h862,100,0540,,2,GA-only-w_2crit_1_1_0_0,5.975952228323513,5,747,498,248,370.4307702880115,0,,,10.686249748803675
30yr_0720m_h988,30,0720,,2,GA-only-w_2crit_1_1_0_0,5.990920910559599,5,960,640,319,449.3803408717904,0,,,13.076837072148919
100yr_1440m_h1202,100,1440,,2,GA-only-w_2crit_1_1_0_0,5.98004157997051,5,1983,1322,660,833.4015771825566,0,,,25.58524710382335
10yr_0180m_h429,10,0180,,2,GA-only-w_2crit_1_1_0_0,5.880700269696936,5,291,194,96,144.81902280833188,0,,,3.925111607881263
80yr_0240m_h578,80,0240,,2,GA-only-w_2crit_1_1_0_0,5.990558320166956,5,360,240,119,195.2486641085809,0,,,4.906885582022369
80yr_1440m_h1188,80,1440,,2,GA-only-w_2crit_1_1_0_0,5.989880193242879,5,1977,1318,658,829.9422139612325,0,,,25.144741656957194
80yr_0720m_h952,80,0720,,2,GA-only-w_2crit_1_1_0_0,5.993121955265017,5,1002,668,333,459.94062688325744,0,,,12.69179352815263
100yr_0240m_h602,100,0240,,2,GA-only-w_2crit_1_1_0_0,5.967323012621192,5,351,234,100,197.94479579753337,0,,,4.672944016056135
100yr_0240m_h549,100,0240,,2,GA-only-w_2crit_1_1_0_0,5.934416075478159,5,378,252,125,198.38360577800668,0,,,4.806035983841866
100yr_0120m_h322,100,0120,,2,GA-only-w_2crit_1_1_0_0,6.1045884216476916,5,207,138,48,125.69958891743826,0,,,2.6115316599607468
100yr_0180m_h465,100,0180,,2,GA-only-w_2crit_1_1_0_0,6.005391509911037,5,276,184,72,162.91309950034162,0,,,3.5291409480851144
30yr_0240m_h619,30,0240,,2,GA-only-w_2crit_1_1_0_0,5.981566841213999,5,342,228,113,189.1851035549076,0,,,4.420605706982315
50yr_0240m_h616,50,0240,,2,GA-only-w_2crit_1_1_0_0,5.993108240174905,5,345,230,114,192.4202065599464,0,,,4.377080967184156
50yr_1080m_h1083,50,1080,,2,GA-only-w_2crit_1_1_0_0,5.987289931100974,5,1482,988,493,641.2071683697613,0,,,17.22247425909154
100yr_0240m_h585,100,0240,,2,GA-only-w_2crit_1_1_0_0,5.971680610125432,5,363,242,120,197.75823857207143,0,,,4.4274193700402975
100yr_0120m_h277,100,0120,,2,GA-only-w_2crit_1_1_0_0,5.961820984492247,5,240,160,62,124.46760935896542,0,,,2.7429147348739207
10yr_0360m_h672,10,0360,,2,GA-only-w_2crit_1_1_0_0,5.969036329034344,5,522,348,173,246.8775733087291,0,,,6.24349602102302
80yr_0060m_h246,80,0060,,2,GA-only-w_2crit_1_1_0_0,6.126537929002003,5,132,88,30,82.09665733446062,0,,,1.6610817350447178
20yr_0240m_h588,20,0240,,2,GA-only-w_2crit_1_1_0_0,5.957098107811078,5,351,234,116,185.2321211065173,0,,,4.390805874019861
