scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,37.699999999999996,1,,,1.2192607908509672
30yr_0060m_h214,30,0060,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,37.699999999999996,1,,,1.3830436829011887
20yr_0180m_h435,20,0180,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,76.70000000000005,1,,,2.7630641399882734
50yr_0360m_h678,50,0360,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,135.20000000000005,1,,,4.697453802917153
10yr_0180m_h385,10,0180,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,76.70000000000005,1,,,2.5355019508861005
20yr_1440m_h1149,20,1440,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,486.2000000000001,1,,,17.15923003014177
20yr_0060m_h216,20,0060,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,37.699999999999996,1,,,1.2512487799394876
10yr_0240m_h515,10,0240,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,96.2,1,,,3.4212412799242884
20yr_0120m_h366,20,0120,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,57.20000000000001,1,,,1.883282272145152
10yr_1080m_h1061,10,1080,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,369.20000000000005,1,,,13.024030212080106
100yr_0720m_h964,100,0720,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,252.20000000000007,1,,,9.050961803179234
100yr_0540m_h862,100,0540,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,193.70000000000002,1,,,7.192223223857582
30yr_0720m_h988,30,0720,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,252.20000000000007,1,,,9.063767832005396
100yr_1440m_h1202,100,1440,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,486.2000000000001,1,,,18.473426709882915
10yr_0180m_h429,10,0180,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,76.70000000000005,1,,,2.782513485988602
80yr_0240m_h578,80,0240,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,96.2,1,,,3.3117459539789706
80yr_1440m_h1188,80,1440,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,486.2000000000001,1,,,17.750573662808165
80yr_0720m_h952,80,0720,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,252.20000000000007,1,,,9.288049754220992
100yr_0240m_h602,100,0240,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,96.2,1,,,3.4628140390850604
100yr_0240m_h549,100,0240,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,96.2,1,,,3.471800213912502
100yr_0120m_h322,100,0120,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,57.20000000000001,1,,,2.119831281946972
100yr_0180m_h465,100,0180,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,76.70000000000005,1,,,2.5778452490922064
30yr_0240m_h619,30,0240,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,96.2,1,,,3.5436561200767756
50yr_0240m_h616,50,0240,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,96.2,1,,,3.311394219053909
50yr_1080m_h1083,50,1080,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,369.20000000000005,1,,,13.436499295057729
100yr_0240m_h585,100,0240,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,96.2,1,,,3.551841655978933
100yr_0120m_h277,100,0120,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,57.20000000000001,1,,,2.172096445923671
10yr_0360m_h672,10,0360,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,135.20000000000005,1,,,4.823259922908619
80yr_0060m_h246,80,0060,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,37.699999999999996,1,,,1.2539634159766138
20yr_0240m_h588,20,0240,,2,GA-only-w_current_0.25_0.4_0.25_0.1,10,0,0,0,0,96.2,1,,,3.4032410280779004
