scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,1,GA-only-w_level_only_1_0_0_0,5.212459312790958,66,153,56,50,18.60728853527548,0,,,1.7626606130506843
30yr_0060m_h214,30,0060,,1,GA-only-w_level_only_1_0_0_0,5.387736167992713,57,153,58,49,20.605947476088982,0,,,1.7212001490406692
20yr_0180m_h435,20,0180,,1,GA-only-w_level_only_1_0_0_0,4.7,152,313,118,116,32.62180063846749,0,,,3.807987235020846
50yr_0360m_h678,50,0360,,1,GA-only-w_level_only_1_0_0_0,4.7,225,538,174,207,55.06487594770446,0,,,6.377703428035602
10yr_0180m_h385,10,0180,,1,GA-only-w_level_only_1_0_0_0,4.7,134,324,109,117,27.94165268661207,0,,,3.417194086825475
20yr_1440m_h1149,20,1440,,1,GA-only-w_level_only_1_0_0_0,4.7,1125,1868,475,745,65.85948944409171,0,,,20.52864070306532
20yr_0060m_h216,20,0060,,1,GA-only-w_level_only_1_0_0_0,4.948908279138145,61,162,57,52,18.80642954147882,0,,,1.6172627320047468
10yr_0240m_h515,10,0240,,1,GA-only-w_level_only_1_0_0_0,4.7,170,400,142,148,31.713680303103104,0,,,4.192166639026254
20yr_0120m_h366,20,0120,,1,GA-only-w_level_only_1_0_0_0,4.873818181544395,99,228,77,79,26.963264170607466,0,,,2.490897136973217
10yr_1080m_h1061,10,1080,,1,GA-only-w_level_only_1_0_0_0,4.7,886,1411,375,563,53.29226080758741,0,,,15.34279354289174
100yr_0720m_h964,100,0720,,1,GA-only-w_level_only_1_0_0_0,4.7,524,1005,315,388,76.7510282397377,0,,,10.630283907055855
100yr_0540m_h862,100,0540,,1,GA-only-w_level_only_1_0_0_0,4.7,350,808,261,298,73.36297812388017,0,,,8.067992124008015
30yr_0720m_h988,30,0720,,1,GA-only-w_level_only_1_0_0_0,4.7,532,982,274,387,62.30864569200489,0,,,10.42282343399711
100yr_1440m_h1202,100,1440,,1,GA-only-w_level_only_1_0_0_0,4.7,1094,1904,486,744,86.3368427095821,0,,,19.595639793900773
10yr_0180m_h429,10,0180,,1,GA-only-w_level_only_1_0_0_0,4.7,141,313,106,117,27.75677161365899,0,,,3.200303533114493
80yr_0240m_h578,80,0240,,1,GA-only-w_level_only_1_0_0_0,4.7,151,402,157,148,48.150646562633774,0,,,4.057296053972095
80yr_1440m_h1188,80,1440,,1,GA-only-w_level_only_1_0_0_0,4.7,1113,1859,464,738,82.87175991657415,0,,,19.44160091690719
80yr_0720m_h952,80,0720,,1,GA-only-w_level_only_1_0_0_0,4.7,522,1009,292,386,72.85925027833008,0,,,10.279007650213316
100yr_0240m_h602,100,0240,,1,GA-only-w_level_only_1_0_0_0,5.209115770964766,156,403,164,131,50.861295489715836,0,,,4.08533090306446
100yr_0240m_h549,100,0240,,1,GA-only-w_level_only_1_0_0_0,4.7,159,402,164,147,51.28909286967216,0,,,4.116107227979228
100yr_0120m_h322,100,0120,,1,GA-only-w_level_only_1_0_0_0,6.1045884216476916,83,248,104,66,38.582767999191276,0,,,2.4467805970925838
100yr_0180m_h465,100,0180,,1,GA-only-w_level_only_1_0_0_0,6.005391509911037,122,327,131,99,45.83618560513249,0,,,3.258165992097929
30yr_0240m_h619,30,0240,,1,GA-only-w_level_only_1_0_0_0,4.7,153,406,144,148,42.09503395485477,0,,,4.024935208959505
50yr_0240m_h616,50,0240,,1,GA-only-w_level_only_1_0_0_0,4.7,178,403,158,147,45.321289882893005,0,,,4.0259944561403245
50yr_1080m_h1083,50,1080,,1,GA-only-w_level_only_1_0_0_0,4.7,848,1459,406,564,74.13586766279849,0,,,14.703440480167046
100yr_0240m_h585,100,0240,,1,GA-only-w_level_only_1_0_0_0,4.7,133,414,172,147,50.670575077106164,0,,,4.064162502065301
100yr_0120m_h277,100,0120,,1,GA-only-w_level_only_1_0_0_0,4.954696569695511,81,243,106,77,36.49449759180093,0,,,2.4600449251011014
10yr_0360m_h672,10,0360,,1,GA-only-w_level_only_1_0_0_0,4.7,280,542,181,206,39.786609600837664,0,,,5.517108018975705
80yr_0060m_h246,80,0060,,1,GA-only-w_level_only_1_0_0_0,6.126537929002003,61,151,66,44,24.98856312951241,0,,,1.587015057913959
20yr_0240m_h588,20,0240,,1,GA-only-w_level_only_1_0_0_0,4.7,185,395,147,148,38.16134975728656,0,,,3.975185346091166
