state_id,action_space,n_actions,n_unique_tau,effective_fraction
50yr_0180m_h411_step0,6,6,6,1.0
50yr_0180m_h411_step0,12,12,12,1.0
50yr_0180m_h411_step0,32,32,12,0.375
50yr_0180m_h411_step39,6,6,6,1.0
50yr_0180m_h411_step39,12,12,12,1.0
50yr_0180m_h411_step39,32,32,12,0.375
50yr_0180m_h411_step78,6,6,6,1.0
50yr_0180m_h411_step78,12,12,12,1.0
50yr_0180m_h411_step78,32,32,18,0.5625
50yr_0180m_h411_step117,6,6,6,1.0
50yr_0180m_h411_step117,12,12,12,1.0
50yr_0180m_h411_step117,32,32,12,0.375
50yr_0540m_h777_step0,6,6,6,1.0
50yr_0540m_h777_step0,12,12,12,1.0
50yr_0540m_h777_step0,32,32,12,0.375
50yr_0540m_h777_step99,6,6,6,1.0
50yr_0540m_h777_step99,12,12,12,1.0
50yr_0540m_h777_step99,32,32,12,0.375
50yr_0540m_h777_step198,6,6,6,1.0
50yr_0540m_h777_step198,12,12,12,1.0
50yr_0540m_h777_step198,32,32,18,0.5625
50yr_0540m_h777_step297,6,6,6,1.0
50yr_0540m_h777_step297,12,12,12,1.0
50yr_0540m_h777_step297,32,32,12,0.375
50yr_1440m_h1145_step0,6,6,6,1.0
50yr_1440m_h1145_step0,12,12,12,1.0
50yr_1440m_h1145_step0,32,32,12,0.375
50yr_1440m_h1145_step249,6,6,6,1.0
50yr_1440m_h1145_step249,12,12,12,1.0
50yr_1440m_h1145_step249,32,32,18,0.5625
50yr_1440m_h1145_step498,6,6,6,1.0
50yr_1440m_h1145_step498,12,12,12,1.0
50yr_1440m_h1145_step498,32,32,12,0.375
50yr_1440m_h1145_step747,6,6,6,1.0
50yr_1440m_h1145_step747,12,12,12,1.0
50yr_1440m_h1145_step747,32,32,12,0.375
