scenario_id,return_period,duration_min,n_decisions,n_clip,clip_rate,vol_mean_frac_cap,vol_median_frac_cap,vol_p10_frac_cap,vol_p90_frac_cap,level_at_clip_mean,level_at_clip_max
10yr_0060m_h207,10,0060,58,0,0.0,0.01495,0.01406,0.00021,0.03185,,
10yr_0120m_h312,10,0120,88,0,0.0,0.01537,0.01317,0.00029,0.03156,,
10yr_0120m_h345,10,0120,88,0,0.0,0.01656,0.01761,5e-05,0.03237,,
10yr_0060m_h244,10,0060,58,0,0.0,0.01347,0.01099,0.00027,0.03063,,
10yr_0120m_h349,10,0120,88,0,0.0,0.01649,0.01542,7e-05,0.03275,,
10yr_0180m_h385,10,0180,118,0,0.0,0.01772,0.0178,0.00224,0.03109,,
10yr_0180m_h395,10,0180,118,0,0.0,0.01873,0.01822,0.00386,0.03373,,
10yr_0060m_h195,10,0060,58,0,0.0,0.01523,0.01463,0.00104,0.03226,,
10yr_0180m_h431,10,0180,118,0,0.0,0.01573,0.01488,0.0007,0.02912,,
10yr_0180m_h429,10,0180,118,0,0.0,0.01667,0.01519,0.00055,0.03445,,
10yr_0180m_h472,10,0180,118,0,0.0,0.01506,0.01317,0.00011,0.03288,,
10yr_0120m_h248,10,0120,88,0,0.0,0.01767,0.01763,0.00388,0.03025,,
10yr_0060m_h193,10,0060,58,0,0.0,0.01528,0.0143,0.00044,0.03112,,
10yr_0120m_h362,10,0120,88,0,0.0,0.01613,0.01483,9e-05,0.03256,,
10yr_0240m_h522,10,0240,148,0,0.0,0.01835,0.01802,0.00411,0.03105,,
10yr_0240m_h532,10,0240,148,0,0.0,0.01655,0.01484,0.00163,0.03255,,
10yr_0060m_h229,10,0060,58,0,0.0,0.01377,0.01141,0.0001,0.03177,,
10yr_0240m_h602,10,0240,148,0,0.0,0.01492,0.01473,0.00019,0.0294,,
10yr_0240m_h515,10,0240,148,0,0.0,0.01851,0.0176,0.00401,0.03585,,
10yr_0240m_h600,10,0240,148,0,0.0,0.01449,0.01378,0.00021,0.02849,,
10yr_0360m_h685,10,0360,208,0,0.0,0.01689,0.017,0.00072,0.03145,,
10yr_0360m_h668,10,0360,208,0,0.0,0.01599,0.01594,0.00104,0.02933,,
10yr_0360m_h672,10,0360,208,0,0.0,0.01614,0.01585,0.00092,0.03201,,
10yr_0540m_h800,10,0540,298,0,0.0,0.01821,0.01914,0.00149,0.03203,,
10yr_0360m_h696,10,0360,208,0,0.0,0.01678,0.01721,0.00073,0.03265,,
10yr_0360m_h658,10,0360,208,0,0.0,0.01708,0.01776,0.00082,0.03196,,
10yr_0540m_h824,10,0540,298,0,0.0,0.01738,0.01719,0.00108,0.03256,,
10yr_0540m_h830,10,0540,298,0,0.0,0.01593,0.0152,0.00126,0.03082,,
10yr_0540m_h860,10,0540,298,0,0.0,0.01793,0.01747,0.00076,0.03528,,
10yr_0540m_h774,10,0540,298,0,0.0,0.01781,0.01763,0.00396,0.03161,,
10yr_0720m_h922,10,0720,388,0,0.0,0.01654,0.01575,0.00234,0.02993,,
100yr_0060m_h140,100,0060,58,0,0.0,0.02151,0.01874,0.00543,0.0419,,
10yr_0720m_h943,10,0720,388,0,0.0,0.01651,0.01642,0.00118,0.03017,,
100yr_0060m_h231,100,0060,58,0,0.0,0.03409,0.02356,0.0011,0.10572,,
10yr_0720m_h912,10,0720,388,0,0.0,0.01615,0.01514,0.00165,0.0304,,
10yr_0720m_h942,10,0720,388,0,0.0,0.01694,0.0176,0.00109,0.03025,,
10yr_1080m_h1061,10,1080,568,0,0.0,0.01593,0.01605,0.00158,0.02918,,
100yr_0060m_h185,100,0060,58,0,0.0,0.03242,0.01368,0.0016,0.103,,
100yr_0060m_h152,100,0060,58,0,0.0,0.01884,0.01602,0.00457,0.04058,,
10yr_0720m_h923,10,0720,388,0,0.0,0.01629,0.0154,0.00151,0.03103,,
100yr_0060m_h144,100,0060,58,0,0.0,0.0262,0.02184,0.00493,0.06285,,
100yr_0120m_h277,100,0120,88,0,0.0,0.01514,0.01559,0.0033,0.0269,,
100yr_0120m_h322,100,0120,88,0,0.0,0.03248,0.02013,0.00151,0.09785,,
10yr_1080m_h1110,10,1080,568,0,0.0,0.01627,0.01631,0.00221,0.02939,,
100yr_0120m_h366,100,0120,88,0,0.0,0.03934,0.02294,0.00063,0.13332,,
100yr_0120m_h335,100,0120,88,0,0.0,0.0291,0.01589,0.00056,0.0963,,
100yr_0180m_h465,100,0180,118,0,0.0,0.02469,0.01952,0.0015,0.05191,,
100yr_0120m_h318,100,0120,88,0,0.0,0.0351,0.01993,0.00141,0.11419,,
10yr_1080m_h1089,10,1080,568,0,0.0,0.01654,0.01695,0.00238,0.02936,,
10yr_1080m_h1023,10,1080,568,0,0.0,0.01673,0.0167,0.00213,0.03033,,
100yr_0180m_h433,100,0180,118,0,0.0,0.01498,0.01234,0.00105,0.03219,,
100yr_0180m_h490,100,0180,118,0,0.0,0.02688,0.02204,0.00094,0.05754,,
10yr_1080m_h1095,10,1080,568,0,0.0,0.01527,0.01486,0.00157,0.02915,,
100yr_0180m_h472,100,0180,118,0,0.0,0.02432,0.01926,0.00075,0.05164,,
100yr_0180m_h428,100,0180,118,0,0.0,0.01578,0.01492,0.00197,0.0303,,
100yr_0240m_h602,100,0240,148,0,0.0,0.01509,0.0135,0.00101,0.03261,,
100yr_0240m_h549,100,0240,148,0,0.0,0.01649,0.01592,0.0018,0.03182,,
100yr_0240m_h585,100,0240,148,0,0.0,0.01702,0.01793,0.00101,0.03065,,
100yr_0240m_h615,100,0240,148,0,0.0,0.01567,0.01384,0.00112,0.03116,,
100yr_0240m_h519,100,0240,148,0,0.0,0.01667,0.01588,0.00235,0.03269,,
10yr_1440m_h1152,10,1440,748,0,0.0,0.01695,0.01795,0.0031,0.02904,,
10yr_1440m_h1126,10,1440,748,0,0.0,0.01731,0.01758,0.00506,0.02926,,
100yr_0360m_h670,100,0360,208,0,0.0,0.01642,0.01479,0.00207,0.03102,,
100yr_0360m_h659,100,0360,208,0,0.0,0.01747,0.01814,0.0022,0.03271,,
100yr_0360m_h699,100,0360,208,0,0.0,0.01798,0.02037,0.00102,0.03105,,
100yr_0360m_h732,100,0360,208,0,0.0,0.01433,0.01382,0.00082,0.02861,,
100yr_0360m_h690,100,0360,208,0,0.0,0.01745,0.01849,0.00109,0.03071,,
10yr_1440m_h1176,10,1440,748,0,0.0,0.01623,0.01637,0.00261,0.02938,,
10yr_1440m_h1137,10,1440,748,0,0.0,0.01735,0.01755,0.00515,0.02946,,
100yr_0540m_h802,100,0540,298,0,0.0,0.01712,0.01718,0.00224,0.03158,,
100yr_0540m_h855,100,0540,298,0,0.0,0.01534,0.01423,0.00202,0.0299,,
100yr_0540m_h862,100,0540,298,0,0.0,0.01627,0.01588,0.00262,0.03015,,
100yr_0540m_h825,100,0540,298,0,0.0,0.01604,0.01613,0.00155,0.03033,,
100yr_0540m_h786,100,0540,298,0,0.0,0.0159,0.01511,0.00124,0.02973,,
100yr_0720m_h892,100,0720,388,0,0.0,0.01874,0.01856,0.00437,0.03356,,
100yr_0720m_h968,100,0720,388,0,0.0,0.01653,0.01616,0.00259,0.03199,,
20yr_0060m_h225,20,0060,58,0,0.0,0.01736,0.01628,0.00038,0.03433,,
100yr_0720m_h903,100,0720,388,0,0.0,0.01806,0.01815,0.00222,0.03239,,
100yr_0720m_h964,100,0720,388,0,0.0,0.01719,0.01722,0.0021,0.03203,,
10yr_1440m_h1189,10,1440,748,0,0.0,0.01645,0.01699,0.00225,0.02867,,
20yr_0060m_h216,20,0060,58,0,0.0,0.01489,0.01211,0.00064,0.03157,,
20yr_0060m_h247,20,0060,58,0,0.0,0.02076,0.02122,0.00049,0.03831,,
20yr_0060m_h198,20,0060,58,0,0.0,0.0149,0.01482,0.00033,0.0277,,
20yr_0060m_h224,20,0060,58,0,0.0,0.01987,0.01849,0.00036,0.03924,,
20yr_0120m_h366,20,0120,88,0,0.0,0.01373,0.01198,0.00023,0.0261,,
100yr_0720m_h888,100,0720,388,0,0.0,0.019,0.01905,0.00419,0.03382,,
100yr_1080m_h1054,100,1080,568,0,0.0,0.01747,0.01684,0.00128,0.03292,,
20yr_0120m_h257,20,0120,88,0,0.0,0.01892,0.01894,0.00402,0.0341,,
100yr_1080m_h1098,100,1080,568,0,0.0,0.01728,0.01759,0.00302,0.03073,,
100yr_1080m_h1087,100,1080,568,0,0.0,0.01698,0.01726,0.00283,0.02982,,
20yr_0120m_h249,20,0120,88,0,0.0,0.01721,0.01759,0.00375,0.03096,,
20yr_0120m_h292,20,0120,88,0,0.0,0.01413,0.01385,0.00145,0.0277,,
20yr_0120m_h364,20,0120,88,0,0.0,0.01443,0.01425,0.00017,0.02568,,
20yr_0180m_h435,20,0180,118,0,0.0,0.01748,0.01723,0.0004,0.03325,,
100yr_1080m_h1085,100,1080,568,0,0.0,0.01678,0.01638,0.00288,0.03103,,
20yr_0180m_h419,20,0180,118,0,0.0,0.01563,0.01509,0.00027,0.0295,,
20yr_0180m_h465,20,0180,118,0,0.0,0.014,0.01301,0.00028,0.02853,,
20yr_0180m_h457,20,0180,118,0,0.0,0.01572,0.01564,0.00029,0.0316,,
100yr_1080m_h1077,100,1080,568,0,0.0,0.01737,0.01725,0.00209,0.03206,,
20yr_0240m_h560,20,0240,148,0,0.0,0.01633,0.01592,0.00062,0.03186,,
20yr_0180m_h461,20,0180,118,0,0.0,0.01601,0.01504,0.00075,0.03075,,
20yr_0240m_h588,20,0240,148,0,0.0,0.01513,0.01441,0.0002,0.03098,,
20yr_0240m_h515,20,0240,148,0,0.0,0.01709,0.01755,0.00275,0.02974,,
20yr_0240m_h566,20,0240,148,0,0.0,0.01535,0.01521,0.00086,0.02919,,
20yr_0240m_h539,20,0240,148,0,0.0,0.01714,0.01513,0.00105,0.03325,,
100yr_1440m_h1202,100,1440,748,0,0.0,0.01652,0.0163,0.00189,0.02977,,
20yr_0360m_h734,20,0360,208,0,0.0,0.01483,0.01427,0.00113,0.02904,,
100yr_1440m_h1192,100,1440,748,0,0.0,0.01635,0.01616,0.00181,0.02934,,
20yr_0360m_h664,20,0360,208,0,0.0,0.01708,0.01773,0.00124,0.03092,,
20yr_0360m_h691,20,0360,208,0,0.0,0.01556,0.01586,0.00095,0.02951,,
20yr_0360m_h668,20,0360,208,0,0.0,0.01813,0.01729,0.00206,0.03344,,
20yr_0360m_h620,20,0360,208,0,0.0,0.01662,0.0155,0.00271,0.03275,,
20yr_0540m_h751,20,0540,298,0,0.0,0.01737,0.01638,0.004,0.03159,,
20yr_0540m_h754,20,0540,298,0,0.0,0.0176,0.01612,0.00378,0.03241,,
20yr_0540m_h780,20,0540,298,0,0.0,0.01829,0.0186,0.00262,0.03327,,
20yr_0540m_h775,20,0540,298,0,0.0,0.01798,0.01785,0.00202,0.03239,,
20yr_0540m_h860,20,0540,298,0,0.0,0.0151,0.01461,0.00168,0.02865,,
100yr_1440m_h1213,100,1440,748,0,0.0,0.01671,0.017,0.00285,0.0295,,
20yr_0720m_h983,20,0720,388,0,0.0,0.01713,0.01633,0.00164,0.03212,,
20yr_0720m_h904,20,0720,388,0,0.0,0.01715,0.01594,0.00206,0.03213,,
20yr_0720m_h928,20,0720,388,0,0.0,0.01717,0.01693,0.00209,0.03235,,
100yr_1440m_h1121,100,1440,748,0,0.0,0.0176,0.01807,0.00418,0.02993,,
30yr_0060m_h214,30,0060,58,0,0.0,0.02062,0.01787,0.00061,0.04344,,
100yr_1440m_h1153,100,1440,748,0,0.0,0.01701,0.01726,0.00409,0.02952,,
30yr_0060m_h135,30,0060,58,0,0.0,0.01591,0.01503,0.00319,0.03291,,
30yr_0060m_h211,30,0060,58,0,0.0,0.01958,0.02021,0.00063,0.03429,,
30yr_0060m_h160,30,0060,58,0,0.0,0.0144,0.01431,0.00217,0.02543,,
30yr_0060m_h202,30,0060,58,0,0.0,0.02111,0.0208,0.00115,0.03953,,
30yr_0120m_h335,30,0120,88,0,0.0,0.01432,0.01266,0.00093,0.02877,,
20yr_0720m_h945,20,0720,388,0,0.0,0.01625,0.01519,0.0014,0.0306,,
20yr_1080m_h1107,20,1080,568,0,0.0,0.01643,0.01732,0.00252,0.0286,,
20yr_0720m_h973,20,0720,388,0,0.0,0.01638,0.01546,0.0018,0.03141,,
30yr_0120m_h273,30,0120,88,0,0.0,0.01864,0.0192,0.00517,0.033,,
20yr_1080m_h1037,20,1080,568,0,0.0,0.01715,0.01645,0.00328,0.03097,,
20yr_1080m_h1084,20,1080,568,0,0.0,0.01584,0.01609,0.00124,0.02936,,
30yr_0120m_h263,30,0120,88,0,0.0,0.01687,0.01647,0.00374,0.03017,,
30yr_0120m_h365,30,0120,88,0,0.0,0.01629,0.01463,0.0004,0.03379,,
30yr_0180m_h490,30,0180,118,0,0.0,0.0145,0.01371,0.00047,0.02868,,
30yr_0120m_h254,30,0120,88,0,0.0,0.01735,0.01745,0.00416,0.02785,,
30yr_0180m_h403,30,0180,118,0,0.0,0.01643,0.01685,0.00092,0.02999,,
30yr_0180m_h417,30,0180,118,0,0.0,0.01778,0.01853,0.00093,0.03526,,
30yr_0180m_h476,30,0180,118,0,0.0,0.0161,0.0173,0.00033,0.0308,,
20yr_1080m_h1023,20,1080,568,0,0.0,0.01715,0.01681,0.00308,0.03071,,
30yr_0180m_h441,30,0180,118,0,0.0,0.01672,0.01871,0.00073,0.03037,,
20yr_1080m_h1085,20,1080,568,0,0.0,0.01625,0.01632,0.00307,0.02813,,
30yr_0240m_h608,30,0240,148,0,0.0,0.01446,0.01327,0.00039,0.02996,,
30yr_0240m_h529,30,0240,148,0,0.0,0.01793,0.01776,0.00123,0.0335,,
30yr_0240m_h619,30,0240,148,0,0.0,0.01643,0.01602,0.00099,0.03128,,
30yr_0240m_h597,30,0240,148,0,0.0,0.01465,0.01346,0.0005,0.029,,
30yr_0240m_h574,30,0240,148,0,0.0,0.01832,0.01954,0.00097,0.03406,,
20yr_1440m_h1149,20,1440,748,0,0.0,0.01716,0.01774,0.00374,0.02929,,
30yr_0360m_h709,30,0360,208,0,0.0,0.01453,0.01447,0.00067,0.02803,,
20yr_1440m_h1147,20,1440,748,0,0.0,0.01636,0.01593,0.00333,0.02884,,
30yr_0360m_h688,30,0360,208,0,0.0,0.01551,0.01532,0.00087,0.02976,,
30yr_0360m_h687,30,0360,208,0,0.0,0.01526,0.01448,0.00121,0.03082,,
30yr_0360m_h734,30,0360,208,0,0.0,0.01751,0.01832,0.00116,0.03166,,
30yr_0360m_h680,30,0360,208,0,0.0,0.01663,0.01605,0.00117,0.03092,,
20yr_1440m_h1120,20,1440,748,0,0.0,0.01774,0.01804,0.00576,0.02955,,
30yr_0540m_h753,30,0540,298,0,0.0,0.01876,0.01878,0.00485,0.03414,,
30yr_0540m_h771,30,0540,298,0,0.0,0.01937,0.01991,0.00442,0.03226,,
30yr_0540m_h819,30,0540,298,0,0.0,0.01897,0.01883,0.00066,0.03487,,
20yr_1440m_h1165,20,1440,748,0,0.0,0.01678,0.01656,0.00348,0.02947,,
30yr_0720m_h988,30,0720,388,0,0.0,0.01602,0.01539,0.00132,0.02937,,
30yr_0720m_h876,30,0720,388,0,0.0,0.01819,0.01801,0.00461,0.03113,,
30yr_0540m_h803,30,0540,298,0,0.0,0.01747,0.01738,0.00226,0.03276,,
30yr_0540m_h762,30,0540,298,0,0.0,0.01811,0.01887,0.00326,0.03079,,
20yr_1440m_h1231,20,1440,748,0,0.0,0.01685,0.01698,0.00287,0.02942,,
30yr_0720m_h890,30,0720,388,0,0.0,0.01761,0.01708,0.00355,0.031,,
50yr_0060m_h244,50,0060,58,0,0.0,0.02751,0.01955,0.00039,0.07459,,
30yr_0720m_h903,30,0720,388,0,0.0,0.01702,0.01684,0.00277,0.03058,,
30yr_0720m_h969,30,0720,388,0,0.0,0.01649,0.01577,0.00228,0.03105,,
50yr_0060m_h138,50,0060,58,0,0.0,0.0177,0.01827,0.00523,0.02999,,
50yr_0060m_h243,50,0060,58,0,0.0,0.02744,0.01751,0.00068,0.07584,,
50yr_0060m_h127,50,0060,58,0,0.0,0.01558,0.01602,0.00415,0.02633,,
50yr_0060m_h147,50,0060,58,0,0.0,0.01506,0.01321,0.00415,0.02998,,
50yr_0120m_h323,50,0120,88,0,0.0,0.01963,0.01886,0.00085,0.03904,,
50yr_0120m_h326,50,0120,88,0,0.0,0.01865,0.01523,0.00095,0.03946,,
30yr_1080m_h1037,30,1080,568,0,0.0,0.01691,0.01675,0.00309,0.02983,,
50yr_0120m_h353,50,0120,88,0,0.0,0.02616,0.02151,0.00034,0.05862,,
30yr_1080m_h1011,30,1080,568,0,0.0,0.01748,0.01721,0.00454,0.03006,,
50yr_0120m_h342,50,0120,88,0,0.0,0.02317,0.01913,0.0004,0.04612,,
50yr_0120m_h253,50,0120,88,0,0.0,0.01763,0.01794,0.00428,0.03022,,
50yr_0180m_h382,50,0180,118,0,0.0,0.01708,0.01595,0.00385,0.03164,,
50yr_0180m_h411,50,0180,118,0,0.0,0.01603,0.0141,0.00163,0.03183,,
30yr_1080m_h1087,30,1080,568,0,0.0,0.0161,0.01609,0.00204,0.02959,,
50yr_0180m_h410,50,0180,118,0,0.0,0.01548,0.01472,0.00103,0.03149,,
50yr_0180m_h457,50,0180,118,0,0.0,0.01592,0.01602,0.00095,0.03071,,
30yr_1080m_h995,30,1080,568,0,0.0,0.01695,0.01678,0.00402,0.02976,,
50yr_0180m_h418,50,0180,118,0,0.0,0.01543,0.01572,0.00166,0.02972,,
30yr_1080m_h996,30,1080,568,0,0.0,0.01696,0.0171,0.00452,0.02944,,
50yr_0240m_h616,50,0240,148,0,0.0,0.01628,0.01479,0.00063,0.03407,,
50yr_0240m_h504,50,0240,148,0,0.0,0.01756,0.01785,0.00306,0.03058,,
50yr_0240m_h561,50,0240,148,0,0.0,0.01519,0.0149,0.00142,0.02755,,
50yr_0240m_h522,50,0240,148,0,0.0,0.01845,0.01794,0.00313,0.03354,,
30yr_1440m_h1148,30,1440,748,0,0.0,0.01614,0.01625,0.00218,0.02942,,
50yr_0240m_h501,50,0240,148,0,0.0,0.0181,0.01825,0.00498,0.03144,,
50yr_0360m_h678,50,0360,208,0,0.0,0.01498,0.01423,0.0012,0.03057,,
50yr_0360m_h658,50,0360,208,0,0.0,0.0157,0.01593,0.00203,0.02933,,
50yr_0360m_h621,50,0360,208,0,0.0,0.0159,0.01484,0.00215,0.03201,,
50yr_0360m_h692,50,0360,208,0,0.0,0.01698,0.01771,0.00083,0.03276,,
50yr_0360m_h673,50,0360,208,0,0.0,0.01634,0.01592,0.00124,0.03154,,
50yr_0540m_h777,50,0540,298,0,0.0,0.01845,0.01912,0.0025,0.03332,,
50yr_0540m_h756,50,0540,298,0,0.0,0.01933,0.02023,0.00386,0.03256,,
30yr_1440m_h1192,30,1440,748,0,0.0,0.01685,0.01698,0.00174,0.0305,,
30yr_1440m_h1206,30,1440,748,0,0.0,0.01639,0.01683,0.0015,0.02913,,
30yr_1440m_h1177,30,1440,748,0,0.0,0.01665,0.01663,0.00328,0.02955,,
50yr_0540m_h859,50,0540,298,0,0.0,0.01716,0.0165,0.00195,0.03241,,
50yr_0540m_h831,50,0540,298,0,0.0,0.01582,0.01494,0.00094,0.03023,,
50yr_0720m_h940,50,0720,388,0,0.0,0.01812,0.01798,0.00124,0.03308,,
50yr_0540m_h766,50,0540,298,0,0.0,0.01853,0.01921,0.00273,0.03239,,
50yr_0720m_h961,50,0720,388,0,0.0,0.01654,0.01589,0.00183,0.03047,,
