scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,0,ENUM,6.2553389849995895,14,73,27,0,31.788609398125345,0,,,0.04120163293555379
20yr_0120m_h366,20,0120,,0,ENUM,6.329707296333251,24,115,37,0,47.693470915388076,0,,,0.05763647914864123
80yr_1440m_h1188,80,1440,,0,ENUM,6.2839013340698555,218,420,82,0,378.7557061833299,0,,,0.42822999111376703
50yr_1080m_h1083,50,1080,,0,ENUM,6.286584353308594,128,420,46,0,291.1886612799819,0,,,0.3278839089907706
30yr_0060m_h135,30,0060,,0,ENUM,6.514178138159782,10,88,26,0,32.7894691675252,0,,,0.043963061878457665
20yr_0720m_h983,20,0720,,0,ENUM,6.276716568223774,120,302,50,3,198.1064242874808,0,,,0.22790027013979852
30yr_0540m_h753,30,0540,,0,ENUM,6.308889460121635,52,351,21,0,157.31631909058478,0,,,0.178459363989532
20yr_0180m_h419,20,0180,,0,ENUM,6.32278887194661,18,168,29,0,63.45984087543216,0,,,0.07466313894838095
30yr_0540m_h803,30,0540,,0,ENUM,6.310269375176947,72,344,31,0,155.9061789297526,0,,,0.1732808391097933
20yr_0060m_h247,20,0060,,0,ENUM,6.286991540890259,12,76,28,0,31.94134107568535,0,,,0.04085118882358074
50yr_0120m_h326,50,0120,,0,ENUM,6.34075045390405,16,127,48,0,49.290232028288486,0,,,0.058881836012005806
100yr_1440m_h1192,100,1440,,0,ENUM,6.295171684433167,226,431,86,0,378.8322470603589,0,,,0.4266429408453405
80yr_1080m_h1070,80,1080,,0,ENUM,6.293656060875527,122,456,45,2,292.12224282384346,0,,,0.3269739730749279
80yr_0240m_h559,80,0240,,0,ENUM,6.281983805824545,26,223,60,0,80.99148992294886,0,,,0.09399821399711072
50yr_1080m_h1043,50,1080,,0,ENUM,6.301119009210876,136,414,51,0,291.0713501962849,0,,,0.3277257769368589
100yr_1440m_h1121,100,1440,,0,ENUM,6.291460505467286,228,428,87,1,378.85680396602277,0,,,0.4330687620677054
20yr_0180m_h491,20,0180,,0,ENUM,6.313919548753279,26,150,42,0,63.389361514657125,0,,,0.0796941730659455
30yr_1080m_h996,30,1080,,0,ENUM,6.29706205179185,192,319,75,2,286.74369532754076,0,,,0.3906363439746201
20yr_0540m_h860,20,0540,,0,ENUM,6.304628624670728,88,297,39,2,153.65608342771057,0,,,0.20951908291317523
20yr_0060m_h165,20,0060,,0,ENUM,6.572733896296392,10,72,28,0,32.49925832025042,0,,,0.049754241947084665
100yr_0060m_h152,100,0060,,0,ENUM,6.583215381599198,10,95,38,0,34.21121811034831,0,,,0.05125170201063156
10yr_1440m_h1152,10,1440,,0,ENUM,6.315540807731407,138,299,47,0,377.99429207562207,0,,,0.5529162280727178
50yr_0240m_h505,50,0240,,0,ENUM,6.300880965778695,18,239,37,0,80.86148488453115,0,,,0.09522954002022743
80yr_0180m_h419,80,0180,,0,ENUM,6.319711444938423,16,189,56,0,65.75992111911204,0,,,0.0772239058278501
50yr_0360m_h711,50,0360,,0,ENUM,6.299806240471265,60,272,57,0,109.90121371502264,0,,,0.1270533159840852
50yr_0720m_h954,50,0720,,0,ENUM,6.30371218931041,116,381,47,0,200.2577348329214,0,,,0.22506819386035204
20yr_1440m_h1183,20,1440,,0,ENUM,6.310145363924578,190,323,68,2,376.715940916407,0,,,0.4200164780486375
50yr_0240m_h529,50,0240,,0,ENUM,6.324520318907757,22,228,47,0,80.87225765890193,0,,,0.09581342292949557
20yr_0360m_h691,20,0360,,0,ENUM,6.291059128802393,64,249,36,1,108.59494810243419,0,,,0.12097575888037682
10yr_0120m_h362,10,0120,,0,ENUM,6.262824519131117,24,107,29,0,46.81180860264981,0,,,0.05652302596718073
80yr_0720m_h916,80,0720,,0,ENUM,6.284471651653052,88,429,36,2,202.25773743009285,0,,,0.23086927901022136
50yr_0180m_h457,50,0180,,0,ENUM,6.3200587926671865,18,176,51,0,64.97117425195773,0,,,0.07570242206566036
50yr_0720m_h943,50,0720,,0,ENUM,6.30725760731156,106,390,42,0,200.60881631581088,0,,,0.22697322792373598
10yr_0180m_h454,10,0180,,0,ENUM,6.32578158918582,24,146,21,0,62.24054487442232,0,,,0.0707025108858943
80yr_1440m_h1136,80,1440,,0,ENUM,6.284636393101892,212,424,76,1,379.16171418509487,0,,,0.42953694984316826
80yr_0180m_h393,80,0180,,0,ENUM,6.3691091806625755,18,198,47,0,65.39343419972911,0,,,0.07982415612787008
80yr_0180m_h480,80,0180,,0,ENUM,6.2716505684666295,28,174,62,0,65.5954231508027,0,,,0.0763134709559381
80yr_0120m_h368,80,0120,,0,ENUM,6.519893743289794,20,136,53,0,50.277211020815734,0,,,0.06002089404501021
10yr_0540m_h860,10,0540,,0,ENUM,6.314062235099575,88,249,36,0,152.5343012766175,0,,,0.1729663028381765
100yr_0240m_h611,100,0240,,0,ENUM,6.2743308163836415,38,215,73,0,81.88283996907568,0,,,0.09353871596977115
50yr_1080m_h1052,50,1080,,0,ENUM,6.2910010716859315,126,424,44,0,291.2555600119176,0,,,0.3284488320350647
10yr_0120m_h363,10,0120,,0,ENUM,6.323450208281817,20,101,29,0,46.7786037646779,0,,,0.05577077507041395
20yr_0180m_h410,20,0180,,0,ENUM,6.342763124862939,22,168,31,0,63.44066779738428,0,,,0.07496031885966659
10yr_0720m_h957,10,0720,,0,ENUM,6.284715424662087,90,278,33,1,198.34971573575586,0,,,0.2187362927943468
10yr_0540m_h824,10,0540,,0,ENUM,6.2963093955717,80,253,34,0,153.50469764151603,0,,,0.16797911818139255
30yr_0360m_h629,30,0360,,0,ENUM,6.280768807667611,36,288,23,0,111.21710333677919,0,,,0.12443211791105568
10yr_0720m_h871,10,0720,,0,ENUM,6.311597890433613,118,237,47,1,196.7329463517333,0,,,0.2650918879080564
30yr_0540m_h864,30,0540,,0,ENUM,6.292799634252759,90,323,44,1,154.49985121584103,0,,,0.21919229114428163
30yr_0060m_h192,30,0060,,0,ENUM,6.477915160140482,10,73,32,0,32.97414387508117,0,,,0.0491075289901346
50yr_1080m_h999,50,1080,,0,ENUM,6.286276143511618,158,386,60,0,289.5883074104969,0,,,0.3929356650914997
30yr_1080m_h994,30,1080,,0,ENUM,6.284788829186936,174,335,65,2,287.6709005650225,0,,,0.42523029795847833
80yr_1440m_h1125,80,1440,,0,ENUM,6.289824825164391,230,406,85,3,377.6548427763652,0,,,0.4329671850427985
20yr_0120m_h350,20,0120,,0,ENUM,6.312437383899143,18,120,34,0,47.89369117533835,0,,,0.05764505406841636
10yr_0720m_h944,10,0720,,0,ENUM,6.2837480019814205,80,275,29,0,199.1029590594086,0,,,0.218432298861444
10yr_0540m_h842,10,0540,,0,ENUM,6.3183234733606195,88,257,37,0,152.8161064029394,0,,,0.17248838092200458
100yr_0240m_h612,100,0240,,0,ENUM,6.2719783188772515,38,213,73,1,81.61998100243773,0,,,0.09392495499923825
30yr_0360m_h647,30,0360,,0,ENUM,6.285343036685359,50,286,28,0,110.14606872919512,0,,,0.12416242808103561
20yr_0060m_h132,20,0060,,0,ENUM,6.399166546499847,10,86,21,0,32.17664291705607,0,,,0.040278584929183125
100yr_0180m_h375,100,0180,,0,ENUM,6.399848790962122,12,202,49,0,65.99649303997859,0,,,0.07857775781303644
30yr_0120m_h308,30,0120,,0,ENUM,6.349447939208069,12,130,40,0,48.436091555108895,0,,,0.058849401073530316
80yr_0720m_h937,80,0720,,0,ENUM,6.293609113330705,92,430,37,1,202.41587986820258,0,,,0.2259835321456194
10yr_0360m_h660,10,0360,,0,ENUM,6.298624601313366,44,235,18,0,108.69698142132192,0,,,0.11941428785212338
50yr_1080m_h1102,50,1080,,0,ENUM,6.300413888473543,162,396,61,1,289.3078276303176,0,,,0.3300514491274953
