L,gamma_h,forecast,n_scenarios,mean_act0_lock_rate,frac_fully_locked,overflow_rate,mean_max_level_m,median_steps_to_first_pump,n_never_pump,mean_n_switches,mean_n_dryrun_proxy
1,1.0,perfect,270,1.0,1,1,10.0,,270,0,0
2,0.9,perfect,270,0.54384,0,0,9.4186,64.5,0,8.04,0
2,0.9,persistence,270,0.54361,0,0,9.4185,64.5,0,7.97,0
2,1.0,perfect,270,0.53708,0,0,9.2137,63.5,0,7.87,0
2,1.0,persistence,270,0.53723,0,0,9.2137,63.5,0,7.89,0
3,0.9,perfect,270,0.50325,0,0,8.1075,55.5,0,10.24,0
3,0.9,persistence,270,0.50203,0,0,8.109,55.5,0,10.3,0
3,1.0,perfect,270,0.4789,0,0,7.9604,53.0,0,10.68,0
3,1.0,persistence,270,0.48084,0,0,7.961,53.0,0,10.66,0
4,0.9,perfect,270,0.48764,0,0,7.7142,50.0,0,12.64,0
4,0.9,persistence,270,0.48531,0,0,7.7197,50.0,0,12.64,0
4,1.0,perfect,270,0.4448,0,0,7.4394,48.0,0,13.01,0
4,1.0,persistence,270,0.45215,0,0,7.4512,48.0,0,13.04,0
5,0.9,perfect,270,0.44716,0,0,7.4504,48.0,0,9.95,0
5,0.9,persistence,270,0.44988,0,0,7.4625,48.0,0,10.04,0
5,1.0,perfect,270,0.36915,0,0,7.1399,43.5,0,10.12,0
5,1.0,persistence,270,0.37992,0,0,7.152,44.0,0,10.24,0
