L,gamma_h,forecast,duration_min,n_scenarios,overflow_rate,mean_max_level_m,mean_act0_lock_rate
1,1.0,perfect,0060,30,1,10.0,1.0
1,1.0,perfect,0120,30,1,10.0,1.0
1,1.0,perfect,0180,30,1,10.0,1.0
1,1.0,perfect,0240,30,1,10.0,1.0
1,1.0,perfect,0360,30,1,10.0,1.0
1,1.0,perfect,0540,30,1,10.0,1.0
1,1.0,perfect,0720,30,1,10.0,1.0
1,1.0,perfect,1080,30,1,10.0,1.0
1,1.0,perfect,1440,30,1,10.0,1.0
2,0.9,perfect,0060,30,0,9.4086,0.5724
2,0.9,perfect,0120,30,0,9.5694,0.5348
2,0.9,perfect,0180,30,0,9.3872,0.4814
2,0.9,perfect,0240,30,0,9.4106,0.4689
2,0.9,perfect,0360,30,0,9.3946,0.5144
2,0.9,perfect,0540,30,0,9.3974,0.5256
2,0.9,perfect,0720,30,0,9.3941,0.5857
2,0.9,perfect,1080,30,0,9.4039,0.5845
2,0.9,perfect,1440,30,0,9.4014,0.6268
2,0.9,persistence,0060,30,0,9.4086,0.5741
2,0.9,persistence,0120,30,0,9.5694,0.5345
2,0.9,persistence,0180,30,0,9.3872,0.4805
2,0.9,persistence,0240,30,0,9.4106,0.4685
2,0.9,persistence,0360,30,0,9.3946,0.5151
2,0.9,persistence,0540,30,0,9.3974,0.5256
2,0.9,persistence,0720,30,0,9.3941,0.5857
2,0.9,persistence,1080,30,0,9.4039,0.5817
2,0.9,persistence,1440,30,0,9.4011,0.6269
2,1.0,perfect,0060,30,0,9.2734,0.55
2,1.0,perfect,0120,30,0,9.3292,0.5269
2,1.0,perfect,0180,30,0,9.1783,0.4828
2,1.0,perfect,0240,30,0,9.1789,0.4662
2,1.0,perfect,0360,30,0,9.1785,0.5035
2,1.0,perfect,0540,30,0,9.2002,0.5143
2,1.0,perfect,0720,30,0,9.1867,0.571
2,1.0,perfect,1080,30,0,9.1982,0.588
2,1.0,perfect,1440,30,0,9.1997,0.631
2,1.0,persistence,0060,30,0,9.2734,0.5494
2,1.0,persistence,0120,30,0,9.3292,0.5273
2,1.0,persistence,0180,30,0,9.1783,0.4836
2,1.0,persistence,0240,30,0,9.1789,0.4669
2,1.0,persistence,0360,30,0,9.1785,0.5045
2,1.0,persistence,0540,30,0,9.2002,0.5132
2,1.0,persistence,0720,30,0,9.1867,0.5709
2,1.0,persistence,1080,30,0,9.1982,0.5882
2,1.0,persistence,1440,30,0,9.1997,0.6311
3,0.9,perfect,0060,30,0,8.0853,0.5264
3,0.9,perfect,0120,30,0,8.0977,0.4917
3,0.9,perfect,0180,30,0,8.0787,0.4257
3,0.9,perfect,0240,30,0,8.0949,0.4135
3,0.9,perfect,0360,30,0,8.1059,0.4593
3,0.9,perfect,0540,30,0,8.1122,0.4733
3,0.9,perfect,0720,30,0,8.1285,0.5236
3,0.9,perfect,1080,30,0,8.1307,0.5854
3,0.9,perfect,1440,30,0,8.1341,0.6303
3,0.9,persistence,0060,30,0,8.0964,0.527
3,0.9,persistence,0120,30,0,8.0977,0.4924
3,0.9,persistence,0180,30,0,8.0787,0.4198
3,0.9,persistence,0240,30,0,8.0949,0.411
3,0.9,persistence,0360,30,0,8.1078,0.4564
3,0.9,persistence,0540,30,0,8.1122,0.4726
3,0.9,persistence,0720,30,0,8.1285,0.5235
3,0.9,persistence,1080,30,0,8.1307,0.5856
3,0.9,persistence,1440,30,0,8.1341,0.6299
3,1.0,perfect,0060,30,0,7.9104,0.4569
3,1.0,perfect,0120,30,0,7.9173,0.458
3,1.0,perfect,0180,30,0,7.9374,0.4144
