scenario_id,return_period,duration_min,L,gamma_h,forecast,n_decisions,act0_lock_rate,overflow,max_level_m,steps_to_first_pump,wall_s
50yr_0060m_h244,50,0060,1,1.0,perfect,58,1.0,1,10.0,,0.001
50yr_0060m_h244,50,0060,2,1.0,perfect,58,0.5345,0,9.2304,27,0.001
50yr_0060m_h244,50,0060,3,1.0,perfect,58,0.4828,0,8.0224,23,0.004
50yr_0060m_h244,50,0060,4,1.0,perfect,58,0.3966,0,7.3576,21,0.015
50yr_0060m_h244,50,0060,5,1.0,perfect,58,0.3276,0,7.2316,19,0.032
50yr_0060m_h244,50,0060,6,1.0,perfect,58,0.3103,0,7.3083,18,0.292
50yr_0060m_h244,50,0060,7,1.0,perfect,58,0.2759,0,7.6423,16,3.264
50yr_0060m_h244,50,0060,8,1.0,perfect,58,0.2586,0,7.9598,15,24.602
50yr_0120m_h326,50,0120,1,1.0,perfect,88,1.0,1,10.0,,0.001
50yr_0120m_h326,50,0120,2,1.0,perfect,88,0.5455,0,9.3543,36,0.002
50yr_0120m_h326,50,0120,3,1.0,perfect,88,0.4886,0,7.8723,31,0.005
50yr_0120m_h326,50,0120,4,1.0,perfect,88,0.4318,0,7.3988,29,0.014
50yr_0120m_h326,50,0120,5,1.0,perfect,88,0.3864,0,7.1091,26,0.043
50yr_0120m_h326,50,0120,6,1.0,perfect,88,0.3409,0,7.131,24,0.315
50yr_0120m_h326,50,0120,7,1.0,perfect,88,0.3182,0,7.2405,22,4.131
50yr_0120m_h326,50,0120,8,1.0,perfect,88,0.2955,0,7.6128,21,35.436
50yr_0180m_h411,50,0180,1,1.0,perfect,118,1.0,1,10.0,,0.001
50yr_0180m_h411,50,0180,2,1.0,perfect,118,0.3729,0,9.128,34,0.004
50yr_0180m_h411,50,0180,3,1.0,perfect,118,0.3644,0,7.9804,29,0.014
50yr_0180m_h411,50,0180,4,1.0,perfect,118,0.3559,0,7.266,26,0.023
50yr_0180m_h411,50,0180,5,1.0,perfect,118,0.3305,0,7.0018,24,0.059
50yr_0180m_h411,50,0180,6,1.0,perfect,118,0.2966,0,7.0596,22,0.441
50yr_0180m_h411,50,0180,7,1.0,perfect,118,0.2881,0,7.3071,21,5.732
50yr_0180m_h411,50,0180,8,1.0,perfect,118,0.2542,0,7.5229,19,50.141
50yr_0240m_h616,50,0240,1,1.0,perfect,148,1.0,1,10.0,,0.002
50yr_0240m_h616,50,0240,2,1.0,perfect,148,0.5743,0,9.2185,73,0.004
50yr_0240m_h616,50,0240,3,1.0,perfect,148,0.4595,0,7.9406,57,0.013
50yr_0240m_h616,50,0240,4,1.0,perfect,148,0.3986,0,7.444,51,0.028
50yr_0240m_h616,50,0240,5,1.0,perfect,148,0.3581,0,7.1967,46,0.074
50yr_0240m_h616,50,0240,6,1.0,perfect,148,0.3176,0,7.0101,42,0.567
50yr_0240m_h616,50,0240,7,1.0,perfect,148,0.2973,0,7.1306,39,7.139
50yr_0240m_h616,50,0240,8,1.0,perfect,148,0.2838,0,7.4685,37,60.453
50yr_0360m_h678,50,0360,1,1.0,perfect,208,1.0,1,10.0,,0.002
50yr_0360m_h678,50,0360,2,1.0,perfect,208,0.3894,0,9.2501,55,0.006
50yr_0360m_h678,50,0360,3,1.0,perfect,208,0.3606,0,7.9089,46,0.011
50yr_0360m_h678,50,0360,4,1.0,perfect,208,0.3413,0,7.4692,43,0.02
50yr_0360m_h678,50,0360,5,1.0,perfect,208,0.3125,0,7.0936,39,0.082
50yr_0360m_h678,50,0360,6,1.0,perfect,208,0.3029,0,6.9418,36,0.77
50yr_0360m_h678,50,0360,7,1.0,perfect,208,0.2837,0,6.9643,34,10.423
50yr_0360m_h678,50,0360,8,1.0,perfect,208,0.2788,0,7.1299,33,84.119
50yr_0540m_h777,50,0540,1,1.0,perfect,298,1.0,1,10.0,,0.003
50yr_0540m_h777,50,0540,2,1.0,perfect,298,0.5168,0,9.2536,74,0.007
50yr_0540m_h777,50,0540,3,1.0,perfect,298,0.4933,0,8.0046,62,0.021
50yr_0540m_h777,50,0540,4,1.0,perfect,298,0.4262,0,7.5554,57,0.034
50yr_0540m_h777,50,0540,5,1.0,perfect,298,0.3255,0,7.1569,53,0.13
50yr_0540m_h777,50,0540,6,1.0,perfect,298,0.3154,0,6.9859,49,1.404
50yr_0540m_h777,50,0540,7,1.0,perfect,298,0.3087,0,6.9605,46,13.76
50yr_0540m_h777,50,0540,8,1.0,perfect,298,0.3054,0,7.1124,44,116.901
50yr_0720m_h940,50,0720,1,1.0,perfect,388,1.0,1,10.0,,0.004
50yr_0720m_h940,50,0720,2,1.0,perfect,388,0.5644,0,9.1922,139,0.017
50yr_0720m_h940,50,0720,3,1.0,perfect,388,0.482,0,8.0053,111,0.024
50yr_0720m_h940,50,0720,4,1.0,perfect,388,0.5232,0,7.5253,98,0.043
50yr_0720m_h940,50,0720,5,1.0,perfect,388,0.3814,0,7.1579,86,0.172
50yr_0720m_h940,50,0720,6,1.0,perfect,388,0.3299,0,7.005,77,1.368
50yr_0720m_h940,50,0720,7,1.0,perfect,388,0.3454,0,6.9684,71,17.845
50yr_0720m_h940,50,0720,8,1.0,perfect,388,0.3351,0,6.8283,67,155.495
50yr_1080m_h1083,50,1080,1,1.0,perfect,568,1.0,1,10.0,,0.007
50yr_1080m_h1083,50,1080,2,1.0,perfect,568,0.5123,0,9.1837,191,0.013
50yr_1080m_h1083,50,1080,3,1.0,perfect,568,0.5511,0,8.0028,148,0.021
50yr_1080m_h1083,50,1080,4,1.0,perfect,568,0.5141,0,7.5361,130,0.051
50yr_1080m_h1083,50,1080,5,1.0,perfect,568,0.412,0,7.2088,113,0.242
50yr_1080m_h1083,50,1080,6,1.0,perfect,568,0.3697,0,7.0337,102,1.973
50yr_1080m_h1083,50,1080,7,1.0,perfect,568,0.3944,0,6.8036,95,26.241
50yr_1080m_h1083,50,1080,8,1.0,perfect,568,0.3891,0,6.6656,90,221.117
50yr_1440m_h1145,50,1440,1,1.0,perfect,748,1.0,1,10.0,,0.009
50yr_1440m_h1145,50,1440,2,1.0,perfect,748,0.6952,0,9.2298,87,0.016
50yr_1440m_h1145,50,1440,3,1.0,perfect,748,0.5655,0,8.0049,68,0.027
50yr_1440m_h1145,50,1440,4,1.0,perfect,748,0.607,0,7.556,60,0.064
50yr_1440m_h1145,50,1440,5,1.0,perfect,748,0.4505,0,7.2144,54,0.316
50yr_1440m_h1145,50,1440,6,1.0,perfect,748,0.4412,0,6.9858,49,2.58
50yr_1440m_h1145,50,1440,7,1.0,perfect,748,0.4465,0,6.818,45,33.869
50yr_1440m_h1145,50,1440,8,1.0,perfect,748,0.4291,0,6.6904,43,297.007
