scenario_id,return_period,duration_min,L,gamma_h,forecast,n_decisions,act0_lock_rate,fully_locked,overflow,max_level_m,steps_to_first_pump,n_switches,n_dryrun_proxy
10yr_0060m_h207,10,0060,1,1.0,perfect,58,1.0,1,1,10.0,,0,0
10yr_0060m_h207,10,0060,2,1.0,perfect,58,0.6379310344827587,0,0,9.306063312117164,27,5,0
10yr_0060m_h207,10,0060,2,1.0,persistence,58,0.6379310344827587,0,0,9.306063312117164,27,5,0
10yr_0060m_h207,10,0060,2,0.9,perfect,58,0.6724137931034483,0,0,9.306063312117164,27,5,0
10yr_0060m_h207,10,0060,2,0.9,persistence,58,0.6724137931034483,0,0,9.306063312117164,27,5,0
10yr_0060m_h207,10,0060,3,1.0,perfect,58,0.5344827586206896,0,0,7.706481727151119,21,5,0
10yr_0060m_h207,10,0060,3,1.0,persistence,58,0.5689655172413793,0,0,7.706481727151119,21,5,0
10yr_0060m_h207,10,0060,3,0.9,perfect,58,0.5862068965517241,0,0,8.011366566000163,22,6,0
10yr_0060m_h207,10,0060,3,0.9,persistence,58,0.6551724137931034,0,0,8.011366566000163,22,6,0
10yr_0060m_h207,10,0060,4,1.0,perfect,58,0.4827586206896552,0,0,7.084999572858087,19,6,0
10yr_0060m_h207,10,0060,4,1.0,persistence,58,0.4827586206896552,0,0,7.084999572858087,19,6,0
10yr_0060m_h207,10,0060,4,0.9,perfect,58,0.5689655172413793,0,0,7.387404767307825,20,5,0
10yr_0060m_h207,10,0060,4,0.9,persistence,58,0.5689655172413793,0,0,7.387404767307825,20,6,0
10yr_0060m_h207,10,0060,5,1.0,perfect,58,0.41379310344827586,0,0,6.918114633006419,18,7,0
10yr_0060m_h207,10,0060,5,1.0,persistence,58,0.4482758620689655,0,0,6.918114633006419,18,7,0
10yr_0060m_h207,10,0060,5,0.9,perfect,58,0.5172413793103449,0,0,7.084999572858087,19,6,0
10yr_0060m_h207,10,0060,5,0.9,persistence,58,0.5862068965517241,0,0,7.084999572858087,19,6,0
10yr_0060m_h193,10,0060,1,1.0,perfect,58,1.0,1,1,10.0,,0,0
10yr_0060m_h193,10,0060,2,1.0,perfect,58,0.6724137931034483,0,0,9.177863164040884,27,5,0
