scenario_id,return_period,duration_min,L,forecast,n_decisions,max_level_m,overflow,n_switches,steps_to_first_pump,n_dryrun_proxy
10yr_0060m_h229,10,0060,2,perfect,58,5.5145,0,12,13,0
10yr_0060m_h229,10,0060,3,perfect,58,5.7475,0,11,11,0
10yr_0060m_h229,10,0060,5,perfect,58,6.0477,0,9,11,0
10yr_0180m_h385,10,0180,2,perfect,118,5.3975,0,20,9,0
10yr_0180m_h385,10,0180,3,perfect,118,5.591,0,30,8,0
10yr_0180m_h385,10,0180,5,perfect,118,6.3516,0,16,13,0
10yr_0180m_h395,10,0180,2,perfect,118,5.5087,0,19,9,0
10yr_0180m_h395,10,0180,3,perfect,118,5.5982,0,22,8,0
10yr_0180m_h395,10,0180,5,perfect,118,6.3497,0,15,14,0
10yr_0120m_h312,10,0120,2,perfect,88,5.3902,0,18,18,0
10yr_0120m_h312,10,0120,3,perfect,88,5.8028,0,16,16,0
10yr_0120m_h312,10,0120,5,perfect,88,6.104,0,12,16,0
10yr_0060m_h193,10,0060,2,perfect,58,5.421,0,15,12,0
10yr_0060m_h193,10,0060,3,perfect,58,5.8154,0,12,10,0
10yr_0060m_h193,10,0060,5,perfect,58,6.0109,0,10,10,0
10yr_0120m_h362,10,0120,2,perfect,88,5.3837,0,20,20,0
10yr_0120m_h362,10,0120,3,perfect,88,5.8229,0,14,18,0
10yr_0120m_h362,10,0120,5,perfect,88,6.1063,0,11,18,0
10yr_0120m_h248,10,0120,2,perfect,88,5.4893,0,18,8,0
10yr_0120m_h248,10,0120,3,perfect,88,5.8622,0,14,6,0
10yr_0120m_h248,10,0120,5,perfect,88,6.2231,0,10,11,0
10yr_0120m_h345,10,0120,2,perfect,88,5.4042,0,17,20,0
10yr_0120m_h345,10,0120,3,perfect,88,5.8307,0,15,18,0
10yr_0120m_h345,10,0120,5,perfect,88,6.0808,0,10,18,0
10yr_0060m_h207,10,0060,2,perfect,58,5.5011,0,13,12,0
10yr_0060m_h207,10,0060,3,perfect,58,5.808,0,12,10,0
10yr_0060m_h207,10,0060,5,perfect,58,5.9883,0,10,10,0
10yr_0060m_h195,10,0060,2,perfect,58,5.5084,0,13,12,0
10yr_0060m_h195,10,0060,3,perfect,58,5.8089,0,13,10,0
10yr_0060m_h195,10,0060,5,perfect,58,5.9838,0,10,10,0
10yr_0180m_h431,10,0180,2,perfect,118,5.4135,0,24,18,0
10yr_0180m_h431,10,0180,3,perfect,118,5.4217,0,22,16,0
10yr_0180m_h431,10,0180,5,perfect,118,6.3853,0,11,16,0
10yr_0060m_h244,10,0060,2,perfect,58,5.4551,0,10,13,0
10yr_0060m_h244,10,0060,3,perfect,58,5.8396,0,11,12,0
10yr_0060m_h244,10,0060,5,perfect,58,6.0537,0,11,12,0
10yr_0180m_h429,10,0180,2,perfect,118,5.4154,0,22,18,0
10yr_0180m_h429,10,0180,3,perfect,118,5.6748,0,18,16,0
10yr_0180m_h429,10,0180,5,perfect,118,6.2159,0,15,16,0
10yr_0120m_h349,10,0120,2,perfect,88,5.4768,0,18,20,0
10yr_0120m_h349,10,0120,3,perfect,88,5.8086,0,15,18,0
10yr_0120m_h349,10,0120,5,perfect,88,6.0566,0,11,18,0
10yr_0180m_h472,10,0180,2,perfect,118,5.4428,0,14,25,0
10yr_0180m_h472,10,0180,3,perfect,118,5.6535,0,16,24,0
10yr_0180m_h472,10,0180,5,perfect,118,6.1427,0,15,25,0
10yr_0240m_h515,10,0240,2,perfect,148,5.4612,0,22,11,0
10yr_0240m_h515,10,0240,3,perfect,148,5.5966,0,24,9,0
10yr_0240m_h515,10,0240,5,perfect,148,6.4112,0,16,9,0
10yr_0360m_h672,10,0360,2,perfect,208,5.5125,0,27,28,0
10yr_0360m_h672,10,0360,3,perfect,208,5.8016,0,39,26,0
10yr_0360m_h672,10,0360,5,perfect,208,6.4361,0,24,27,0
10yr_0240m_h532,10,0240,2,perfect,148,5.4103,0,22,21,0
10yr_0240m_h532,10,0240,3,perfect,148,5.6025,0,16,20,1
10yr_0240m_h532,10,0240,5,perfect,148,6.3334,0,16,20,0
10yr_0240m_h522,10,0240,2,perfect,148,5.5016,0,21,11,0
10yr_0240m_h522,10,0240,3,perfect,148,5.6012,0,20,9,0
10yr_0240m_h522,10,0240,5,perfect,148,6.416,0,15,9,0
10yr_0240m_h602,10,0240,2,perfect,148,5.4849,0,19,30,0
10yr_0240m_h602,10,0240,3,perfect,148,5.72,0,24,28,0
10yr_0240m_h602,10,0240,5,perfect,148,6.1666,0,16,30,0
10yr_0240m_h600,10,0240,2,perfect,148,5.394,0,20,29,0
10yr_0240m_h600,10,0240,3,perfect,148,5.7513,0,27,28,0
10yr_0240m_h600,10,0240,5,perfect,148,6.2107,0,19,30,0
10yr_0360m_h685,10,0360,2,perfect,208,5.4966,0,26,32,0
