step,clock,vol,level,prev_action,L,first_action,best_seq,tau_L_best,tau_L_allzero,best_minus_zero,tau1_per_action,myopic_stays
155,156,9495.1,8.1461,0,1,0,0,0.65,0.65,0.0,0.6500|0.5946|0.5392|0.4837|0.4455|0.4073,1
155,156,9495.1,8.1461,0,2,0,0-0,1.3,1.3,0.0,0.6500|0.5946|0.5392|0.4837|0.4455|0.4073,1
155,156,9495.1,8.1461,0,3,5,5-5-5,1.99761,1.95,0.04761,0.6500|0.5946|0.5392|0.4837|0.4455|0.4073,1
155,156,9495.1,8.1461,0,4,5,5-5-5-5,2.77134,2.6,0.17134,0.6500|0.5946|0.5392|0.4837|0.4455|0.4073,1
155,156,9495.1,8.1461,0,5,5,5-5-5-5-5,3.53002,3.25,0.28002,0.6500|0.5946|0.5392|0.4837|0.4455|0.4073,1
174,175,13084.6,9.1242,0,1,0,0,0.65,0.65,0.0,0.6500|0.6022|0.5544|0.5067|0.4814|0.4562,1
174,175,13084.6,9.1242,0,2,0,0-0,1.3,1.3,0.0,0.6500|0.6022|0.5544|0.5067|0.4814|0.4562,1
174,175,13084.6,9.1242,0,3,5,5-5-5,2.12013,1.95,0.17013,0.6500|0.6022|0.5544|0.5067|0.4814|0.4562,1
174,175,13084.6,9.1242,0,4,5,5-5-5-5,2.92935,2.6,0.32935,0.6500|0.6022|0.5544|0.5067|0.4814|0.4562,1
174,175,13084.6,9.1242,0,5,5,5-5-5-5-5,3.73292,3.25,0.48292,0.6500|0.6022|0.5544|0.5067|0.4814|0.4562,1
175,176,13287.9,9.1853,0,1,0,0,0.65,0.65,0.0,0.6500|0.6027|0.5554|0.5081|0.4837|0.4593,1
175,176,13287.9,9.1853,0,2,5,5-5,1.30237,1.3,0.00237,0.6500|0.6027|0.5554|0.5081|0.4837|0.4593,1
175,176,13287.9,9.1853,0,3,5,5-5-5,2.12935,1.95,0.17935,0.6500|0.6027|0.5554|0.5081|0.4837|0.4593,1
175,176,13287.9,9.1853,0,4,5,5-5-5-5,2.94021,2.6,0.34021,0.6500|0.6027|0.5554|0.5081|0.4837|0.4593,1
175,176,13287.9,9.1853,0,5,5,5-5-5-5-5,3.74488,3.25,0.49488,0.6500|0.6027|0.5554|0.5081|0.4837|0.4593,1
195,196,17613.7,10.0,0,1,0,0,0.65,0.65,0.0,0.6500|0.6091|0.5681|0.5272|0.5136|0.5000,1
195,196,17613.7,10.0,0,2,5,5-5,1.4,1.3,0.1,0.6500|0.6091|0.5681|0.5272|0.5136|0.5000,1
195,196,17613.7,10.0,0,3,5,5-5-5,2.29266,1.95,0.34266,0.6500|0.6091|0.5681|0.5272|0.5136|0.5000,1
195,196,17613.7,10.0,0,4,5,5-5-5-5,3.16956,2.6,0.56956,0.6500|0.6091|0.5681|0.5272|0.5136|0.5000,1
195,196,17613.7,10.0,0,5,5,5-5-5-5-5,4.03071,3.25,0.78071,0.6500|0.6091|0.5681|0.5272|0.5136|0.5000,1
374,375,63008.5,10.0,0,1,0,0,0.65,0.65,0.0,0.6500|0.6091|0.5681|0.5272|0.5136|0.5000,1
374,375,63008.5,10.0,0,2,5,5-5,1.4,1.3,0.1,0.6500|0.6091|0.5681|0.5272|0.5136|0.5000,1
374,375,63008.5,10.0,0,3,5,5-5-5,2.3,1.95,0.35,0.6500|0.6091|0.5681|0.5272|0.5136|0.5000,1
374,375,63008.5,10.0,0,4,5,5-5-5-5,3.2,2.6,0.6,0.6500|0.6091|0.5681|0.5272|0.5136|0.5000,1
374,375,63008.5,10.0,0,5,5,5-5-5-5-5,4.1,3.25,0.85,0.6500|0.6091|0.5681|0.5272|0.5136|0.5000,1
