scenario_id,return_period,duration_min,L,gamma_h,forecast,weights,n_decisions,max_level_m,overflow,n_switches,act0_lock_rate,steps_to_first_pump,n_dryrun_proxy,cum_tau_L,cum_tau1_realized,frac_const_seq,mean_const_gap,frac_const_gap_zero
10yr_0060m_h193,10,0060,7,1.0,persistence,new,58,6.3603,0,13,0.34483,11,0,229.320502,31.872605,0.44828,0.045136,0.44828
10yr_0060m_h193,10,0060,8,1.0,persistence,new,58,6.4972,0,7,0.32759,11,0,265.436699,32.227612,0.43103,0.0551,0.43103
80yr_0060m_h246,80,0060,7,1.0,persistence,new,58,7.0382,0,10,0.25862,10,0,247.295382,34.571531,0.48276,0.036954,0.48276
80yr_0060m_h246,80,0060,8,1.0,persistence,new,58,7.29,0,8,0.39655,19,0,291.115638,35.255954,0.5,0.05283,0.5
10yr_0120m_h345,10,0120,7,1.0,persistence,new,88,6.7928,0,14,0.31818,20,0,351.511318,48.794732,0.43182,0.038456,0.43182
10yr_0120m_h345,10,0120,8,1.0,persistence,new,88,6.9748,0,10,0.28409,20,0,404.740532,49.231308,0.46591,0.044807,0.46591
10yr_0180m_h385,10,0180,7,1.0,persistence,new,118,6.7296,0,11,0.24576,8,0,466.205779,64.866595,0.26271,0.059352,0.26271
10yr_0180m_h385,10,0180,8,1.0,persistence,new,118,6.9757,0,10,0.29661,17,0,539.083901,65.382438,0.20339,0.079248,0.20339
80yr_0120m_h311,80,0120,7,1.0,persistence,new,88,6.7003,0,12,0.25,14,0,373.292251,52.267722,0.5,0.037882,0.5
80yr_0120m_h311,80,0120,8,1.0,persistence,new,88,6.8372,0,10,0.25,14,0,429.671107,52.634048,0.51136,0.047023,0.51136
10yr_0240m_h515,10,0240,7,1.0,persistence,new,148,6.8462,0,13,0.21622,10,0,583.724972,80.984283,0.18919,0.071522,0.18919
10yr_0240m_h515,10,0240,8,1.0,persistence,new,148,7.1492,0,9,0.2973,21,0,672.295218,81.354722,0.15541,0.090325,0.15541
80yr_0180m_h396,80,0180,7,1.0,persistence,new,118,6.5864,0,11,0.22881,12,0,490.545632,68.405653,0.27966,0.057278,0.27966
80yr_0180m_h396,80,0180,8,1.0,persistence,new,118,6.6548,0,11,0.21186,13,0,564.971616,68.793316,0.27966,0.069293,0.27966
10yr_0360m_h672,10,0360,7,1.0,persistence,new,208,6.9153,0,20,0.30769,29,0,832.328213,113.61542,0.26923,0.066508,0.26923
10yr_0360m_h672,10,0360,8,1.0,persistence,new,208,7.0963,0,18,0.31731,29,0,945.961544,113.603168,0.25481,0.08333,0.25481
80yr_0240m_h578,80,0240,7,1.0,persistence,new,148,6.8907,0,16,0.22973,22,0,606.716589,84.635416,0.48649,0.042996,0.48649
80yr_0240m_h578,80,0240,8,1.0,persistence,new,148,7.0906,0,13,0.2027,22,0,700.865788,85.445647,0.38514,0.052691,0.38514
10yr_0540m_h800,10,0540,7,1.0,persistence,new,298,7.1943,0,26,0.34564,39,0,1144.246403,158.681867,0.25839,0.055921,0.25839
10yr_0540m_h800,10,0540,8,1.0,persistence,new,298,7.3177,0,28,0.34228,40,0,1317.736471,159.199318,0.26174,0.068872,0.26174
80yr_0360m_h677,80,0360,7,1.0,persistence,new,208,6.8711,0,20,0.24038,24,0,846.013138,117.660352,0.27885,0.068833,0.27885
80yr_0360m_h677,80,0360,8,1.0,persistence,new,208,7.0611,0,10,0.19712,24,0,982.744146,119.142535,0.18269,0.092342,0.18269
10yr_0720m_h912,10,0720,7,1.0,persistence,new,388,6.2413,0,40,0.39175,49,0,1431.398109,201.855012,0.31959,0.043155,0.31959
10yr_0720m_h912,10,0720,8,1.0,persistence,new,388,7.4231,0,34,0.38144,50,0,1700.103212,204.709111,0.24485,0.069391,0.24485
80yr_0540m_h850,80,0540,7,1.0,persistence,new,298,6.9593,0,26,0.23154,43,0,1188.600681,164.862935,0.28859,0.058065,0.28859
80yr_0540m_h850,80,0540,8,1.0,persistence,new,298,7.2864,0,28,0.25839,45,0,1369.570347,165.599752,0.27181,0.07312,0.27181
80yr_0720m_h952,80,0720,7,1.0,persistence,new,388,6.9066,0,38,0.29897,47,0,1512.981967,209.860694,0.28093,0.063746,0.28093
80yr_0720m_h952,80,0720,8,1.0,persistence,new,388,7.2115,0,34,0.30412,48,0,1781.403682,212.373682,0.25515,0.084038,0.25515
10yr_1080m_h1061,10,1080,7,1.0,persistence,new,568,6.6871,0,58,0.45951,78,0,2080.409601,292.041636,0.28169,0.048622,0.28169
10yr_1080m_h1061,10,1080,8,1.0,persistence,new,568,7.5239,0,54,0.45775,80,0,2414.525089,293.352306,0.25176,0.068504,0.25176
80yr_1080m_h1070,80,1080,7,1.0,persistence,new,568,7.0704,0,62,0.35915,64,0,2175.247271,300.067568,0.25352,0.058363,0.25352
80yr_1080m_h1070,80,1080,8,1.0,persistence,new,568,7.3989,0,58,0.35563,66,0,2498.467787,300.990968,0.2588,0.083158,0.2588
10yr_1440m_h1176,10,1440,7,1.0,persistence,new,748,5.8759,0,76,0.50802,85,0,2688.797076,380.383748,0.34091,0.041755,0.34091
10yr_1440m_h1176,10,1440,8,1.0,persistence,new,748,6.005,0,76,0.51604,88,0,3102.569391,381.716792,0.22727,0.066927,0.22727
80yr_1440m_h1188,80,1440,7,1.0,persistence,new,748,7.1607,0,88,0.41176,81,0,2780.889249,387.727689,0.2861,0.050796,0.2861
80yr_1440m_h1188,80,1440,8,1.0,persistence,new,748,7.4252,0,82,0.41711,83,0,3221.152868,389.74324,0.22594,0.071577,0.22594
