scenario_id,return_period,duration_min,L,form,c,n_decisions,max_level_m,overflow,n_switches,steps_to_first_pump,cum_tau_L
10yr_0060m_h193,10,0060,7,level,2.0,58,6.2241,0,9,11,229.049648
10yr_0060m_h193,10,0060,8,level,2.0,58,6.2418,0,10,11,263.976999
10yr_0060m_h193,10,0060,7,near_overflow,2.0,58,6.3603,0,13,11,229.320502
10yr_0060m_h193,10,0060,8,near_overflow,2.0,58,6.4972,0,7,11,265.436699
10yr_0120m_h345,10,0120,7,level,2.0,88,6.7928,0,10,20,350.525079
10yr_0120m_h345,10,0120,8,level,2.0,88,6.7694,0,11,20,403.184271
10yr_0120m_h345,10,0120,7,near_overflow,2.0,88,6.7928,0,14,20,351.511318
10yr_0120m_h345,10,0120,8,near_overflow,2.0,88,6.9748,0,10,20,404.740532
10yr_0180m_h385,10,0180,7,near_overflow,2.0,118,6.7296,0,11,8,466.205779
10yr_0180m_h385,10,0180,8,near_overflow,2.0,118,6.9757,0,10,17,539.083901
10yr_0240m_h515,10,0240,7,level,2.0,148,6.8042,0,20,10,586.160373
10yr_0240m_h515,10,0240,8,level,2.0,148,7.0628,0,24,19,675.081483
10yr_0240m_h515,10,0240,7,near_overflow,2.0,148,6.8462,0,13,10,583.724972
10yr_0240m_h515,10,0240,8,near_overflow,2.0,148,7.1492,0,9,21,672.295218
10yr_0180m_h385,10,0180,7,level,2.0,118,6.6477,0,19,8,467.421948
10yr_0180m_h385,10,0180,8,level,2.0,118,6.9387,0,23,17,542.858717
10yr_0360m_h672,10,0360,7,near_overflow,2.0,208,6.9153,0,20,29,832.328213
10yr_0360m_h672,10,0360,8,near_overflow,2.0,208,7.0963,0,18,29,945.961544
10yr_0360m_h672,10,0360,7,level,2.0,208,6.9153,0,32,29,835.085295
10yr_0360m_h672,10,0360,8,level,2.0,208,6.7099,0,25,29,943.694701
80yr_0060m_h246,80,0060,7,level,2.0,58,6.815,0,13,10,245.394454
80yr_0060m_h246,80,0060,8,level,2.0,58,7.1805,0,12,18,289.422901
80yr_0060m_h246,80,0060,7,near_overflow,2.0,58,7.0382,0,10,10,247.295382
80yr_0060m_h246,80,0060,8,near_overflow,2.0,58,7.29,0,8,19,291.115638
10yr_0540m_h800,10,0540,7,level,2.0,298,6.6076,0,60,39,1130.183216
10yr_0540m_h800,10,0540,8,level,2.0,298,7.0597,0,48,40,1321.767803
10yr_0540m_h800,10,0540,7,near_overflow,2.0,298,7.1943,0,26,39,1144.246403
10yr_0540m_h800,10,0540,8,near_overflow,2.0,298,7.3177,0,28,40,1317.736471
80yr_0120m_h311,80,0120,7,level,2.0,88,6.6318,0,18,14,371.908836
80yr_0120m_h311,80,0120,8,level,2.0,88,6.7688,0,11,14,429.951687
80yr_0120m_h311,80,0120,7,near_overflow,2.0,88,6.7003,0,12,14,373.292251
80yr_0120m_h311,80,0120,8,near_overflow,2.0,88,6.8372,0,10,14,429.671107
10yr_0720m_h912,10,0720,7,level,2.0,388,6.2413,0,68,49,1438.151013
10yr_0720m_h912,10,0720,8,level,2.0,388,6.6665,0,58,50,1673.817847
80yr_0180m_h396,80,0180,7,level,2.0,118,6.4495,0,17,12,486.816011
80yr_0180m_h396,80,0180,8,level,2.0,118,6.6548,0,17,13,564.426295
80yr_0180m_h396,80,0180,7,near_overflow,2.0,118,6.5864,0,11,12,490.545632
80yr_0180m_h396,80,0180,8,near_overflow,2.0,118,6.6548,0,11,13,564.971616
10yr_0720m_h912,10,0720,7,near_overflow,2.0,388,6.2413,0,40,49,1431.398109
10yr_0720m_h912,10,0720,8,near_overflow,2.0,388,7.4231,0,34,50,1700.103212
80yr_0240m_h578,80,0240,7,level,2.0,148,6.5213,0,27,22,600.763203
80yr_0240m_h578,80,0240,8,level,2.0,148,6.8734,0,20,22,694.283881
80yr_0240m_h578,80,0240,7,near_overflow,2.0,148,6.8907,0,16,22,606.716589
80yr_0240m_h578,80,0240,8,near_overflow,2.0,148,7.0906,0,13,22,700.865788
10yr_1080m_h1061,10,1080,7,level,2.0,568,6.2862,0,94,78,2077.341354
10yr_1080m_h1061,10,1080,8,level,2.0,568,7.1146,0,86,80,2409.907288
80yr_0360m_h677,80,0360,7,level,2.0,208,6.6859,0,25,24,851.587262
80yr_0360m_h677,80,0360,8,level,2.0,208,7.0611,0,22,24,986.28
80yr_0360m_h677,80,0360,7,near_overflow,2.0,208,6.8711,0,20,24,846.013138
80yr_0360m_h677,80,0360,8,near_overflow,2.0,208,7.0611,0,10,24,982.744146
10yr_1080m_h1061,10,1080,7,near_overflow,2.0,568,6.6871,0,58,78,2080.409601
10yr_1080m_h1061,10,1080,8,near_overflow,2.0,568,7.5239,0,54,80,2414.525089
80yr_0540m_h850,80,0540,7,near_overflow,2.0,298,6.9593,0,26,43,1188.600681
80yr_0540m_h850,80,0540,8,near_overflow,2.0,298,7.2864,0,28,45,1369.570347
80yr_0720m_h952,80,0720,7,level,2.0,388,6.3055,0,62,47,1494.920854
80yr_0720m_h952,80,0720,8,level,2.0,388,6.9031,0,61,48,1760.732806
80yr_0540m_h850,80,0540,7,level,2.0,298,6.8224,0,37,43,1184.254951
80yr_0540m_h850,80,0540,8,level,2.0,298,6.946,0,30,45,1376.186643
10yr_1440m_h1176,10,1440,7,level,2.0,748,5.8957,0,126,85,2702.506544
10yr_1440m_h1176,10,1440,8,level,2.0,748,5.9565,0,126,88,3096.09368
80yr_0720m_h952,80,0720,7,near_overflow,2.0,388,6.9066,0,38,47,1512.981967
80yr_0720m_h952,80,0720,8,near_overflow,2.0,388,7.2115,0,34,48,1781.403682
10yr_1440m_h1176,10,1440,7,near_overflow,2.0,748,5.8759,0,76,85,2688.797076
10yr_1440m_h1176,10,1440,8,near_overflow,2.0,748,6.005,0,76,88,3102.569391
80yr_1080m_h1070,80,1080,7,level,2.0,568,6.4358,0,103,64,2130.069715
80yr_1080m_h1070,80,1080,8,level,2.0,568,6.6737,0,104,66,2458.968915
80yr_1080m_h1070,80,1080,7,near_overflow,2.0,568,7.0704,0,62,64,2175.247271
80yr_1080m_h1070,80,1080,8,near_overflow,2.0,568,7.3989,0,58,66,2498.467787
80yr_1440m_h1188,80,1440,7,level,2.0,748,6.8083,0,143,81,2763.759652
80yr_1440m_h1188,80,1440,8,level,2.0,748,7.229,0,134,83,3207.90446
80yr_1440m_h1188,80,1440,7,near_overflow,2.0,748,7.1607,0,88,81,2780.889249
80yr_1440m_h1188,80,1440,8,near_overflow,2.0,748,7.4252,0,82,83,3221.152868
