scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
10yr_0060m_h143,10,0060,,2,GA-w_0.35_0.30_0.25_0.10,7.909044037795108,10,62,24,0,34.40704736016706,0,,,1.483167331898585
10yr_0060m_h207,10,0060,,2,GA-w_0.35_0.30_0.25_0.10,8.011366566000163,10,54,29,0,35.05227799917457,0,,,1.7629033729899675
10yr_0060m_h229,10,0060,,2,GA-w_0.35_0.30_0.25_0.10,7.857940327793221,10,52,29,0,34.96604660332381,0,,,1.3435507260728627
10yr_0060m_h234,10,0060,,2,GA-w_0.35_0.30_0.25_0.10,7.95165195767486,10,52,30,0,35.185620722514244,0,,,1.3800961789675057
10yr_0060m_h178,10,0060,,2,GA-w_0.35_0.30_0.25_0.10,7.963487734886189,10,58,28,0,34.83421865701132,0,,,1.5339082630816847
10yr_0120m_h330,10,0120,,2,GA-w_0.35_0.30_0.25_0.10,8.01252521408782,10,89,41,0,53.26839469215551,0,,,2.1912299550604075
10yr_0120m_h349,10,0120,,2,GA-w_0.35_0.30_0.25_0.10,7.9436029916279125,10,81,42,0,52.69746995015361,0,,,2.0669915569014847
10yr_0120m_h335,10,0120,,2,GA-w_0.35_0.30_0.25_0.10,8.00499792761945,10,88,40,0,53.11520126156047,0,,,2.303165802033618
10yr_0120m_h268,10,0120,,2,GA-w_0.35_0.30_0.25_0.10,7.943449031617828,10,101,28,0,51.94995198277067,0,,,2.025797445094213
10yr_0120m_h281,10,0120,,2,GA-w_0.35_0.30_0.25_0.10,7.95878028961686,10,95,35,0,52.53660778465144,0,,,2.32339810510166
10yr_0180m_h385,10,0180,,2,GA-w_0.35_0.30_0.25_0.10,7.968619493207349,10,135,28,0,69.18048663113329,0,,,2.6974498690105975
10yr_0180m_h433,10,0180,,2,GA-w_0.35_0.30_0.25_0.10,7.985766330240887,10,130,33,0,69.3175195035228,0,,,3.073813572060317
