scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
10yr_0060m_h143,10,0060,,2,PSO-w_0.40_0.25_0.25_0.10,6.512464720918142,10,76,16,0,31.428646606104305,0,,,0.12762342998757958
10yr_0060m_h207,10,0060,,2,PSO-w_0.40_0.25_0.25_0.10,6.45109398351,10,64,24,0,31.757548240910065,0,,,0.12645223084837198
10yr_0060m_h229,10,0060,,2,PSO-w_0.40_0.25_0.25_0.10,6.367967833229194,12,68,21,0,31.146835117672175,0,,,0.12725398014299572
10yr_0060m_h234,10,0060,,2,PSO-w_0.40_0.25_0.25_0.10,6.251964266885329,14,69,22,0,31.250450810995268,0,,,0.1253617131151259
10yr_0060m_h178,10,0060,,2,PSO-w_0.40_0.25_0.25_0.10,6.374243951423315,10,72,20,0,31.63013025135693,0,,,0.1252826009877026
10yr_0120m_h330,10,0120,,2,PSO-w_0.40_0.25_0.25_0.10,6.341608746125006,20,113,26,0,46.87220022315072,0,,,0.1853282549418509
10yr_0120m_h349,10,0120,,2,PSO-w_0.40_0.25_0.25_0.10,6.3253979850879825,20,104,29,0,46.94436570367982,0,,,0.1858812510035932
10yr_0120m_h335,10,0120,,2,PSO-w_0.40_0.25_0.25_0.10,6.328598811802623,16,114,25,1,46.93107885997446,0,,,0.18524434906430542
10yr_0120m_h268,10,0120,,2,PSO-w_0.40_0.25_0.25_0.10,6.436709858765485,14,121,17,0,47.13609326710281,0,,,0.18407901003956795
10yr_0120m_h281,10,0120,,2,PSO-w_0.40_0.25_0.25_0.10,6.258702407506517,14,119,22,0,47.11449238096345,0,,,0.1875074610579759
10yr_0180m_h385,10,0180,,2,PSO-w_0.40_0.25_0.25_0.10,6.285825521545759,18,166,12,0,63.250042225500664,0,,,0.2954367829952389
10yr_0180m_h433,10,0180,,2,PSO-w_0.40_0.25_0.25_0.10,6.298087024275883,26,155,18,0,62.41414050770292,0,,,0.33741931803524494
10yr_0180m_h427,10,0180,,2,PSO-w_0.40_0.25_0.25_0.10,6.27662835420781,22,158,15,0,62.74359765352749,0,,,0.33631582581438124
10yr_0180m_h483,10,0180,,2,PSO-w_0.40_0.25_0.25_0.10,6.289797955396168,28,136,31,0,62.469974304267346,0,,,0.4050739018712193
10yr_0180m_h417,10,0180,,2,PSO-w_0.40_0.25_0.25_0.10,6.278337657173193,22,155,16,0,62.515399617812925,0,,,0.24345260113477707
10yr_0240m_h598,10,0240,,2,PSO-w_0.40_0.25_0.25_0.10,6.250204405610153,28,171,28,0,78.06483878205788,0,,,0.305428221821785
10yr_0240m_h586,10,0240,,2,PSO-w_0.40_0.25_0.25_0.10,6.2544473578239455,30,179,18,0,77.83305286183793,0,,,0.3020073638763279
10yr_0240m_h513,10,0240,,2,PSO-w_0.40_0.25_0.25_0.10,6.392365864737096,14,194,9,0,79.11841736136387,0,,,0.34489883994683623
10yr_0240m_h512,10,0240,,2,PSO-w_0.40_0.25_0.25_0.10,6.404495828534976,42,183,19,0,77.63660007838104,0,,,0.30519231292419136
10yr_0240m_h507,10,0240,,2,PSO-w_0.40_0.25_0.25_0.10,6.396310147012278,32,186,15,0,77.99923756014917,0,,,0.3054586600046605
10yr_0360m_h705,10,0360,,2,PSO-w_0.40_0.25_0.25_0.10,6.3087760850237755,52,227,23,1,108.18594063674632,0,,,0.442638830980286
10yr_0360m_h717,10,0360,,2,PSO-w_0.40_0.25_0.25_0.10,6.307354377086101,60,213,31,0,107.70937141628464,0,,,0.42430818802677095
10yr_0360m_h735,10,0360,,2,PSO-w_0.40_0.25_0.25_0.10,6.310144158991242,56,213,29,0,107.77888783487339,0,,,0.4244587591383606
10yr_0360m_h707,10,0360,,2,PSO-w_0.40_0.25_0.25_0.10,6.3130476673636275,52,231,22,0,108.45956148442019,0,,,0.4234939848538488
10yr_0360m_h719,10,0360,,2,PSO-w_0.40_0.25_0.25_0.10,6.285615520211999,56,217,30,0,108.0308615872285,0,,,0.48941564303822815
10yr_0540m_h830,10,0540,,2,PSO-w_0.40_0.25_0.25_0.10,6.287222903734526,80,250,34,2,153.20597886104343,0,,,0.8399633190128952
10yr_0540m_h800,10,0540,,2,PSO-w_0.40_0.25_0.25_0.10,6.287403317216307,82,249,33,1,152.97109863411214,0,,,0.6055877290200442
10yr_0540m_h797,10,0540,,2,PSO-w_0.40_0.25_0.25_0.10,6.282416085380592,84,263,30,0,153.18245608168164,0,,,0.6065669839736074
10yr_0540m_h843,10,0540,,2,PSO-w_0.40_0.25_0.25_0.10,6.299894494078612,82,253,35,1,152.73200372620968,0,,,0.6103780290577561
10yr_0540m_h793,10,0540,,2,PSO-w_0.40_0.25_0.25_0.10,6.284970844624045,82,251,32,1,152.94995138503992,0,,,0.608512117061764
10yr_0720m_h943,10,0720,,2,PSO-w_0.40_0.25_0.25_0.10,6.283601572305041,90,278,33,1,198.42445877555613,0,,,0.8250120501033962
10yr_0720m_h966,10,0720,,2,PSO-w_0.40_0.25_0.25_0.10,6.295337439771027,108,257,43,4,197.0247727770564,0,,,0.844967579934746
10yr_0720m_h977,10,0720,,2,PSO-w_0.40_0.25_0.25_0.10,6.311853098774968,108,260,42,1,197.34479219723974,0,,,1.034468876896426
10yr_0720m_h888,10,0720,,2,PSO-w_0.40_0.25_0.25_0.10,6.310682684902408,110,248,41,0,197.16681450510634,0,,,0.8257972029969096
10yr_0720m_h899,10,0720,,2,PSO-w_0.40_0.25_0.25_0.10,6.277292592866614,92,273,34,0,198.32708385584425,0,,,0.7956682951189578
10yr_1080m_h1097,10,1080,,2,PSO-w_0.40_0.25_0.25_0.10,6.315537501908118,150,270,56,3,286.6174720461176,0,,,1.162327678874135
10yr_1080m_h1012,10,1080,,2,PSO-w_0.40_0.25_0.25_0.10,6.290953661355818,132,278,44,0,287.6524712026836,0,,,1.2254782901145518
10yr_1080m_h1046,10,1080,,2,PSO-w_0.40_0.25_0.25_0.10,6.267179382940204,140,281,48,0,287.20507885063137,0,,,1.4059688418637961
10yr_1080m_h1088,10,1080,,2,PSO-w_0.40_0.25_0.25_0.10,6.2825937625686885,158,261,59,1,286.1093311478244,0,,,1.162795279175043
