scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,1,GA-c01,10,0,0,0,0,36.88800000000001,1,,,1.192051034187898
30yr_0060m_h214,30,0060,,1,GA-c01,10,0,0,0,0,36.88800000000001,1,,,3.1830572239123285
20yr_0180m_h435,20,0180,,1,GA-c01,10,0,0,0,0,75.04799999999997,1,,,6.9587726490572095
50yr_0360m_h678,50,0360,,1,GA-c01,10,0,0,0,0,132.288,1,,,5.629075726028532
10yr_0180m_h385,10,0180,,1,GA-c01,10,0,0,0,0,75.04799999999997,1,,,2.704625057056546
20yr_1440m_h1149,20,1440,,1,GA-c01,10,0,0,0,0,475.72800000000007,1,,,16.22950084321201
20yr_0060m_h216,20,0060,,1,GA-c01,10,0,0,0,0,36.88800000000001,1,,,1.2624177818652242
10yr_0240m_h515,10,0240,,1,GA-c01,10,0,0,0,0,94.12800000000001,1,,,3.2165213311091065
20yr_0120m_h366,20,0120,,1,GA-c01,10,0,0,0,0,55.96800000000001,1,,,1.9137918648775667
10yr_1080m_h1061,10,1080,,1,GA-c01,10,0,0,0,0,361.24800000000005,1,,,12.387189662083983
100yr_0720m_h964,100,0720,,1,GA-c01,10,0,0,0,0,246.76800000000003,1,,,8.522798090940341
100yr_0540m_h862,100,0540,,1,GA-c01,10,0,0,0,0,189.52800000000002,1,,,6.395275390939787
30yr_0720m_h988,30,0720,,1,GA-c01,10,0,0,0,0,246.76800000000003,1,,,8.62223064689897
100yr_1440m_h1202,100,1440,,1,GA-c01,10,0,0,0,0,475.72800000000007,1,,,16.267677162075415
10yr_0180m_h429,10,0180,,1,GA-c01,10,0,0,0,0,75.04799999999997,1,,,2.4527327429968864
80yr_0240m_h578,80,0240,,1,GA-c01,10,0,0,0,0,94.12800000000001,1,,,3.288403986953199
80yr_1440m_h1188,80,1440,,1,GA-c01,10,0,0,0,0,475.72800000000007,1,,,16.281805193051696
80yr_0720m_h952,80,0720,,1,GA-c01,10,0,0,0,0,246.76800000000003,1,,,8.726910939905792
100yr_0240m_h602,100,0240,,1,GA-c01,10,0,0,0,0,94.12800000000001,1,,,3.3688268400728703
100yr_0240m_h549,100,0240,,1,GA-c01,10,0,0,0,0,94.12800000000001,1,,,3.0993897418957204
100yr_0120m_h322,100,0120,,1,GA-c01,10,0,0,0,0,55.96800000000001,1,,,2.1122298990376294
100yr_0180m_h465,100,0180,,1,GA-c01,10,0,0,0,0,75.04799999999997,1,,,2.523506084922701
30yr_0240m_h619,30,0240,,1,GA-c01,10,0,0,0,0,94.12800000000001,1,,,3.3632247000932693
50yr_0240m_h616,50,0240,,1,GA-c01,10,0,0,0,0,94.12800000000001,1,,,3.3860600451007485
50yr_1080m_h1083,50,1080,,1,GA-c01,10,0,0,0,0,361.24800000000005,1,,,12.62834299984388
100yr_0240m_h585,100,0240,,1,GA-c01,10,0,0,0,0,94.12800000000001,1,,,3.3976099321153015
100yr_0120m_h277,100,0120,,1,GA-c01,10,0,0,0,0,55.96800000000001,1,,,1.8720454601570964
10yr_0360m_h672,10,0360,,1,GA-c01,10,0,0,0,0,132.288,1,,,4.670486703980714
80yr_0060m_h246,80,0060,,1,GA-c01,10,0,0,0,0,36.88800000000001,1,,,1.2274634100031108
20yr_0240m_h588,20,0240,,1,GA-c01,10,0,0,0,0,94.12800000000001,1,,,3.385112327989191
