scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,2,PSO-c15,10,0,0,0,0,34.45200000000001,1,,,0.16117634088732302
30yr_0060m_h214,30,0060,,2,PSO-c15,10,0,0,0,0,34.45200000000001,1,,,0.15708885109052062
20yr_0180m_h435,20,0180,,2,PSO-c15,10,0,0,0,0,70.09199999999998,1,,,0.3988226579967886
50yr_0360m_h678,50,0360,,2,PSO-c15,10,0,0,0,0,123.55200000000005,1,,,0.442838974064216
10yr_0180m_h385,10,0180,,2,PSO-c15,10,0,0,0,0,70.09199999999998,1,,,0.24662851309403777
20yr_1440m_h1149,20,1440,,2,PSO-c15,10,0,0,0,0,444.31200000000024,1,,,1.6416580800432712
20yr_0060m_h216,20,0060,,2,PSO-c15,10,0,0,0,0,34.45200000000001,1,,,0.1622282739263028
10yr_0240m_h515,10,0240,,2,PSO-c15,10,0,0,0,0,87.91200000000003,1,,,0.3171304620336741
20yr_0120m_h366,20,0120,,2,PSO-c15,10,0,0,0,0,52.27200000000002,1,,,0.19441851694136858
10yr_1080m_h1061,10,1080,,2,PSO-c15,10,0,0,0,0,337.3920000000001,1,,,1.2638407698832452
100yr_0720m_h964,100,0720,,2,PSO-c15,10,0,0,0,0,230.4720000000001,1,,,1.0235895169898868
100yr_0540m_h862,100,0540,,2,PSO-c15,10,0,0,0,0,177.01200000000006,1,,,0.6618617810308933
30yr_0720m_h988,30,0720,,2,PSO-c15,10,0,0,0,0,230.4720000000001,1,,,0.8626959230750799
100yr_1440m_h1202,100,1440,,2,PSO-c15,10,0,0,0,0,444.31200000000024,1,,,1.7298953051213175
10yr_0180m_h429,10,0180,,2,PSO-c15,10,0,0,0,0,70.09199999999998,1,,,0.2522733530495316
80yr_0240m_h578,80,0240,,2,PSO-c15,10,0,0,0,0,87.91200000000003,1,,,0.3693674609530717
80yr_1440m_h1188,80,1440,,2,PSO-c15,10,0,0,0,0,444.31200000000024,1,,,1.768505573971197
80yr_0720m_h952,80,0720,,2,PSO-c15,10,0,0,0,0,230.4720000000001,1,,,0.8213754100725055
100yr_0240m_h602,100,0240,,2,PSO-c15,10,0,0,0,0,87.91200000000003,1,,,0.32227629981935024
100yr_0240m_h549,100,0240,,2,PSO-c15,10,0,0,0,0,87.91200000000003,1,,,0.32244910090230405
100yr_0120m_h322,100,0120,,2,PSO-c15,10,0,0,0,0,52.27200000000002,1,,,0.1956730759702623
100yr_0180m_h465,100,0180,,2,PSO-c15,10,0,0,0,0,70.09199999999998,1,,,0.25876169791445136
30yr_0240m_h619,30,0240,,2,PSO-c15,10,0,0,0,0,87.91200000000003,1,,,0.3183940111193806
50yr_0240m_h616,50,0240,,2,PSO-c15,10,0,0,0,0,87.91200000000003,1,,,0.3267574869096279
50yr_1080m_h1083,50,1080,,2,PSO-c15,10,0,0,0,0,337.3920000000001,1,,,1.426710981875658
100yr_0240m_h585,100,0240,,2,PSO-c15,10,0,0,0,0,87.91200000000003,1,,,0.3511005991604179
100yr_0120m_h277,100,0120,,2,PSO-c15,10,0,0,0,0,52.27200000000002,1,,,0.19105908297933638
10yr_0360m_h672,10,0360,,2,PSO-c15,10,0,0,0,0,123.55200000000005,1,,,0.4326891989912838
80yr_0060m_h246,80,0060,,2,PSO-c15,10,0,0,0,0,34.45200000000001,1,,,0.13036258285865188
20yr_0240m_h588,20,0240,,2,PSO-c15,10,0,0,0,0,87.91200000000003,1,,,0.3182473292108625
