scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,59,36,0,37.67483408344778,1,,,0.1323943950701505
30yr_0060m_h214,30,0060,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,63,40,0,38.15393396969747,1,,,0.13128881598822773
20yr_0180m_h435,20,0180,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,110,62,0,76.5274470943965,1,,,0.26672765682451427
50yr_0360m_h678,50,0360,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,236,77,0,131.17740173944543,1,,,0.47994738002307713
10yr_0180m_h385,10,0180,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,118,41,0,74.11439186285943,1,,,0.3070762900169939
20yr_1440m_h1149,20,1440,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,340,30,0,456.6256559528184,1,,,1.7380509900394827
20yr_0060m_h216,20,0060,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,58,38,0,37.8463633240798,1,,,0.13157633086666465
10yr_0240m_h515,10,0240,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,137,44,0,92.71143616183747,1,,,0.3244423819705844
20yr_0120m_h366,20,0120,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,86,55,0,58.470879618570216,1,,,0.19656045990996063
10yr_1080m_h1061,10,1080,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,299,30,0,348.0200594223355,1,,,1.2043042900040746
100yr_0720m_h964,100,0720,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,20,390,72,0,241.14921321127983,1,,,0.8411686299368739
100yr_0540m_h862,100,0540,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,18,302,111,0,187.740757692619,1,,,0.7556104920804501
30yr_0720m_h988,30,0720,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,20,304,69,0,240.2538148633826,1,,,0.9618626888841391
100yr_1440m_h1202,100,1440,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,28,406,93,0,459.80345685002203,1,,,1.5963420600164682
10yr_0180m_h429,10,0180,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,101,48,0,74.95054710212901,1,,,0.2577012199908495
80yr_0240m_h578,80,0240,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,162,94,0,100.06381073103248,1,,,0.3278615069575608
80yr_1440m_h1188,80,1440,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,28,380,92,0,458.6880547939205,1,,,1.674101322889328
80yr_0720m_h952,80,0720,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,18,329,80,0,239.73943095979848,1,,,0.9959892791230232
100yr_0240m_h602,100,0240,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,159,102,0,98.26734026705387,1,,,0.31957004219293594
100yr_0240m_h549,100,0240,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,191,92,0,99.73680831663206,1,,,0.35422718594782054
100yr_0120m_h322,100,0120,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,111,70,0,60.66818182006083,1,,,0.23624848597683012
100yr_0180m_h465,100,0180,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,135,88,0,80.54067155483045,1,,,0.311931645963341
30yr_0240m_h619,30,0240,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,139,83,0,95.42288220726981,1,,,0.43668225896544755
50yr_0240m_h616,50,0240,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,144,92,0,97.48520197370414,1,,,0.3092420590110123
50yr_1080m_h1083,50,1080,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,18,374,64,0,347.9559196482012,1,,,1.2005479268264025
100yr_0240m_h585,100,0240,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,171,99,0,100.2659598023582,1,,,0.32599797402508557
100yr_0120m_h277,100,0120,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,124,69,0,59.705197322618076,1,,,0.1996590718626976
10yr_0360m_h672,10,0360,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,157,49,0,128.4643750516017,1,,,0.44653231208212674
80yr_0060m_h246,80,0060,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,71,46,0,39.017431190176275,1,,,0.13461113208904862
20yr_0240m_h588,20,0240,,1,PSO-only-w_0.30_0.30_0.30_0.10,10,10,131,70,0,95.16357184594642,1,,,0.31913681607693434
