combo_id,w1,w2,w3,w4,algo,seed,n_scen,overflow_rate,mean_max_level_m,mean_n_switches,mean_pump_use,mean_n_dryrun_proxy,elapsed_s
c00,0.419,0.272,0.215,0.094,PSO,2,30,0.0,5.9157,87.533,333.2,22.3,16.2
c01,0.201,0.488,0.148,0.164,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.6
c01,0.201,0.488,0.148,0.164,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.7
c00,0.419,0.272,0.215,0.094,PSO,1,30,0.0,5.9157,87.533,333.2,22.3,17.1
c02,0.115,0.123,0.632,0.13,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.7
c02,0.115,0.123,0.632,0.13,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.3
c01,0.201,0.488,0.148,0.164,GA,2,30,1.0,10.0,0.0,0.0,0.0,164.0
c01,0.201,0.488,0.148,0.164,GA,1,30,1.0,10.0,0.0,0.0,0.0,170.4
c00,0.419,0.272,0.215,0.094,GA,1,30,0.0,5.9157,87.533,333.2,22.3,177.1
c00,0.419,0.272,0.215,0.094,GA,2,30,0.0,5.9157,87.533,333.2,22.3,178.3
c02,0.115,0.123,0.632,0.13,GA,1,30,1.0,10.0,0.0,0.0,0.0,163.1
c02,0.115,0.123,0.632,0.13,GA,2,30,1.0,10.0,0.0,0.0,0.0,163.6
c03,0.054,0.439,0.326,0.18,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.6
c03,0.054,0.439,0.326,0.18,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.7
c04,0.183,0.412,0.156,0.249,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.6
c03,0.054,0.439,0.326,0.18,GA,1,30,1.0,10.0,0.0,0.0,0.0,162.9
c04,0.183,0.412,0.156,0.249,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.6
c03,0.054,0.439,0.326,0.18,GA,2,30,1.0,10.0,0.0,0.0,0.0,165.4
c05,0.11,0.398,0.093,0.399,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.7
c05,0.11,0.398,0.093,0.399,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.9
c06,0.265,0.233,0.353,0.149,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.7
c06,0.265,0.233,0.353,0.149,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.5
c04,0.183,0.412,0.156,0.249,GA,1,30,1.0,10.0,0.0,0.0,0.0,165.0
c04,0.183,0.412,0.156,0.249,GA,2,30,1.0,10.0,0.0,0.0,0.0,166.2
c05,0.11,0.398,0.093,0.399,GA,1,30,1.0,10.0,0.0,0.0,0.0,165.7
c05,0.11,0.398,0.093,0.399,GA,2,30,1.0,10.0,0.0,0.0,0.0,165.9
c07,0.309,0.178,0.213,0.3,PSO,1,30,0.0,6.3859,53.067,281.033,0.0,16.8
c07,0.309,0.178,0.213,0.3,PSO,2,30,0.0,6.3859,52.467,281.2,0.0,16.4
c06,0.265,0.233,0.353,0.149,GA,1,30,1.0,10.0,0.0,0.0,0.0,165.7
c06,0.265,0.233,0.353,0.149,GA,2,30,1.0,10.0,0.0,0.0,0.0,167.3
c08,0.117,0.234,0.534,0.116,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.6
c08,0.117,0.234,0.534,0.116,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.5
c09,0.489,0.173,0.289,0.05,PSO,1,30,0.0,5.4617,97.167,301.0,20.6333,16.5
c09,0.489,0.173,0.289,0.05,PSO,2,30,0.0,5.4617,97.1,300.967,20.5667,16.7
c07,0.309,0.178,0.213,0.3,GA,1,30,0.0,6.3859,52.467,281.2,0.0,177.5
c07,0.309,0.178,0.213,0.3,GA,2,30,0.0,6.3859,52.467,281.2,0.0,177.4
c10,0.135,0.069,0.355,0.44,PSO,1,30,1.0,10.0,0.0,0.0,0.0,17.0
c10,0.135,0.069,0.355,0.44,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.8
c08,0.117,0.234,0.534,0.116,GA,1,30,1.0,10.0,0.0,0.0,0.0,166.4
c08,0.117,0.234,0.534,0.116,GA,2,30,1.0,10.0,0.0,0.0,0.0,165.6
c11,0.134,0.411,0.217,0.237,PSO,1,30,1.0,10.0,0.0,0.0,0.0,18.0
