scenario_id,return_period,duration_min,quartile,seed,model,max_level_m,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,overflow_flag,inference_time_s,swmm_time_s,total_time_s
20yr_0060m_h225,20,0060,,0,man_policy,6.75872290695413,14,71,27,0,118.27243702760494,0,,,0.038963669911026955
30yr_0060m_h214,30,0060,,0,man_policy,6.866128560939105,10,75,31,0,119.65074589132479,0,,,0.038923237938433886
20yr_0180m_h435,20,0180,,0,man_policy,6.627380884779177,13,161,33,0,241.75089055861494,0,,,0.07356086489744484
50yr_0360m_h678,50,0360,,0,man_policy,6.552732507456783,14,302,38,0,426.01922491426023,0,,,0.12359056295827031
10yr_0180m_h385,10,0180,,0,man_policy,6.541622801374815,18,166,12,0,238.77404965128642,0,,,0.06835816404782236
20yr_1440m_h1149,20,1440,,0,man_policy,6.31227642443939,30,440,0,0,1503.5980086219458,0,,,0.40044686011970043
20yr_0060m_h216,20,0060,,0,man_policy,6.708884575768691,9,75,28,0,119.4486175016837,0,,,0.039051303872838616
10yr_0240m_h515,10,0240,,0,man_policy,6.503942299699849,8,192,8,0,300.7925178279377,0,,,0.0837170728482306
20yr_0120m_h366,20,0120,,0,man_policy,6.66769007715504,11,120,34,0,181.33831034526656,0,,,0.05551830190233886
10yr_1080m_h1061,10,1080,,0,man_policy,6.319920126758048,22,359,0,0,1142.68933322592,0,,,0.29901322396472096
100yr_0720m_h964,100,0720,,0,man_policy,6.542157890893455,16,479,20,0,790.341827422408,0,,,0.2291401461698115
100yr_0540m_h862,100,0540,,0,man_policy,6.515883111384608,14,417,46,0,609.4478121003131,0,,,0.17914640391245484
30yr_0720m_h988,30,0720,,0,man_policy,6.420624077826176,13,421,0,0,786.6010349333274,0,,,0.214293641038239
100yr_1440m_h1202,100,1440,,0,man_policy,6.331711621999717,32,583,0,0,1507.3373204253135,0,,,0.39973111310973763
10yr_0180m_h429,10,0180,,0,man_policy,6.513805146950734,16,160,14,0,239.39109012242923,0,,,0.067176683107391
80yr_0240m_h578,80,0240,,0,man_policy,6.622509517152387,10,223,57,0,305.4672063339427,0,,,0.08838157611899078
80yr_1440m_h1188,80,1440,,0,man_policy,6.3404342921602606,30,556,0,0,1507.309751691037,0,,,0.4013536390848458
80yr_0720m_h952,80,0720,,0,man_policy,6.504201801880974,14,478,6,0,790.1554712096,0,,,0.21499361097812653
100yr_0240m_h602,100,0240,,0,man_policy,6.6642755729342,12,228,61,0,307.4552411249082,0,,,0.09022802510298789
100yr_0240m_h549,100,0240,,0,man_policy,6.6668055290046455,14,241,61,0,305.83816709807695,0,,,0.09131994796916842
100yr_0120m_h322,100,0120,,0,man_policy,7.149363793959251,12,134,55,0,185.19073864614342,0,,,0.057462423108518124
100yr_0180m_h465,100,0180,,0,man_policy,7.141703042141581,10,184,58,0,247.64458661517898,0,,,0.07299570902250707
30yr_0240m_h619,30,0240,,0,man_policy,6.608934466612523,11,209,44,0,304.48109333163325,0,,,0.08737295004539192
50yr_0240m_h616,50,0240,,0,man_policy,6.6314558863662105,13,215,50,0,305.11107619740216,0,,,0.0879445921164006
50yr_1080m_h1083,50,1080,,0,man_policy,6.403068100934359,24,500,0,0,1146.7549776577575,0,,,0.31699763517826796
100yr_0240m_h585,100,0240,,0,man_policy,6.671553268537262,12,232,64,0,307.04531054803476,0,,,0.08984862896613777
100yr_0120m_h277,100,0120,,0,man_policy,6.652164139193525,12,157,47,0,183.45124379030713,0,,,0.05957782478071749
10yr_0360m_h672,10,0360,,0,man_policy,6.500620554673634,12,254,6,0,423.2519857612093,0,,,0.1174752339720726
80yr_0060m_h246,80,0060,,0,man_policy,7.186000183678988,11,82,37,0,121.23388039798763,0,,,0.04202395211905241
20yr_0240m_h588,20,0240,,0,man_policy,6.525570239229786,9,203,31,0,303.0217598381764,0,,,0.08768452005460858
