method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
GA-guided DQN,5,505,500,9.239200310,0.018478401,54.117237773
GA-guided DQN,5,505,1000,17.353192821,0.017353193,57.626282973
GA-guided DQN,5,505,1500,25.711820671,0.017141214,58.338925866
GA-guided DQN,5,505,2000,34.078633272,0.017039317,58.687799597
GA-guided DQN,5,505,2500,42.136346147,0.016854538,59.331200462
GA-guided DQN,5,505,3000,50.447309380,0.016815770,59.467988221
GA-guided DQN,5,505,3500,58.821395773,0.016806113,59.502158254
GA-guided DQN,5,505,4000,66.810238340,0.016702560,59.871063169
GA-guided DQN,5,505,4500,74.955752639,0.016656834,60.035418785
GA-guided DQN,5,505,5000,82.418428116,0.016483686,60.666044164
