method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
GA,2,202,500,313.419880965,0.626839762,1.595304033
GA,2,202,1000,586.327844399,0.586327844,1.705530463
GA,2,202,1500,850.311998201,0.566874665,1.764058373
GA,2,202,2000,1114.436452385,0.557218226,1.794629021
GA,2,202,2500,1404.683830166,0.561873532,1.779759933
GA,2,202,3000,1684.436287707,0.561478763,1.781011263
GA,2,202,3500,1945.690829990,0.555911666,1.798846942
GA,2,202,4000,2229.464197175,0.557366049,1.794153055
GA,2,202,4500,2496.230851309,0.554717967,1.802717885
GA,2,202,5000,2750.305001901,0.550061000,1.817980186
