method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
PSO-guided DQN,5,505,500,9.513026681,0.019026053,52.559507794
PSO-guided DQN,5,505,1000,17.743962984,0.017743963,56.357196016
PSO-guided DQN,5,505,1500,25.779164783,0.017186110,58.186524374
PSO-guided DQN,5,505,2000,34.311420178,0.017155710,58.289630380
PSO-guided DQN,5,505,2500,42.882485744,0.017152994,58.298859234
PSO-guided DQN,5,505,3000,51.258335244,0.017086112,58.527066587
PSO-guided DQN,5,505,3500,59.591964927,0.017026276,58.732750368
PSO-guided DQN,5,505,4000,68.125232714,0.017031308,58.715395759
PSO-guided DQN,5,505,4500,76.148632284,0.016921918,59.094955024
PSO-guided DQN,5,505,5000,84.194334134,0.016838867,59.386418949
