method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
PSO,5,505,500,26.940439384,0.053880879,18.559459735
PSO,5,505,1000,51.963023719,0.051963024,19.244453622
PSO,5,505,1500,75.624588555,0.050416392,19.834818657
PSO,5,505,2000,99.004620583,0.049502310,20.201077366
PSO,5,505,2500,124.252061105,0.049700824,20.120390582
PSO,5,505,3000,148.982245150,0.049660748,20.136627670
PSO,5,505,3500,172.564578015,0.049304165,20.282262097
PSO,5,505,4000,196.186875574,0.049046719,20.388723702
PSO,5,505,4500,221.476428587,0.049216984,20.318189293
PSO,5,505,5000,243.813339595,0.048762668,20.507491544
