method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
Regular DQN,1,101,500,8.951318316,0.017902637,55.857694067
Regular DQN,1,101,1000,16.710478315,0.016710478,59.842691582
Regular DQN,1,101,1500,24.542955339,0.016361970,61.117334049
Regular DQN,1,101,2000,32.260369815,0.016130185,61.995569532
Regular DQN,1,101,2500,40.717800088,0.016287120,61.398209004
Regular DQN,1,101,3000,49.027970395,0.016342657,61.189561302
Regular DQN,1,101,3500,56.874445807,0.016249842,61.539061178
Regular DQN,1,101,4000,65.274949547,0.016318737,61.279250735
Regular DQN,1,101,4500,73.854790948,0.016412176,60.930373538
Regular DQN,1,101,5000,81.159772658,0.016231955,61.606875380
