tag,seed,n_train,n_test,norm_mode,gamma,sync_mode,sync_freq,weights,updates,overflow_rate,mean_max_level_m,action0_lock_rate,mean_n_intervals_100,mean_n_intervals_170,mean_n_switches,final_train_loss,final_train_reward,elapsed_s
D2,1,500,30,sum,0.9,step,10,0.25|0.4|0.25|0.1,142110,0.8333,9.6946,0.0,240.23,27.63,35.33,0.071931,185.6,1481.0
D1,1,500,30,minmax,0.1,step,10,0.25|0.4|0.25|0.1,142110,1.0,10.0,1.0,0.0,0.0,0.0,0.001092,184.95,1481.3
D2,2,500,30,sum,0.9,step,10,0.25|0.4|0.25|0.1,142110,0.7667,9.5937,0.0,247.4,0.07,28.3,0.0721,185.7,1481.3
D3,1,500,30,sum,0.1,update,200,0.25|0.4|0.25|0.1,142110,0.8,9.8562,0.0,144.83,15.53,7.87,0.001245,181.7,1483.3
D0,2,500,30,sum,0.1,step,10,0.25|0.4|0.25|0.1,142110,1.0,10.0,1.0,0.0,0.0,0.0,0.001213,182.08,1484.4
D1,2,500,30,minmax,0.1,step,10,0.25|0.4|0.25|0.1,142110,1.0,10.0,1.0,0.0,0.0,0.0,0.001139,184.47,1484.4
D0,1,500,30,sum,0.1,step,10,0.25|0.4|0.25|0.1,142110,1.0,10.0,0.9333,0.07,0.0,0.13,0.00116,182.51,1485.9
D3,2,500,30,sum,0.1,update,200,0.25|0.4|0.25|0.1,142110,1.0,10.0,1.0,0.0,0.0,0.0,0.001282,183.35,1506.1
D5,1,500,30,minmax,0.9,update,200,0.25|0.4|0.25|0.1,142110,0.0,8.3074,0.0,273.63,29.17,34.87,0.044601,183.9,1504.9
D6,1,500,30,sum,0.1,step,10,1.0|1.0|0.0|0.0,142110,0.0,4.9174,0.0,711.07,144.23,10.63,0.009347,330.9,1504.2
D5,2,500,30,minmax,0.9,update,200,0.25|0.4|0.25|0.1,142110,0.0,8.3678,0.0,271.9,27.0,23.3,0.037251,186.03,1504.5
D4,2,500,30,minmax,0.9,step,10,0.25|0.4|0.25|0.1,142110,0.0,8.2914,0.0,276.73,34.87,24.47,0.037498,186.01,1508.2
D6,2,500,30,sum,0.1,step,10,1.0|1.0|0.0|0.0,142110,0.0,5.0473,0.0,709.93,128.93,15.83,0.010126,332.95,1503.7
D4,1,500,30,minmax,0.9,step,10,0.25|0.4|0.25|0.1,142110,0.3,9.4027,0.0,275.93,27.87,27.9,0.046364,183.73,1508.3
