scenario_id,return_period,duration_min,overflow_flag,total_inflow_m3,max_possible_drain_m3,inflow_minus_maxdrain_m3,reservoir_capacity_m3,peak_vol_m3,max_level_m
10yr_0060m_h143,10,60,0,21732.14737435574,74240,-52507.85262564426,16000.0,3230.248762594776,6.5817966424529795
10yr_0060m_h178,10,60,0,22298.825821722505,74240,-51941.17417827749,16000.0,3305.677905134392,6.607615908847958
10yr_0060m_h207,10,60,0,22024.649334578502,74240,-52215.3506654215,16000.0,3387.1896149754857,6.635517227619971
10yr_0060m_h229,10,60,0,21382.558568401008,74240,-52857.44143159899,16000.0,3292.292685118917,6.60303417094535
10yr_0060m_h234,10,60,0,22072.74734057689,74240,-52167.25265942311,16000.0,3396.7636660235257,6.638794408907808
20yr_0060m_h166,20,60,0,25881.170658499486,74240,-48358.82934150052,16000.0,3296.840622746965,6.604590922211675
20yr_0060m_h167,20,60,0,25728.766825574305,74240,-48511.233174425695,16000.0,3531.213194032556,6.684816252236082
20yr_0060m_h193,20,60,0,25321.23421522896,74240,-48918.765784771036,16000.0,3442.2074597829924,6.654349741735009
20yr_0060m_h222,20,60,0,24780.9463899514,74240,-49459.0536100486,16000.0,3779.6999679026812,6.76987284964884
20yr_0060m_h242,20,60,0,25235.986299366166,74240,-49004.013700633834,16000.0,4104.539884986338,6.881064997305836
30yr_0060m_h149,30,60,0,26970.802606860005,74240,-47269.19739314,16000.0,3489.6548555426352,6.670590904097724
30yr_0060m_h150,30,60,0,28025.730797685403,74240,-46214.269202314594,16000.0,3523.537818866821,6.68218898445319
30yr_0060m_h192,30,60,0,26302.171571327723,74240,-47937.82842867228,16000.0,3970.6274793035946,6.83522701003057
30yr_0060m_h193,30,60,0,26705.388585947916,74240,-47534.61141405208,16000.0,3888.4665030984834,6.807103448493368
30yr_0060m_h203,30,60,0,26891.86594535538,74240,-47348.134054644615,16000.0,3999.1218607680375,6.844980588037959
50yr_0060m_h138,50,60,0,29443.344982373543,74240,-44796.65501762646,16000.0,3457.5081240049103,6.659587132911216
50yr_0060m_h147,50,60,0,30054.31558617781,74240,-44185.68441382219,16000.0,3326.77454802428,6.614837253602443
50yr_0060m_h151,50,60,0,30286.440010623515,74240,-43953.55998937649,16000.0,3343.560599071855,6.620583090146845
50yr_0060m_h205,50,60,0,28561.750648933954,74240,-45678.24935106604,16000.0,4439.404868736474,6.995688708124955
50yr_0060m_h214,50,60,0,29109.93615654028,74240,-45130.06384345972,16000.0,4771.25998691154,7.087396656696288
