scenario_id,return_period,duration_min,n_steps,max_level_m,overflow_flag,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,total_inflow_m3,total_outflow_m3,peak_inflow_per_step_m3,max_possible_drain_m3,reservoir_capacity_m3,inflow_minus_maxdrain_m3,peak_vol_m3,wall_s
10yr_0060m_h143,10,60,59,6.5817966424529795,0,10,75,14,0,117.81359335234916,21732.14737435574,19760.0,966.3148812729798,74240,16000.0,-52507.85262564426,3230.248762594776,0.036265105940401554
10yr_0060m_h178,10,60,59,6.607615908847958,0,11,70,19,0,117.38128441913445,22298.825821722505,20260.0,1116.0394214738576,74240,16000.0,-51941.17417827749,3305.677905134392,0.050465553998947144
10yr_0060m_h207,10,60,59,6.635517227619971,0,14,64,22,0,117.1575226687219,22024.649334578502,20280.0,1181.1432007405156,74240,16000.0,-52215.3506654215,3387.1896149754857,0.04737273417413235
10yr_0060m_h229,10,60,59,6.60303417094535,0,14,63,21,0,117.07918604616312,21382.558568401008,19740.0,1260.83454299383,74240,16000.0,-52857.44143159899,3292.292685118917,0.037862030090764165
10yr_0060m_h234,10,60,59,6.638794408907808,0,11,67,22,0,118.10818528612458,22072.74734057689,20680.0,1296.220035283658,74240,16000.0,-52167.25265942311,3396.7636660235257,0.038232967955991626
20yr_0060m_h166,20,60,59,6.604590922211675,0,11,78,26,0,118.46449267256678,25881.170658499486,24240.0,1266.416595162637,74240,16000.0,-48358.82934150052,3296.840622746965,0.03982750000432134
20yr_0060m_h167,20,60,59,6.684816252236082,0,12,75,26,0,118.5229121127323,25728.766825574305,23840.0,1258.7218028672619,74240,16000.0,-48511.233174425695,3531.213194032556,0.039954398991540074
20yr_0060m_h193,20,60,59,6.654349741735009,0,10,75,28,0,118.99354097197096,25321.23421522896,24520.0,1356.979936403673,74240,16000.0,-48918.765784771036,3442.2074597829924,0.03948190505616367
20yr_0060m_h222,20,60,59,6.76987284964884,0,14,71,27,0,118.27914224873322,24780.9463899514,23380.0,1437.8855262781408,74240,16000.0,-49459.0536100486,3779.6999679026812,0.03915847302414477
20yr_0060m_h242,20,60,59,6.881064997305836,0,10,75,27,0,119.37614720356983,25235.986299366166,24180.0,1456.3325710181684,74240,16000.0,-49004.013700633834,4104.539884986338,0.03950891993008554
30yr_0060m_h149,30,60,59,6.670590904097724,0,10,89,23,0,118.45947554920343,26970.802606860005,25620.0,1160.754906577103,74240,16000.0,-47269.19739314,3489.6548555426352,0.04077902599237859
30yr_0060m_h150,30,60,59,6.68218898445319,0,10,90,25,0,118.78817510321986,28025.730797685403,26500.0,1213.2902330075176,74240,16000.0,-46214.269202314594,3523.537818866821,0.04156365990638733
30yr_0060m_h192,30,60,59,6.83522701003057,0,14,72,30,0,118.73833798410053,26302.171571327723,24600.0,1413.5816822293812,74240,16000.0,-47937.82842867228,3970.6274793035946,0.03958380990661681
30yr_0060m_h193,30,60,59,6.807103448493368,0,14,73,31,0,118.78081862792823,26705.388585947916,25140.0,1425.223759163004,74240,16000.0,-47534.61141405208,3888.4665030984834,0.040419210912659764
30yr_0060m_h203,30,60,59,6.844980588037959,0,10,73,31,0,119.53171933900447,26891.86594535538,25140.0,1431.547340907257,74240,16000.0,-47348.134054644615,3999.1218607680375,0.039590924978256226
50yr_0060m_h138,50,60,59,6.659587132911216,0,11,88,29,0,119.44316909660083,29443.344982373543,27260.0,1268.0872778072012,74240,16000.0,-44796.65501762646,3457.5081240049103,0.04150501801632345
50yr_0060m_h147,50,60,59,6.614837253602443,0,12,89,30,0,119.10751486529901,30054.31558617781,28000.0,1290.531571418347,74240,16000.0,-44185.68441382219,3326.77454802428,0.04165400890633464
50yr_0060m_h151,50,60,59,6.620583090146845,0,12,97,30,0,119.49294654628616,30286.440010623515,29600.0,1299.7161585589108,74240,16000.0,-43953.55998937649,3343.560599071855,0.041611111955717206
50yr_0060m_h205,50,60,59,6.995688708124955,0,10,78,34,0,120.39104055676975,28561.750648933954,27160.0,1509.7150864491805,74240,16000.0,-45678.24935106604,4439.404868736474,0.04045523703098297
50yr_0060m_h214,50,60,59,7.087396656696288,0,14,76,36,0,120.09164415011671,29109.93615654028,27440.0,1531.3060303534094,74240,16000.0,-45130.06384345972,4771.25998691154,0.04042792785912752
80yr_0060m_h163,80,60,59,7.033591031758883,0,14,82,39,0,120.43722023485029,31479.616681934476,29660.0,1507.8603757540923,74240,16000.0,-42760.38331806552,4574.7080390152005,0.04090368188917637
80yr_0060m_h165,80,60,59,7.111901579726776,0,14,83,40,0,120.902201243364,32010.85933357067,30200.0,1532.2900953091666,74240,16000.0,-42229.14066642933,4860.776470741913,0.04134217090904713
80yr_0060m_h190,80,60,59,7.241607704836823,0,10,83,39,0,121.8008249457571,31138.44484036694,29860.0,1609.9835443345492,74240,16000.0,-43101.55515963306,5334.592945768915,0.041282037971541286
80yr_0060m_h214,80,60,59,7.154676412649354,0,11,81,40,0,121.37878275669732,30845.670022331193,29600.0,1596.8284230213371,74240,16000.0,-43394.32997766881,5017.032935408091,0.04080792213790119
80yr_0060m_h238,80,60,59,7.268974777225011,0,10,86,36,0,121.84781193093406,30123.832016144344,29440.0,1679.8548420934085,74240,16000.0,-44116.16798385566,5434.564861202964,0.04105380899272859
