config,gamma,norm,guide,seed,n_train,n_test,overflow_rate,mean_max_level_m,action0_lock_rate,mean_n_intervals_100,mean_n_intervals_170,mean_n_switches,mean_dryrun_proxy,elapsed_s,fix_al
fix,0.7,minmax,PSO,2,500,30,0.0,7.9833,0.0,241.67,45.4,19.2,1.1,1073.6,
fix,0.7,minmax,PSO,1,500,30,0.0,8.3272,0.0,237.3,45.3,12.53,0.1333,1075.2,
ctrl,0.1,sum,PSO,2,500,30,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1076.6,
ctrl,0.1,sum,PSO,1,500,30,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1078.9,
fix,0.7,minmax,GA,2,500,30,0.0,7.9749,0.0,256.3,34.87,14.63,1.3333,1717.7,
ctrl,0.1,sum,GA,2,500,30,1.0,10.0,0.4,81.3,1.1,0.9,0.0333,1718.5,
fix,0.7,minmax,GA,1,500,30,0.4333,9.7351,0.0,225.0,51.73,12.63,1.8667,1722.0,
ctrl,0.1,sum,GA,1,500,30,1.0,10.0,0.8667,11.77,3.6,0.9,0.2333,1722.8,
alfix_orig,0.1,sum,PSO,2,500,30,1.0,10.0,0.1333,142.07,60.17,6.53,0.7333,1057.5,1.0
alfix_orig,0.1,sum,PSO,1,500,30,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1058.7,1.0
alfix_full,0.7,minmax,PSO,1,500,30,0.0,8.2038,0.0,237.87,46.7,17.2,0.2667,1060.4,1.0
alfix_full,0.7,minmax,PSO,2,500,30,0.0,7.8123,0.0,234.73,42.97,13.93,1.8,1062.5,1.0
alfix_full,0.7,minmax,GA,2,500,30,0.0,8.0081,0.0,236.53,47.73,17.93,0.7333,1750.3,1.0
alfix_orig,0.1,sum,GA,2,500,30,1.0,10.0,0.0333,159.6,45.23,10.43,0.4,1760.7,1.0
alfix_full,0.7,minmax,GA,1,500,30,0.0,8.3933,0.0,230.87,51.2,15.07,0.6667,1763.0,1.0
alfix_orig,0.1,sum,GA,1,500,30,1.0,10.0,0.0,136.07,0.0,1.03,0.0,1765.5,1.0
