model,seed,overflow_frac,action0_locked_frac,zero_switch_frac
GA-guided,1,0.0,0.0,0.0
GA-guided,2,0.0,0.0,0.0
GA-guided,3,0.0,0.0,0.0
GA-guided,4,0.0,0.0,0.0
GA-guided,5,0.0,0.0,0.0
GA-only,1,0.0,0.0,0.0
GA-only,2,0.0,0.0,0.0
GA-only,3,0.0,0.0,0.0
GA-only,4,0.0,0.0,0.0
GA-only,5,0.0,0.0,0.0
PSO-guided,1,0.0,0.0,0.0
PSO-guided,2,0.0,0.0,0.0
PSO-guided,3,0.0,0.0,0.0
PSO-guided,4,0.0,0.0,0.0
PSO-guided,5,0.0,0.0,0.0
PSO-only,1,0.0,0.0,0.0
PSO-only,2,0.0,0.0,0.0
PSO-only,3,0.0,0.0,0.0
PSO-only,4,0.0,0.0,0.0
PSO-only,5,0.0,0.0,0.0
Regular,1,0.0,0.0,0.0
Regular,2,0.0,0.0,0.0
Regular,3,0.0,0.0,0.0
Regular,4,0.0,0.0,0.0
Regular,5,0.0,0.0,0.0
