duration_int,return_period_int,model,max_level_m_mean,max_level_m_std,max_level_m_ci95_half
60,10,GA-guided,5.9226,0.0727,0.0902
60,10,GA-only,6.4116,0.0,0.0
60,10,PSO-guided,6.1402,0.1304,0.162
60,10,PSO-only,6.4116,0.0,0.0
60,10,Regular,6.0681,0.0554,0.0687
60,20,GA-guided,5.9093,0.0869,0.1079
60,20,GA-only,6.3731,0.0,0.0
60,20,PSO-guided,6.2104,0.2473,0.3071
60,20,PSO-only,6.3731,0.0,0.0
60,20,Regular,6.3488,0.2089,0.2594
60,30,GA-guided,5.9439,0.1077,0.1337
60,30,GA-only,6.4649,0.0,0.0
60,30,PSO-guided,6.265,0.2772,0.3442
60,30,PSO-only,6.4649,0.0,0.0
60,30,Regular,6.4169,0.2516,0.3124
60,50,GA-guided,6.0339,0.0704,0.0874
60,50,GA-only,6.4692,0.0,0.0
60,50,PSO-guided,6.4373,0.4116,0.5111
60,50,PSO-only,6.4692,0.0,0.0
60,50,Regular,6.5145,0.2339,0.2904
60,80,GA-guided,6.1841,0.0666,0.0827
60,80,GA-only,6.7214,0.0,0.0
60,80,PSO-guided,6.5286,0.4008,0.4977
60,80,PSO-only,6.7214,0.0,0.0
60,80,Regular,6.6286,0.2311,0.2869
60,100,GA-guided,6.2994,0.0592,0.0735
60,100,GA-only,6.734,0.0,0.0
60,100,PSO-guided,6.6855,0.4726,0.5869
60,100,PSO-only,6.734,0.0,0.0
60,100,Regular,6.7126,0.2251,0.2795
120,10,GA-guided,5.9393,0.0564,0.07
120,10,GA-only,6.3472,0.0,0.0
120,10,PSO-guided,6.1924,0.1394,0.1731
120,10,PSO-only,6.3472,0.0,0.0
120,10,Regular,5.9987,0.0639,0.0793
120,20,GA-guided,5.9672,0.0692,0.0859
120,20,GA-only,6.3679,0.0,0.0
120,20,PSO-guided,6.3013,0.257,0.3192
120,20,PSO-only,6.3679,0.0,0.0
120,20,Regular,6.3249,0.1766,0.2192
120,30,GA-guided,5.972,0.0806,0.1001
120,30,GA-only,6.3711,0.0,0.0
120,30,PSO-guided,6.3801,0.3368,0.4182
120,30,PSO-only,6.3711,0.0,0.0
120,30,Regular,6.4192,0.2296,0.285
120,50,GA-guided,6.0355,0.0738,0.0916
120,50,GA-only,6.3697,0.0,0.0
120,50,PSO-guided,6.4575,0.3793,0.4709
120,50,PSO-only,6.3697,0.0,0.0
120,50,Regular,6.4959,0.2477,0.3075
120,80,GA-guided,6.2266,0.0798,0.099
120,80,GA-only,6.3888,0.0,0.0
120,80,PSO-guided,6.6283,0.4045,0.5023
120,80,PSO-only,6.3886,0.0002,0.0003
120,80,Regular,6.6208,0.2121,0.2633
120,100,GA-guided,6.3069,0.0839,0.1042
120,100,GA-only,6.4633,0.0,0.0
120,100,PSO-guided,6.7133,0.4119,0.5115
120,100,PSO-only,6.4628,0.0012,0.0015
120,100,Regular,6.6901,0.1882,0.2336
180,10,GA-guided,5.9724,0.0808,0.1004
180,10,GA-only,6.2807,0.0,0.0
180,10,PSO-guided,6.1566,0.2022,0.2511
180,10,PSO-only,6.2807,0.0,0.0
180,10,Regular,6.0155,0.1208,0.15
180,20,GA-guided,5.9904,0.0602,0.0748
180,20,GA-only,6.2976,0.0,0.0
180,20,PSO-guided,6.2426,0.2086,0.259
180,20,PSO-only,6.2976,0.0,0.0
180,20,Regular,6.1564,0.0635,0.0789
180,30,GA-guided,6.0295,0.0831,0.1032
180,30,GA-only,6.3028,0.0,0.0
180,30,PSO-guided,6.3457,0.26,0.3228
180,30,PSO-only,6.3028,0.0,0.0
180,30,Regular,6.3147,0.136,0.1689
180,50,GA-guided,6.0255,0.0811,0.1006
180,50,GA-only,6.3168,0.0,0.0
180,50,PSO-guided,6.3949,0.3006,0.3732
180,50,PSO-only,6.3168,0.0,0.0
180,50,Regular,6.4085,0.2086,0.259
180,80,GA-guided,6.0358,0.0614,0.0763
180,80,GA-only,6.323,0.0,0.0
180,80,PSO-guided,6.4442,0.3465,0.4302
180,80,PSO-only,6.323,0.0,0.0
180,80,Regular,6.4871,0.2693,0.3344
180,100,GA-guided,6.1111,0.0828,0.1028
180,100,GA-only,6.335,0.0,0.0
180,100,PSO-guided,6.5219,0.3458,0.4294
180,100,PSO-only,6.335,0.0,0.0
180,100,Regular,6.5442,0.2693,0.3344
240,10,GA-guided,6.0111,0.0744,0.0923
240,10,GA-only,6.3131,0.0,0.0
240,10,PSO-guided,6.1684,0.2063,0.2562
240,10,PSO-only,6.3131,0.0,0.0
240,10,Regular,6.0384,0.134,0.1664
240,20,GA-guided,6.0261,0.0942,0.1169
240,20,GA-only,6.3112,0.0,0.0
240,20,PSO-guided,6.213,0.2369,0.2941
240,20,PSO-only,6.3113,0.0002,0.0003
240,20,Regular,6.0639,0.0993,0.1233
240,30,GA-guided,6.0312,0.0806,0.1001
240,30,GA-only,6.324,0.0,0.0
240,30,PSO-guided,6.2633,0.2242,0.2784
240,30,PSO-only,6.324,0.0,0.0
240,30,Regular,6.1833,0.0646,0.0803
240,50,GA-guided,6.0467,0.0757,0.0939
240,50,GA-only,6.2867,0.0,0.0
240,50,PSO-guided,6.3382,0.2404,0.2985
240,50,PSO-only,6.2867,0.0,0.0
240,50,Regular,6.341,0.1453,0.1804
240,80,GA-guided,6.0542,0.0719,0.0892
240,80,GA-only,6.3148,0.0,0.0
240,80,PSO-guided,6.3773,0.3053,0.3791
