duration_int,return_period_int,model,n_dryrun_proxy_mean,n_dryrun_proxy_std,n_dryrun_proxy_ci95_half
60,10,GA-guided,1.144,1.1817,1.4673
60,10,GA-only,0.0,0.0,0.0
60,10,PSO-guided,0.224,0.2865,0.3557
60,10,PSO-only,0.004,0.0089,0.0111
60,10,Regular,0.392,0.4342,0.5391
60,20,GA-guided,0.888,1.0297,1.2786
60,20,GA-only,0.0,0.0,0.0
60,20,PSO-guided,0.384,0.4568,0.5672
60,20,PSO-only,0.0,0.0,0.0
60,20,Regular,0.26,0.2764,0.3432
60,30,GA-guided,0.844,0.8996,1.117
60,30,GA-only,0.0,0.0,0.0
60,30,PSO-guided,0.236,0.3683,0.4574
60,30,PSO-only,0.0,0.0,0.0
60,30,Regular,0.184,0.2823,0.3505
60,50,GA-guided,0.808,0.9289,1.1534
60,50,GA-only,0.0,0.0,0.0
60,50,PSO-guided,0.376,0.5606,0.6961
60,50,PSO-only,0.0,0.0,0.0
60,50,Regular,0.176,0.2291,0.2844
60,80,GA-guided,0.804,0.8543,1.0608
60,80,GA-only,0.0,0.0,0.0
60,80,PSO-guided,0.28,0.3797,0.4715
60,80,PSO-only,0.0,0.0,0.0
60,80,Regular,0.292,0.4818,0.5982
60,100,GA-guided,0.58,0.6951,0.8631
60,100,GA-only,0.02,0.0,0.0
60,100,PSO-guided,0.26,0.3578,0.4442
60,100,PSO-only,0.024,0.0089,0.0111
60,100,Regular,0.324,0.6149,0.7635
120,10,GA-guided,1.448,1.5059,1.8698
120,10,GA-only,0.02,0.0,0.0
120,10,PSO-guided,0.48,0.3677,0.4566
120,10,PSO-only,0.02,0.0,0.0
120,10,Regular,0.904,0.9729,1.208
120,20,GA-guided,1.112,1.2704,1.5774
120,20,GA-only,0.0,0.0,0.0
120,20,PSO-guided,0.236,0.2256,0.2801
120,20,PSO-only,0.004,0.0089,0.0111
120,20,Regular,0.68,0.8138,1.0104
120,30,GA-guided,0.924,1.2966,1.61
120,30,GA-only,0.0,0.0,0.0
120,30,PSO-guided,0.252,0.318,0.3948
120,30,PSO-only,0.0,0.0,0.0
120,30,Regular,0.496,0.6959,0.8641
120,50,GA-guided,0.828,1.1869,1.4737
120,50,GA-only,0.0,0.0,0.0
120,50,PSO-guided,0.2,0.302,0.375
120,50,PSO-only,0.0,0.0,0.0
120,50,Regular,0.52,0.728,0.9039
120,80,GA-guided,0.828,1.0124,1.257
120,80,GA-only,0.0,0.0,0.0
120,80,PSO-guided,0.224,0.3096,0.3845
120,80,PSO-only,0.0,0.0,0.0
120,80,Regular,0.416,0.4117,0.5112
120,100,GA-guided,0.904,1.2213,1.5164
120,100,GA-only,0.0,0.0,0.0
120,100,PSO-guided,0.336,0.2944,0.3656
120,100,PSO-only,0.0,0.0,0.0
120,100,Regular,0.428,0.4263,0.5293
180,10,GA-guided,1.736,1.6145,2.0047
180,10,GA-only,0.0,0.0,0.0
180,10,PSO-guided,0.692,0.7843,0.9738
180,10,PSO-only,0.0,0.0,0.0
180,10,Regular,1.324,1.3143,1.632
180,20,GA-guided,2.064,1.3971,1.7347
180,20,GA-only,0.0,0.0,0.0
180,20,PSO-guided,0.992,0.9296,1.1542
