duration_int,return_period_int,model,n_intervals_170_mean,n_intervals_170_std,n_intervals_170_ci95_half
60,10,GA-guided,12.524,1.807,2.2437
60,10,GA-only,19.76,0.0,0.0
60,10,PSO-guided,13.156,2.451,3.0433
60,10,PSO-only,19.76,0.0,0.0
60,10,Regular,13.464,0.9971,1.2381
60,20,GA-guided,19.544,1.8227,2.2631
60,20,GA-only,26.62,0.0,0.0
60,20,PSO-guided,20.096,2.4973,3.1009
60,20,PSO-only,26.62,0.0,0.0
60,20,Regular,20.096,0.5283,0.6559
60,30,GA-guided,23.752,1.5199,1.8872
60,30,GA-only,31.04,0.0,0.0
60,30,PSO-guided,23.76,2.2573,2.8028
60,30,PSO-only,31.04,0.0,0.0
60,30,Regular,24.06,0.6656,0.8264
60,50,GA-guided,28.32,1.2295,1.5266
60,50,GA-only,34.66,0.0,0.0
60,50,PSO-guided,28.096,2.3177,2.8778
60,50,PSO-only,34.66,0.0,0.0
60,50,Regular,28.3,0.7761,0.9637
60,80,GA-guided,32.192,1.3192,1.638
60,80,GA-only,39.38,0.0,0.0
60,80,PSO-guided,32.28,2.306,2.8633
60,80,PSO-only,39.38,0.0,0.0
60,80,Regular,32.396,0.6538,0.8118
60,100,GA-guided,33.812,1.4618,1.815
60,100,GA-only,40.48,0.0,0.0
60,100,PSO-guided,33.844,2.4299,3.0171
60,100,PSO-only,40.484,0.0089,0.0111
60,100,Regular,33.932,0.6357,0.7893
120,10,GA-guided,15.128,1.1994,1.4892
120,10,GA-only,22.78,0.0,0.0
120,10,PSO-guided,15.944,2.1205,2.6329
120,10,PSO-only,22.78,0.0,0.0
120,10,Regular,16.752,1.5385,1.9104
120,20,GA-guided,25.536,1.5894,1.9735
120,20,GA-only,33.28,0.0,0.0
120,20,PSO-guided,25.836,2.4234,3.0091
120,20,PSO-only,33.3,0.0346,0.043
120,20,Regular,26.472,1.2408,1.5406
120,30,GA-guided,31.272,1.575,1.9556
120,30,GA-only,38.72,0.0,0.0
120,30,PSO-guided,31.492,2.3678,2.94
120,30,PSO-only,38.728,0.011,0.0136
120,30,Regular,32.276,1.097,1.3621
120,50,GA-guided,38.224,1.5276,1.8967
120,50,GA-only,45.5,0.0,0.0
120,50,PSO-guided,38.768,2.005,2.4896
120,50,PSO-only,45.496,0.0089,0.0111
120,50,Regular,39.332,1.0872,1.3499
120,80,GA-guided,44.596,1.3049,1.6202
120,80,GA-only,51.54,0.0,0.0
120,80,PSO-guided,44.7,1.9646,2.4394
120,80,PSO-only,51.548,0.0179,0.0222
120,80,Regular,45.52,1.0287,1.2773
120,100,GA-guided,47.156,1.4647,1.8186
120,100,GA-only,54.64,0.0,0.0
120,100,PSO-guided,47.468,1.8947,2.3525
120,100,PSO-only,54.636,0.0089,0.0111
120,100,Regular,48.3,1.0515,1.3056
180,10,GA-guided,12.408,1.4935,1.8544
180,10,GA-only,20.96,0.0,0.0
180,10,PSO-guided,13.64,1.6259,2.0188
180,10,PSO-only,21.0,0.0548,0.068
180,10,Regular,14.496,1.4163,1.7586
180,20,GA-guided,23.928,1.3598,1.6884
180,20,GA-only,32.64,0.0,0.0
180,20,PSO-guided,24.296,2.6913,3.3417
180,20,PSO-only,32.644,0.0089,0.0111
180,20,Regular,25.56,1.7432,2.1645
180,30,GA-guided,31.504,1.9128,2.375
180,30,GA-only,40.58,0.0,0.0
180,30,PSO-guided,32.596,2.006,2.4907
