duration_int,return_period_int,model,n_switches_mean,n_switches_std,n_switches_ci95_half
60,10,GA-guided,12.32,1.2512,1.5536
60,10,GA-only,10.64,0.0,0.0
60,10,PSO-guided,10.304,0.7353,0.913
60,10,PSO-only,10.64,0.0,0.0
60,10,Regular,10.764,1.105,1.3721
60,20,GA-guided,12.164,0.7706,0.9569
60,20,GA-only,10.56,0.0,0.0
60,20,PSO-guided,10.82,0.5344,0.6636
60,20,PSO-only,10.56,0.0,0.0
60,20,Regular,10.764,0.9225,1.1455
60,30,GA-guided,11.62,1.039,1.2901
60,30,GA-only,10.28,0.0,0.0
60,30,PSO-guided,10.812,0.5768,0.7162
60,30,PSO-only,10.28,0.0,0.0
60,30,Regular,11.252,0.7586,0.942
60,50,GA-guided,11.496,1.1359,1.4104
60,50,GA-only,10.36,0.0,0.0
60,50,PSO-guided,11.128,0.7441,0.924
60,50,PSO-only,10.356,0.0089,0.0111
60,50,Regular,11.476,0.716,0.8891
60,80,GA-guided,11.364,0.8719,1.0827
60,80,GA-only,10.04,0.0,0.0
60,80,PSO-guided,11.06,0.7493,0.9303
60,80,PSO-only,10.04,0.0,0.0
60,80,Regular,11.78,1.1321,1.4057
60,100,GA-guided,11.02,0.7716,0.9581
60,100,GA-only,10.58,0.0,0.0
60,100,PSO-guided,10.872,0.6824,0.8474
60,100,PSO-only,10.584,0.0089,0.0111
60,100,Regular,11.648,0.9569,1.1882
120,10,GA-guided,13.552,1.9839,2.4634
120,10,GA-only,16.8,0.0,0.0
120,10,PSO-guided,11.484,1.6148,2.005
120,10,PSO-only,16.816,0.0219,0.0272
120,10,Regular,12.816,1.9806,2.4593
120,20,GA-guided,14.34,2.0763,2.5781
120,20,GA-only,16.24,0.0,0.0
120,20,PSO-guided,11.632,1.0197,1.2661
120,20,PSO-only,16.288,0.0716,0.0888
120,20,Regular,12.76,1.3125,1.6297
120,30,GA-guided,13.724,1.8549,2.3032
120,30,GA-only,15.44,0.0,0.0
120,30,PSO-guided,12.392,1.1215,1.3925
120,30,PSO-only,15.456,0.0358,0.0444
120,30,Regular,13.0,1.1254,1.3974
120,50,GA-guided,13.312,1.1955,1.4844
120,50,GA-only,14.96,0.0,0.0
120,50,PSO-guided,12.552,1.2988,1.6127
120,50,PSO-only,14.968,0.0179,0.0222
120,50,Regular,13.216,1.6456,2.0433
120,80,GA-guided,12.816,1.2606,1.5652
120,80,GA-only,14.92,0.0,0.0
120,80,PSO-guided,12.252,1.1492,1.427
120,80,PSO-only,14.936,0.0219,0.0272
120,80,Regular,13.116,1.5216,1.8893
120,100,GA-guided,12.496,1.3813,1.7152
120,100,GA-only,14.12,0.0,0.0
120,100,PSO-guided,12.28,1.1211,1.392
120,100,PSO-only,14.128,0.0179,0.0222
120,100,Regular,13.172,1.7255,2.1425
180,10,GA-guided,15.3,1.9275,2.3934
180,10,GA-only,24.84,0.0,0.0
180,10,PSO-guided,14.612,0.7142,0.8868
180,10,PSO-only,25.0,0.3033,0.3766
180,10,Regular,16.856,2.4207,3.0057
180,20,GA-guided,15.788,3.188,3.9585
180,20,GA-only,23.92,0.0,0.0
180,20,PSO-guided,13.716,1.4821,1.8402
180,20,PSO-only,23.936,0.0219,0.0272
180,20,Regular,15.52,2.134,2.6497
180,30,GA-guided,15.764,2.877,3.5723
180,30,GA-only,23.48,0.0,0.0
180,30,PSO-guided,13.956,2.1887,2.7176
180,30,PSO-only,23.496,0.0358,0.0444
180,30,Regular,15.196,2.6188,3.2517
180,50,GA-guided,16.236,2.8841,3.5811
180,50,GA-only,21.12,0.0,0.0
180,50,PSO-guided,14.456,2.1195,2.6317
180,50,PSO-only,21.144,0.0358,0.0444
180,50,Regular,15.608,2.0757,2.5773
180,80,GA-guided,15.86,3.1847,3.9543
180,80,GA-only,21.0,0.0,0.0
180,80,PSO-guided,14.3,1.794,2.2276
180,80,PSO-only,21.072,0.0996,0.1237
180,80,Regular,15.84,1.918,2.3815
180,100,GA-guided,15.092,2.1375,2.6541
180,100,GA-only,21.84,0.0,0.0
180,100,PSO-guided,13.516,1.072,1.3311
180,100,PSO-only,21.872,0.0335,0.0416
180,100,Regular,15.316,1.1974,1.4868
240,10,GA-guided,17.304,1.633,2.0276
240,10,GA-only,30.88,0.0,0.0
240,10,PSO-guided,16.172,1.4979,1.8599
240,10,PSO-only,30.848,0.0716,0.0888
240,10,Regular,19.624,2.6457,3.2851
240,20,GA-guided,18.6,3.1917,3.963
240,20,GA-only,31.28,0.0,0.0
240,20,PSO-guided,16.668,1.1325,1.4062
240,20,PSO-only,31.512,0.161,0.1999
240,20,Regular,20.188,2.3255,2.8874
240,30,GA-guided,19.164,3.8875,4.8269
240,30,GA-only,31.44,0.0,0.0
240,30,PSO-guided,17.304,1.6568,2.0572
240,30,PSO-only,31.384,0.1043,0.1295
240,30,Regular,19.056,2.8239,3.5063
240,50,GA-guided,19.732,4.2845,5.32
240,50,GA-only,29.12,0.0,0.0
240,50,PSO-guided,16.884,2.3674,2.9395
240,50,PSO-only,29.228,0.1775,0.2204
240,50,Regular,18.18,2.6981,3.3501
240,80,GA-guided,19.604,3.9469,4.9007
240,80,GA-only,28.66,0.0,0.0
240,80,PSO-guided,16.556,2.4621,3.0571
240,80,PSO-only,28.788,0.1339,0.1662
240,80,Regular,17.98,2.8211,3.5029
240,100,GA-guided,19.224,3.0908,3.8377
240,100,GA-only,29.52,0.0,0.0
240,100,PSO-guided,16.44,2.2863,2.8388
240,100,PSO-only,29.608,0.2198,0.2729
240,100,Regular,18.764,3.143,3.9026
360,10,GA-guided,22.124,3.0802,3.8246
360,10,GA-only,48.5,0.0,0.0
360,10,PSO-guided,20.292,2.7412,3.4036
360,10,PSO-only,48.476,0.078,0.0968
360,10,Regular,26.96,3.4555,4.2906
360,20,GA-guided,23.32,1.9338,2.4011
360,20,GA-only,51.7,0.0,0.0
360,20,PSO-guided,22.34,2.4694,3.0661
360,20,PSO-only,51.82,0.1918,0.2382
360,20,Regular,28.556,3.5038,4.3505
360,30,GA-guided,24.352,3.1808,3.9495
360,30,GA-only,51.44,0.0,0.0
360,30,PSO-guided,22.316,2.1979,2.729
360,30,PSO-only,51.512,0.173,0.2148
360,30,Regular,28.856,3.3537,4.1641
360,50,GA-guided,24.424,4.4362,5.5083
360,50,GA-only,47.2,0.0,0.0
360,50,PSO-guided,21.96,2.7594,3.4262
360,50,PSO-only,47.208,0.0522,0.0648
360,50,Regular,27.124,2.5878,3.2132
360,80,GA-guided,25.088,6.8699,8.5301
360,80,GA-only,44.04,0.0,0.0
360,80,PSO-guided,21.6,3.1965,3.969
360,80,PSO-only,44.056,0.0358,0.0444
360,80,Regular,25.112,3.7677,4.6783
360,100,GA-guided,25.788,7.2549,9.0082
360,100,GA-only,43.12,0.0,0.0
360,100,PSO-guided,22.172,3.1703,3.9364
360,100,PSO-only,43.32,0.3763,0.4672
360,100,Regular,25.38,4.7231,5.8645
540,10,GA-guided,33.436,6.112,7.5891
540,10,GA-only,75.54,0.0,0.0
540,10,PSO-guided,31.796,6.0427,7.503
540,10,PSO-only,75.796,0.1688,0.2095
540,10,Regular,38.132,4.4383,5.5109
540,20,GA-guided,30.856,5.164,6.4119
540,20,GA-only,74.76,0.0,0.0
540,20,PSO-guided,29.8,5.4672,6.7885
540,20,PSO-only,74.968,0.3649,0.453
540,20,Regular,37.664,5.9528,7.3914
540,30,GA-guided,29.536,4.3303,5.3767
540,30,GA-only,75.08,0.0,0.0
540,30,PSO-guided,28.632,5.1129,6.3485
540,30,PSO-only,74.816,0.2051,0.2547
540,30,Regular,37.18,6.0256,7.4817
540,50,GA-guided,31.388,3.8652,4.7992
540,50,GA-only,76.46,0.0,0.0
540,50,PSO-guided,29.964,5.6262,6.9859
540,50,PSO-only,76.628,0.459,0.57
540,50,Regular,38.456,5.4479,6.7644
540,80,GA-guided,33.732,4.1782,5.1879
540,80,GA-only,84.5,0.0,0.0
540,80,PSO-guided,31.496,5.8857,7.3081
540,80,PSO-only,84.708,0.3267,0.4056
540,80,Regular,42.188,4.4224,5.4912
540,100,GA-guided,33.98,4.907,6.0928
540,100,GA-only,80.4,0.0,0.0
540,100,PSO-guided,31.548,5.2709,6.5446
540,100,PSO-only,80.74,0.4171,0.5179
540,100,Regular,42.376,5.3388,6.629
720,10,GA-guided,43.076,9.2255,11.455
720,10,GA-only,94.88,0.0,0.0
720,10,PSO-guided,41.804,8.1828,10.1603
720,10,PSO-only,95.384,0.4314,0.5356
720,10,Regular,51.028,8.8953,11.0449
720,20,GA-guided,44.784,8.4188,10.4533
720,20,GA-only,102.86,0.0,0.0
720,20,PSO-guided,42.136,7.9922,9.9236
720,20,PSO-only,102.956,0.3448,0.4281
720,20,Regular,52.276,8.5268,10.5874
720,30,GA-guided,44.28,8.2728,10.2721
720,30,GA-only,106.52,0.0,0.0
720,30,PSO-guided,41.788,7.9825,9.9115
720,30,PSO-only,106.608,0.383,0.4756
720,30,Regular,50.676,7.2612,9.016
720,50,GA-guided,42.928,8.1311,10.096
720,50,GA-only,109.88,0.0,0.0
720,50,PSO-guided,39.156,7.1992,8.9389
720,50,PSO-only,110.016,0.3122,0.3877
720,50,Regular,48.804,7.7935,9.6769
720,80,GA-guided,38.972,7.1587,8.8887
720,80,GA-only,99.9,0.0,0.0
720,80,PSO-guided,37.964,8.4032,10.4339
720,80,PSO-only,99.896,0.5934,0.7368
720,80,Regular,47.44,8.355,10.3741
720,100,GA-guided,39.236,6.7471,8.3776
720,100,GA-only,99.7,0.0,0.0
720,100,PSO-guided,38.844,8.4624,10.5075
720,100,PSO-only,100.04,0.5579,0.6927
720,100,Regular,49.204,8.2455,10.2381
1080,10,GA-guided,65.352,12.963,16.0957
1080,10,GA-only,142.44,0.0,0.0
1080,10,PSO-guided,64.352,16.9836,21.088
1080,10,PSO-only,142.496,0.1539,0.1911
1080,10,Regular,78.872,21.127,26.2326
1080,20,GA-guided,65.612,13.1263,16.2985
1080,20,GA-only,155.84,0.0,0.0
1080,20,PSO-guided,66.54,16.7004,20.7362
1080,20,PSO-only,155.832,0.2791,0.3466
1080,20,Regular,79.108,19.7823,24.563
1080,30,GA-guided,64.988,13.7403,17.0608
1080,30,GA-only,156.8,0.0,0.0
1080,30,PSO-guided,63.448,15.7946,19.6116
1080,30,PSO-only,156.92,0.5845,0.7257
1080,30,Regular,75.54,17.5297,21.766
1080,50,GA-guided,63.224,13.2412,16.4411
1080,50,GA-only,144.52,0.0,0.0
1080,50,PSO-guided,61.476,15.4768,19.217
1080,50,PSO-only,144.8,0.5238,0.6504
1080,50,Regular,74.76,17.883,22.2046
1080,80,GA-guided,64.672,12.8212,15.9196
1080,80,GA-only,150.56,0.0,0.0
1080,80,PSO-guided,61.148,14.8865,18.484
1080,80,PSO-only,150.688,0.7263,0.9018
1080,80,Regular,76.216,16.7667,20.8186
1080,100,GA-guided,65.716,11.8634,14.7303
1080,100,GA-only,152.3,0.0,0.0
1080,100,PSO-guided,61.396,13.1985,16.3882
1080,100,PSO-only,152.26,0.5177,0.6428
1080,100,Regular,75.776,14.8501,18.4388
1440,10,GA-guided,78.24,14.2062,17.6394
1440,10,GA-only,156.76,0.0,0.0
1440,10,PSO-guided,74.292,18.4334,22.8881
1440,10,PSO-only,157.552,0.7987,0.9917
1440,10,Regular,93.076,28.9692,35.9701
1440,20,GA-guided,83.544,15.747,19.5524
1440,20,GA-only,183.32,0.0,0.0
1440,20,PSO-guided,82.268,20.5635,25.533
1440,20,PSO-only,183.808,0.3913,0.4859
1440,20,Regular,100.316,28.1519,34.9551
1440,30,GA-guided,86.204,17.136,21.2771
1440,30,GA-only,178.36,0.0,0.0
1440,30,PSO-guided,83.764,21.8375,27.1148
1440,30,PSO-only,179.304,0.6083,0.7554
1440,30,Regular,103.64,28.2406,35.0654
1440,50,GA-guided,87.452,15.229,18.9093
1440,50,GA-only,206.0,0.0,0.0
1440,50,PSO-guided,87.308,23.1957,28.8012
1440,50,PSO-only,206.036,0.4253,0.5281
1440,50,Regular,106.12,27.8648,34.5987
1440,80,GA-guided,86.868,16.7079,20.7456
1440,80,GA-only,214.78,0.0,0.0
1440,80,PSO-guided,87.248,24.8275,30.8274
1440,80,PSO-only,214.876,0.2602,0.323
1440,80,Regular,105.316,28.1064,34.8987
1440,100,GA-guided,85.488,16.2138,20.1321
1440,100,GA-only,211.36,0.0,0.0
1440,100,PSO-guided,86.316,23.5113,29.1931
1440,100,PSO-only,211.896,0.5689,0.7064
1440,100,Regular,102.024,25.3074,31.4233
