model,metric,manuscript,e3_mean,e3_ci95_lo,e3_ci95_hi
Regular,max_level_m,5.495,9.998047448760882,9.994179216719314,10.001915680802451
Regular,n_switches,85.46,1.7513333333333332,-0.8453466390272575,4.348013305693923
Regular,n_intervals_100,308.25,88.83466666666666,12.058604638811843,165.61072869452147
Regular,n_intervals_170,19.79,4.632,-7.004543796779307,16.268543796779305
Regular,n_dryrun_proxy,5.34,0.10051851851851852,-0.14671294930162643,0.34774998633866344
GA-guided,max_level_m,5.607,9.999697545174113,9.99910748392686,10.000287606421367
GA-guided,n_switches,91.5,0.0382962962962963,-0.02393287025137631,0.1005254628439689
GA-guided,n_intervals_100,312.84,0.07777777777777779,-0.021468012496951253,0.17702356805250685
GA-guided,n_intervals_170,18.97,0.006222222222222222,-0.008616872415128641,0.021061316859573086
GA-guided,n_dryrun_proxy,4.46,0.021259259259259262,-0.021200978751407133,0.06371949726992565
PSO-guided,max_level_m,5.637,10.0,10.0,10.0
PSO-guided,n_switches,78.61,0.06259259259259259,-0.08185299417684086,0.20703817936202604
PSO-guided,n_intervals_100,449.48,6.450888888888889,-11.38359796900808,24.28537574678586
PSO-guided,n_intervals_170,19.16,0.0,0.0,0.0
PSO-guided,n_dryrun_proxy,0.8,0.004,-0.007105780420791193,0.015105780420791193
GA-only,max_level_m,5.783,10.0,10.0,10.0
GA-only,n_switches,43.66,0.0,0.0,0.0
GA-only,n_intervals_100,,0.0,0.0,0.0
GA-only,n_intervals_170,,0.0,0.0,0.0
GA-only,n_dryrun_proxy,0.05,0.0,0.0,0.0
PSO-only,max_level_m,5.783,10.0,10.0,10.0
PSO-only,n_switches,43.7,0.0,0.0,0.0
PSO-only,n_intervals_100,,0.0,0.0,0.0
PSO-only,n_intervals_170,,0.0,0.0,0.0
PSO-only,n_dryrun_proxy,0.14,0.0,0.0,0.0
