model,seed,overflow_frac,action0_locked_frac,zero_switch_frac
GA-guided,1,1.0,1.0,1.0
GA-guided,2,0.9996296296296296,0.9733333333333334,0.9733333333333334
GA-guided,3,1.0,1.0,1.0
GA-guided,4,1.0,0.9433333333333334,0.9433333333333334
GA-guided,5,0.9992592592592593,0.9959259259259259,0.9959259259259259
GA-only,1,1.0,1.0,1.0
GA-only,2,1.0,1.0,1.0
GA-only,3,1.0,1.0,1.0
GA-only,4,1.0,1.0,1.0
GA-only,5,1.0,1.0,1.0
PSO-guided,1,1.0,1.0,1.0
PSO-guided,2,1.0,0.7314814814814815,0.7314814814814815
PSO-guided,3,1.0,0.9985185185185185,0.9985185185185185
PSO-guided,4,1.0,1.0,1.0
PSO-guided,5,1.0,0.9866666666666667,0.9866666666666667
PSO-only,1,1.0,1.0,1.0
PSO-only,2,1.0,1.0,1.0
PSO-only,3,1.0,1.0,1.0
PSO-only,4,1.0,1.0,1.0
PSO-only,5,1.0,1.0,1.0
Regular,1,1.0,0.5266666666666666,0.5266666666666666
Regular,2,1.0,0.13518518518518519,0.13518518518518519
Regular,3,0.9966666666666667,0.011851851851851851,0.011851851851851851
Regular,4,1.0,0.3333333333333333,0.3333333333333333
Regular,5,0.9914814814814815,0.9725925925925926,0.9725925925925926
