model,seed,gamma,n_train,n_test,overflow_rate,mean_max_level_m,min_max_level_m,action0_lock_rate,mean_n_intervals_100,mean_n_intervals_170,mean_n_switches,mean_dryrun_proxy,elapsed_s
GA-only,2,0.7,500,30,1.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,163.6
GA-only,1,0.7,500,30,1.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,163.6
PSO-only,1,0.7,500,30,1.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,17.1
PSO-only,2,0.7,500,30,1.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,17.1
Regular,1,0.7,500,30,0.0,8.9546,7.9371,0.0,269.87,25.4,16.83,2.3333,863.1
Regular,2,0.7,500,30,0.0,8.3011,8.1068,0.0,239.97,45.63,17.37,1.0333,863.6
PSO-guided,1,0.7,500,30,0.0,8.2038,7.6416,0.0,237.87,46.7,17.2,0.2667,906.0
PSO-guided,2,0.7,500,30,0.0,7.8123,7.3679,0.0,234.73,42.97,13.93,1.8,906.3
GA-guided,1,0.7,500,30,0.0,8.3933,8.0684,0.0,230.87,51.2,15.07,0.6667,1583.6
GA-guided,2,0.7,500,30,0.0,8.0081,7.5008,0.0,236.53,47.73,17.93,0.7333,1585.2
