model,seed,gamma,n_train,n_test,overflow_rate,mean_max_level_m,min_max_level_m,action0_lock_rate,mean_n_intervals_100,mean_n_intervals_170,mean_n_switches,mean_dryrun_proxy,elapsed_s
GA-only,2,0.7,500,30,0.0,6.3221,6.2549,0.0,233.77,46.97,60.47,0.1,182.6
GA-only,1,0.7,500,30,0.0,6.3221,6.2549,0.0,233.77,46.97,60.47,0.1,184.5
PSO-only,1,0.7,500,30,0.0,6.3221,6.2549,0.0,233.77,46.97,60.47,0.1,17.4
PSO-only,2,0.7,500,30,0.0,6.3219,6.2549,0.0,233.63,46.97,60.2,0.1333,17.4
Regular,2,0.7,500,30,0.0,6.1167,5.6908,0.0,268.33,29.17,30.23,0.8667,846.0
Regular,1,0.7,500,30,0.0,6.2291,6.0148,0.0,276.33,24.7,45.3,0.2667,848.9
PSO-guided,2,0.7,500,30,0.0,6.0728,5.585,0.0,276.03,23.67,27.57,1.1333,892.3
PSO-guided,1,0.7,500,30,0.0,6.1832,5.8417,0.0,270.1,27.93,30.93,0.9333,892.8
GA-guided,2,0.7,500,30,0.0,6.1817,5.8193,0.0,274.67,25.47,31.17,0.1333,1522.2
GA-guided,1,0.7,500,30,0.0,6.1898,5.898,0.0,276.33,24.27,22.13,2.8667,1525.8
