tag,weights,seed,n_test,overflow_rate,mean_max_level_m,min_max_level_m,action0_lock_rate,mean_n_switches,mean_n_intervals_100,mean_n_intervals_170,mean_dryrun_proxy,dist_max_level,elapsed_s
w_current_0.25_0.4_0.25_0.1,0.25|0.4|0.25|0.1,2,30,1.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,4.217,173.4
w_current_0.25_0.4_0.25_0.1,0.25|0.4|0.25|0.1,1,30,1.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,4.217,174.4
w_level_gt_switch_0.4_0.25,0.4|0.25|0.25|0.1,2,30,0.0,6.6352,6.4005,0.0,37.13,231.17,48.0,0.0,0.852,186.6
w_level_dominant_0.6_0.2,0.6|0.2|0.1|0.1,2,30,0.0,5.1574,4.9185,0.0,108.0,278.33,26.0,21.9,-0.626,187.3
w_level_dominant_0.6_0.2,0.6|0.2|0.1|0.1,1,30,0.0,5.1574,4.9185,0.0,108.0,278.33,26.0,21.9,-0.626,188.2
w_level_gt_switch_0.4_0.25,0.4|0.25|0.25|0.1,1,30,0.0,6.6352,6.4005,0.0,37.13,231.17,48.0,0.0,0.852,189.7
w_2crit_1_1_0_0,1.0|1.0|0.0|0.0,2,30,0.0,5.9725,5.8378,0.0,5.0,627.9,418.6,204.4667,0.189,241.3
w_2crit_1_1_0_0,1.0|1.0|0.0|0.0,1,30,0.0,5.9725,5.8378,0.0,5.0,627.9,418.6,204.4667,0.189,311.4
w_level_only_1_0_0_0,1.0|0.0|0.0|0.0,1,30,0.0,4.9174,4.7,0.0,328.03,640.83,197.97,241.8667,-0.866,201.3
w_level_only_1_0_0_0,1.0|0.0|0.0|0.0,2,30,0.0,4.9174,4.7,0.0,327.63,644.07,199.47,241.6,-0.866,200.6
