condition,metric,n_seeds,mean,std,ci95_lo,ci95_hi
A0,max_level_m,5,6.20136,0.15177,6.01295,6.38977
A0,n_switches,5,39.74363,9.99817,27.33126,52.156
A0,n_intervals_100,5,303.04348,8.18034,292.88787,313.19909
A0,n_intervals_170,5,21.39867,3.43475,17.13455,25.66278
A0,n_dryrun_proxy,5,2.63296,1.88767,0.28949,4.97644
A0,cum_reward,5,153.30333,0.68805,152.44915,154.15752
A0,overflow_flag,5,0.0,0.0,0.0,0.0
A1,max_level_m,5,6.13345,0.15931,5.93568,6.33123
A1,n_switches,5,41.66163,5.81023,34.44843,48.87482
A1,n_intervals_100,5,306.55422,4.46275,301.01387,312.09458
A1,n_intervals_170,5,20.74141,2.06697,18.17534,23.30748
A1,n_dryrun_proxy,5,4.8583,2.53503,1.71114,8.00545
A1,cum_reward,5,152.5417,0.83542,151.50455,153.57884
A1,overflow_flag,5,0.0,0.0,0.0,0.0
A3,max_level_m,5,6.03285,0.09103,5.91983,6.14586
A3,n_switches,5,34.19541,4.75995,28.2861,40.10471
A3,n_intervals_100,5,312.27778,6.50105,304.20696,320.3486
A3,n_intervals_170,5,18.76281,0.98661,17.53798,19.98765
A3,n_dryrun_proxy,5,4.87252,4.39403,-0.58251,10.32755
A3,cum_reward,5,152.81621,1.01725,151.55334,154.07909
A3,overflow_flag,5,0.0,0.0,0.0,0.0
A0_baseline,max_level_m,5,6.22392,0.07698,6.12836,6.31949
A0_baseline,n_switches,5,39.29756,6.41277,31.33633,47.25878
A0_baseline,n_intervals_100,5,307.17948,6.17723,299.51067,314.8483
A0_baseline,n_intervals_170,5,21.03156,1.99029,18.56068,23.50243
A0_baseline,n_dryrun_proxy,5,3.30385,2.75177,-0.11237,6.72008
A0_baseline,cum_reward,5,153.06958,0.41631,152.55275,153.58641
A0_baseline,overflow_flag,5,0.0,0.0,0.0,0.0
