condition,seed,n_decisions,action_0_frac,action_1_frac,action_2_frac,action_3_frac,action_4_frac,action_5_frac
A1,1,31464,0.35228,0.35263,0.19813,0.03528,0.04523,0.01646
A1,2,31464,0.33489,0.38355,0.14992,0.09907,0.00292,0.02965
A1,3,31464,0.44152,0.20392,0.2159,0.08584,0.03642,0.0164
A1,4,31464,0.33505,0.3763,0.20217,0.01665,0.06035,0.00947
A1,5,31464,0.36785,0.3313,0.17312,0.07911,0.03178,0.01684
A3,1,31464,0.3416,0.37846,0.15901,0.06732,0.03906,0.01456
A3,2,31464,0.33044,0.42061,0.09694,0.10622,0.02934,0.01646
A3,3,31464,0.40386,0.25092,0.22279,0.07002,0.03839,0.01402
A3,4,31464,0.32157,0.3874,0.16886,0.07462,0.03099,0.01656
A3,5,31464,0.34182,0.38234,0.14683,0.09532,0.00664,0.02705
