label,n_scenarios,n_runs,run_len_mean,run_len_median,run_len_p90,p_change_mean,lag1_autocorr_mean
RandomGuide-only (A1 guide),108,26288,1.196895922093731,1,2,0.8384888817620868,-0.024527412927921377
GA-only (A3 guide),108,3354,9.381037567084078,2,26,0.10792105430512895,0.8156055711810122
A0_seed1,108,3584,8.779017857142858,3,24,0.1233067575477424,0.9571171195989002
A0_seed2,108,4891,6.433040278061746,4,12,0.14547481474926016,0.9491211578952429
A0_seed3,108,4093,7.687270950403128,5,14,0.13999403785101633,0.9588008587859609
A0_seed4,108,2580,12.195348837209302,8,26,0.08590029917480708,0.9655572286182711
A0_seed5,108,5201,6.049605845029802,3,11,0.16369722605201123,0.9275626197934033
A1_seed1,108,4206,7.480741797432239,5,15,0.1430456442282626,0.9353386315801496
A1_seed2,108,4515,6.9687707641196015,5,13,0.1405106141994621,0.9276709660326202
A1_seed3,108,3935,7.995933926302414,4,21,0.13650786770865175,0.9390790160054416
A1_seed4,108,4440,7.0864864864864865,4,14,0.13676188317055554,0.94491592289059
A1_seed5,108,3031,10.380732431540746,6,22,0.10690725600136883,0.955969370103025
A3_seed1,108,2973,10.583249243188698,8,21,0.11347513108038276,0.9644366604472769
A3_seed2,108,3478,9.046578493387004,6,17,0.11909543402015259,0.9497920447436861
A3_seed3,108,3477,9.049180327868852,5,20,0.11295355944312023,0.9646044751742379
A3_seed4,108,4410,7.134693877551021,4,14,0.13730937769892276,0.95214745725186
A3_seed5,108,3764,8.359192348565356,5,16,0.12986096954017307,0.9552090169394358
