w1,w1_minus_w2,algo,seed,weights,overflow_rate,n_overflow,mean_max_level_m,action0_lock_rate,mean_n_switches,mean_n_intervals_100,mean_n_intervals_170,mean_n_dryrun_proxy,elapsed_s
0.2,-0.05,PSO,1,0.2|0.25|0.25|0.1,1.0,30,10.0,1.0,0.0,0.0,0.0,0.0,16.4
0.25,0.0,PSO,1,0.25|0.25|0.25|0.1,1.0,30,10.0,0.0,12.667,192.9,67.87,0.0,16.5
0.2,-0.05,PSO,2,0.2|0.25|0.25|0.1,1.0,30,10.0,1.0,0.0,0.0,0.0,0.0,16.5
0.25,0.0,PSO,2,0.25|0.25|0.25|0.1,1.0,30,10.0,0.0,12.8,192.33,68.6,0.0,16.8
0.27,0.02,PSO,2,0.27|0.25|0.25|0.1,0.0333,1,9.4086,0.0,13.6,198.83,64.47,0.0,16.7
0.27,0.02,PSO,1,0.27|0.25|0.25|0.1,0.0333,1,9.4086,0.0,13.533,199.07,64.5,0.0,17.2
0.2,-0.05,GA,1,0.2|0.25|0.25|0.1,1.0,30,10.0,1.0,0.0,0.0,0.0,0.0,167.4
0.2,-0.05,GA,2,0.2|0.25|0.25|0.1,1.0,30,10.0,1.0,0.0,0.0,0.0,0.0,168.8
0.25,0.0,GA,1,0.25|0.25|0.25|0.1,1.0,30,10.0,0.0,12.8,191.7,68.67,0.0,181.7
0.25,0.0,GA,2,0.25|0.25|0.25|0.1,1.0,30,10.0,0.0,12.867,190.5,69.27,0.0,183.9
0.29,0.04,PSO,1,0.29|0.25|0.25|0.1,0.0,0,8.7469,0.0,14.933,204.5,60.23,0.0,17.0
0.29,0.04,PSO,2,0.29|0.25|0.25|0.1,0.0,0,8.7469,0.0,14.933,204.5,60.23,0.0,17.4
0.27,0.02,GA,2,0.27|0.25|0.25|0.1,0.0333,1,9.4086,0.0,13.533,199.07,64.5,0.0,184.1
0.27,0.02,GA,1,0.27|0.25|0.25|0.1,0.0333,1,9.4086,0.0,13.533,199.07,64.5,0.0,185.1
0.31,0.06,PSO,1,0.31|0.25|0.25|0.1,0.0,0,8.1249,0.0,18.533,212.17,57.47,0.0,17.3
0.31,0.06,PSO,2,0.31|0.25|0.25|0.1,0.0,0,8.1249,0.0,18.533,212.17,57.47,0.0,17.1
0.29,0.04,GA,1,0.29|0.25|0.25|0.1,0.0,0,8.7469,0.0,14.933,204.5,60.23,0.0,183.6
0.33,0.08,PSO,1,0.33|0.25|0.25|0.1,0.0,0,7.6773,0.0,22.2,215.67,54.87,0.0,17.0
0.29,0.04,GA,2,0.29|0.25|0.25|0.1,0.0,0,8.7469,0.0,14.933,204.5,60.23,0.0,186.1
0.33,0.08,PSO,2,0.33|0.25|0.25|0.1,0.0,0,7.6773,0.0,22.2,215.67,54.87,0.0,17.1
0.35,0.1,PSO,1,0.35|0.25|0.25|0.1,0.0,0,7.2309,0.0,28.667,224.97,52.17,0.0,17.1
0.35,0.1,PSO,2,0.35|0.25|0.25|0.1,0.0,0,7.2309,0.0,28.8,224.83,52.3,0.0,17.1
0.31,0.06,GA,1,0.31|0.25|0.25|0.1,0.0,0,8.1249,0.0,18.533,212.17,57.47,0.0,187.2
0.33,0.08,GA,1,0.33|0.25|0.25|0.1,0.0,0,7.6773,0.0,22.2,215.67,54.87,0.0,188.4
0.4,0.15,PSO,1,0.4|0.25|0.25|0.1,0.0,0,6.3221,0.0,60.467,233.77,46.97,0.1,28.0
0.31,0.06,GA,2,0.31|0.25|0.25|0.1,0.0,0,8.1249,0.0,18.533,212.17,57.47,0.0,218.8
0.4,0.15,PSO,2,0.4|0.25|0.25|0.1,0.0,0,6.3219,0.0,60.2,233.63,46.97,0.1333,20.3
0.35,0.1,GA,2,0.35|0.25|0.25|0.1,0.0,0,7.2309,0.0,28.8,224.83,52.3,0.0,199.9
0.45,0.2,PSO,1,0.45|0.25|0.25|0.1,0.0,0,5.8706,0.0,102.0,247.53,40.47,0.0333,27.1
0.4,0.15,GA,2,0.4|0.25|0.25|0.1,0.0,0,6.3221,0.0,60.467,233.77,46.97,0.1,200.2
0.45,0.2,PSO,2,0.45|0.25|0.25|0.1,0.0,0,5.8706,0.0,102.267,247.3,40.53,0.0333,23.5
0.33,0.08,GA,2,0.33|0.25|0.25|0.1,0.0,0,7.6773,0.0,22.2,215.67,54.87,0.0,254.5
0.5,0.25,PSO,1,0.5|0.25|0.25|0.1,0.0,0,5.7552,0.0,117.533,249.3,40.67,1.7333,26.0
0.4,0.15,GA,1,0.4|0.25|0.25|0.1,0.0,0,6.3221,0.0,60.467,233.77,46.97,0.1,254.2
0.5,0.25,PSO,2,0.5|0.25|0.25|0.1,0.0,0,5.7552,0.0,117.533,249.3,40.67,1.7333,41.2
0.35,0.1,GA,1,0.35|0.25|0.25|0.1,0.0,0,7.2309,0.0,28.8,224.83,52.3,0.0,304.2
0.5,0.25,GA,2,0.5|0.25|0.25|0.1,0.0,0,5.7552,0.0,117.533,249.3,40.67,1.7333,206.3
0.45,0.2,GA,1,0.45|0.25|0.25|0.1,0.0,0,5.8706,0.0,102.0,247.53,40.47,0.0333,248.2
0.5,0.25,GA,1,0.5|0.25|0.25|0.1,0.0,0,5.7552,0.0,117.533,249.3,40.67,1.7333,210.1
0.45,0.2,GA,2,0.45|0.25|0.25|0.1,0.0,0,5.8706,0.0,102.0,247.53,40.47,0.0333,265.1
