combo_id,w1,w2,w3,w4,overflow_rate,mean_max_level_m,mean_n_switches,mean_pump_use,mean_n_dryrun_proxy,is_adopted
c25,1.0,0.0,0.0,0.0,0.0,4.9174,334.1415,870.3915000000001,240.966675,False
c16,0.583,0.074,0.264,0.08,0.0,5.179725,116.817,301.467,0.9,False
c22,0.585,0.1,0.131,0.184,0.0,5.182825,117.517,301.4,0.0,False
c23,0.413,0.167,0.025,0.395,0.0,5.182825,117.517,301.4,0.0,False
c09,0.489,0.173,0.289,0.05,0.0,5.4617,97.15025,300.99175,20.61665,False
c14,0.373,0.166,0.184,0.278,0.0,5.5514,112.4165,296.967,0.0,False
c00,0.419,0.272,0.215,0.094,0.0,5.9157,87.533,333.2,22.3,False
c24,0.4,0.25,0.25,0.1,0.0,6.32205,60.40025,280.69975,0.108325,True
c12,0.342,0.32,0.112,0.226,0.0,6.380324999999999,47.46675,404.95,27.333325,False
c07,0.309,0.178,0.213,0.3,0.0,6.3859,52.61699999999999,281.15825,0.0,False
c13,0.348,0.224,0.37,0.059,0.0,8.6926,15.267,266.617,0.0,False
