part,tag,weights,algo,seed,overflow_rate,n_overflow,n_scen,mean_max_level_m,min_max_level_m,max_max_level_m,action0_lock_rate,mean_n_switches,mean_n_intervals_100,mean_n_intervals_170,mean_n_dryrun_proxy,max_n_dryrun_proxy,elapsed_s
threshold,w1_0.30_w2_0.30,0.3|0.3|0.3|0.1,GA,1,1.0,30,30,10.0,10.0,10.0,0.0,12.8,191.7,68.67,0.0,0,186.7
threshold,w1_0.30_w2_0.30,0.3|0.3|0.3|0.1,PSO,1,1.0,30,30,10.0,10.0,10.0,0.0,12.67,192.9,67.87,0.0,0,17.3
threshold,w1_0.30_w2_0.30,0.3|0.3|0.3|0.1,PSO,2,1.0,30,30,10.0,10.0,10.0,0.0,12.8,192.33,68.6,0.0,0,17.1
threshold,w1_0.30_w2_0.30,0.3|0.3|0.3|0.1,GA,2,1.0,30,30,10.0,10.0,10.0,0.0,12.87,190.5,69.27,0.0,0,186.3
threshold,w1_0.32_w2_0.30,0.32|0.3|0.3|0.1,GA,1,0.0333,1,30,9.4971,9.381,10.0,0.0,13.2,199.07,64.5,0.0,0,188.7
threshold,w1_0.32_w2_0.30,0.32|0.3|0.3|0.1,PSO,1,0.0333,1,30,9.4971,9.381,10.0,0.0,13.2,199.07,64.5,0.0,0,17.6
threshold,w1_0.32_w2_0.30,0.32|0.3|0.3|0.1,PSO,2,0.0333,1,30,9.4971,9.381,10.0,0.0,13.2,199.07,64.5,0.0,0,17.7
threshold,w1_0.32_w2_0.30,0.32|0.3|0.3|0.1,GA,2,0.0333,1,30,9.4971,9.381,10.0,0.0,13.2,199.07,64.5,0.0,0,187.1
threshold,w1_0.34_w2_0.30,0.34|0.3|0.3|0.1,GA,1,0.0,0,30,8.9525,8.825,9.392,0.0,14.53,202.4,61.93,0.0,0,188.3
threshold,w1_0.34_w2_0.30,0.34|0.3|0.3|0.1,PSO,1,0.0,0,30,8.9525,8.825,9.392,0.0,14.53,202.4,61.93,0.0,0,17.1
threshold,w1_0.34_w2_0.30,0.34|0.3|0.3|0.1,PSO,2,0.0,0,30,8.9525,8.825,9.392,0.0,14.53,202.4,61.93,0.0,0,17.5
threshold,w1_0.34_w2_0.30,0.34|0.3|0.3|0.1,GA,2,0.0,0,30,8.9525,8.825,9.392,0.0,14.53,202.4,61.93,0.0,0,187.2
threshold,w1_0.36_w2_0.30,0.36|0.3|0.3|0.1,GA,1,0.0,0,30,8.4636,8.335,9.008,0.0,17.13,202.6,61.93,0.0,0,188.0
threshold,w1_0.36_w2_0.30,0.36|0.3|0.3|0.1,PSO,1,0.0,0,30,8.4636,8.335,9.008,0.0,17.13,202.6,61.93,0.0,0,17.4
threshold,w1_0.36_w2_0.30,0.36|0.3|0.3|0.1,PSO,2,0.0,0,30,8.4636,8.335,9.008,0.0,17.13,202.6,61.93,0.0,0,17.8
threshold,w1_0.36_w2_0.30,0.36|0.3|0.3|0.1,GA,2,0.0,0,30,8.4636,8.335,9.008,0.0,17.13,202.6,61.93,0.0,0,187.5
