part,tag,weights,algo,seed,overflow_rate,n_overflow,n_scen,mean_max_level_m,min_max_level_m,max_max_level_m,action0_lock_rate,mean_n_switches,mean_n_intervals_100,mean_n_intervals_170,mean_n_dryrun_proxy,max_n_dryrun_proxy,elapsed_s
validate,w_0.40_0.25_0.25_0.10,0.4|0.25|0.25|0.1,PSO,3,0.0,0,270,6.3359,6.25,7.074,0.0,71.63,258.08,44.84,0.3593,4,177.4
validate,w_0.40_0.25_0.25_0.10,0.4|0.25|0.25|0.1,PSO,1,0.0,0,270,6.3358,6.25,7.074,0.0,71.6,258.09,44.82,0.3556,4,177.6
validate,w_0.40_0.25_0.25_0.10,0.4|0.25|0.25|0.1,PSO,2,0.0,0,270,6.3358,6.25,7.074,0.0,71.72,258.02,44.86,0.3481,4,178.1
validate,w_0.35_0.30_0.25_0.10,0.35|0.3|0.25|0.1,PSO,1,0.0,0,270,7.9375,7.857,8.177,0.0,22.24,242.41,52.59,1.1519,50,180.5
validate,w_0.35_0.30_0.25_0.10,0.35|0.3|0.25|0.1,PSO,2,0.0,0,270,7.9377,7.857,8.177,0.0,22.19,242.13,52.52,1.0926,47,180.9
validate,w_0.35_0.30_0.25_0.10,0.35|0.3|0.25|0.1,PSO,3,0.0,0,270,7.9376,7.857,8.177,0.0,22.36,242.22,52.69,1.163,50,182.6
validate,w_0.35_0.30_0.25_0.10,0.35|0.3|0.25|0.1,GA,1,0.0,0,270,7.9376,7.857,8.177,0.0,22.2,242.3,52.54,1.1556,50,1918.8
validate,w_0.40_0.25_0.25_0.10,0.4|0.25|0.25|0.1,GA,1,0.0,0,270,6.3358,6.25,7.074,0.0,71.48,258.1,44.8,0.3519,4,1919.9
validate,w_0.40_0.25_0.25_0.10,0.4|0.25|0.25|0.1,GA,3,0.0,0,270,6.3358,6.25,7.074,0.0,71.48,258.1,44.8,0.3519,4,1926.6
validate,w_0.40_0.25_0.25_0.10,0.4|0.25|0.25|0.1,GA,2,0.0,0,270,6.3358,6.25,7.074,0.0,71.48,258.1,44.8,0.3519,4,1927.9
validate,w_0.35_0.30_0.25_0.10,0.35|0.3|0.25|0.1,GA,2,0.0,0,270,7.9376,7.857,8.177,0.0,22.2,242.3,52.54,1.1556,50,1929.2
validate,w_0.35_0.30_0.25_0.10,0.35|0.3|0.25|0.1,GA,3,0.0,0,270,7.9376,7.857,8.177,0.0,22.2,242.3,52.54,1.1556,50,1911.4
