condition,algo,weights,seed,overflow_rate,mean_max_level_m,min_max_level_m,max_max_level_m,action0_lock_rate,mean_n_switches,mean_n_intervals_100,mean_n_intervals_170,mean_n_dryrun_proxy,ref_dist_max_level,elapsed_s
man_policy_REFERENCE,man_policy,-,0,0.0,6.6151,6.312,7.186,0.0,14.87,263.9,28.93,0.0,0.832,4.3
w_0.50_0.25_0.15_0.10,PSO,0.5|0.25|0.15|0.1,1,0.0,5.1542,4.917,6.127,0.0,114.2,276.87,25.83,6.5333,-0.629,16.3
w_0.40_0.25_0.25_0.10,PSO,0.4|0.25|0.25|0.1,2,0.0,6.3219,6.255,6.585,0.0,60.2,233.63,46.97,0.1333,0.539,16.4
w_0.40_0.25_0.25_0.10,PSO,0.4|0.25|0.25|0.1,1,0.0,6.3221,6.255,6.585,0.0,60.47,233.77,46.97,0.1,0.539,16.4
w_0.50_0.25_0.15_0.10,PSO,0.5|0.25|0.15|0.1,2,0.0,5.1542,4.917,6.127,0.0,114.2,276.87,25.83,6.5333,-0.629,16.9
w_0.45_0.35_0.10_0.10,PSO,0.45|0.35|0.1|0.1,1,0.0,5.7065,5.482,6.176,0.0,15.47,600.63,186.73,169.4667,-0.077,16.7
w_0.45_0.35_0.10_0.10,PSO,0.45|0.35|0.1|0.1,2,0.0,5.7065,5.482,6.176,0.0,15.43,600.63,188.93,169.4667,-0.077,16.9
w_0.50_0.25_0.15_0.10,GA,0.5|0.25|0.15|0.1,2,0.0,5.1542,4.917,6.127,0.0,114.2,276.87,25.83,6.5333,-0.629,177.1
w_0.50_0.25_0.15_0.10,GA,0.5|0.25|0.15|0.1,1,0.0,5.1542,4.917,6.127,0.0,114.2,276.87,25.83,6.5333,-0.629,177.8
w_0.40_0.25_0.25_0.10,GA,0.4|0.25|0.25|0.1,1,0.0,6.3221,6.255,6.585,0.0,60.47,233.77,46.97,0.1,0.539,177.8
w_0.40_0.25_0.25_0.10,GA,0.4|0.25|0.25|0.1,2,0.0,6.3221,6.255,6.585,0.0,60.47,233.77,46.97,0.1,0.539,178.7
w_0.35_0.30_0.25_0.10,PSO,0.35|0.3|0.25|0.1,1,0.0,7.942,7.859,8.173,0.0,19.93,220.5,56.2,2.8667,2.159,16.9
w_0.35_0.30_0.25_0.10,PSO,0.35|0.3|0.25|0.1,2,0.0,7.9443,7.859,8.173,0.0,20.0,220.53,56.17,2.8333,2.161,16.9
w_0.30_0.30_0.30_0.10,PSO,0.3|0.3|0.3|0.1,1,1.0,10.0,10.0,10.0,0.0,12.67,192.9,67.87,0.0,4.217,17.0
w_0.30_0.30_0.30_0.10,PSO,0.3|0.3|0.3|0.1,2,1.0,10.0,10.0,10.0,0.0,12.8,192.33,68.6,0.0,4.217,17.1
w_0.35_0.30_0.25_0.10,GA,0.35|0.3|0.25|0.1,1,0.0,7.942,7.859,8.173,0.0,19.93,220.5,56.2,2.8667,2.159,181.7
w_0.35_0.30_0.25_0.10,GA,0.35|0.3|0.25|0.1,2,0.0,7.942,7.859,8.173,0.0,19.93,220.5,56.2,2.8667,2.159,181.5
w_0.45_0.35_0.10_0.10,GA,0.45|0.35|0.1|0.1,2,0.0,5.7065,5.482,6.176,0.0,15.43,600.63,188.93,169.4667,-0.077,210.8
w_0.45_0.35_0.10_0.10,GA,0.45|0.35|0.1|0.1,1,0.0,5.7065,5.482,6.176,0.0,15.43,600.63,188.93,169.4667,-0.077,211.1
w_0.30_0.30_0.30_0.10,GA,0.3|0.3|0.3|0.1,1,1.0,10.0,10.0,10.0,0.0,12.8,191.7,68.67,0.0,4.217,168.6
w_0.30_0.30_0.30_0.10,GA,0.3|0.3|0.3|0.1,2,1.0,10.0,10.0,10.0,0.0,12.87,190.5,69.27,0.0,4.217,168.7
