group,objective,n,spearman_rho,ci95_lo,ci95_hi
pooled (5 models x 5 seeds),H (max_level_m),67500,-0.3062,-0.313,-0.2993
pooled (5 models x 5 seeds),F (n_switches),67500,0.8806,0.8789,0.8823
pooled (5 models x 5 seeds),D (n_dryrun_proxy),67500,0.4671,0.4612,0.473
pooled (5 models x 5 seeds),U (n_intervals_100+170),67500,0.9477,0.9469,0.9485
Regular,H (max_level_m),13500,-0.351,-0.3657,-0.3361
Regular,F (n_switches),13500,0.9398,0.9378,0.9418
Regular,D (n_dryrun_proxy),13500,0.4955,0.4826,0.5081
Regular,U (n_intervals_100+170),13500,0.9581,0.9567,0.9594
GA-guided,H (max_level_m),13500,-0.0403,-0.0572,-0.0235
GA-guided,F (n_switches),13500,0.9242,0.9217,0.9266
GA-guided,D (n_dryrun_proxy),13500,0.5007,0.488,0.5133
GA-guided,U (n_intervals_100+170),13500,0.9593,0.9579,0.9606
PSO-guided,H (max_level_m),13500,-0.5057,-0.5181,-0.493
PSO-guided,F (n_switches),13500,0.9299,0.9276,0.9322
PSO-guided,D (n_dryrun_proxy),13500,0.4779,0.4648,0.4908
PSO-guided,U (n_intervals_100+170),13500,0.957,0.9556,0.9584
GA-only,H (max_level_m),13500,-0.411,-0.4249,-0.3968
GA-only,F (n_switches),13500,0.9668,0.9657,0.9679
GA-only,D (n_dryrun_proxy),13500,0.5602,0.5485,0.5717
GA-only,U (n_intervals_100+170),13500,0.9421,0.9402,0.944
PSO-only,H (max_level_m),13500,-0.411,-0.4249,-0.3969
PSO-only,F (n_switches),13500,0.9669,0.9658,0.968
PSO-only,D (n_dryrun_proxy),13500,0.5575,0.5457,0.569
PSO-only,U (n_intervals_100+170),13500,0.9421,0.9402,0.944
