w1,metric,n,rho,ci_lo,ci_hi
0.2,H (max_level_m),120,nan,nan,nan
0.2,F (n_switches),120,nan,nan,nan
0.2,D (n_dryrun_proxy),120,nan,nan,nan
0.2,U (n_intervals_100+170),120,nan,nan,nan
0.25,H (max_level_m),120,nan,nan,nan
0.25,F (n_switches),120,0.6594,0.5446,0.75
0.25,D (n_dryrun_proxy),120,nan,nan,nan
0.25,U (n_intervals_100+170),120,0.9538,0.9342,0.9676
0.27,H (max_level_m),120,-0.7203,-0.7967,-0.6213
0.27,F (n_switches),120,0.7271,0.6299,0.8018
0.27,D (n_dryrun_proxy),120,nan,nan,nan
0.27,U (n_intervals_100+170),120,0.9456,0.9228,0.9618
0.29,H (max_level_m),120,-0.6694,-0.7577,-0.557
0.29,F (n_switches),120,0.7045,0.6011,0.7846
0.29,D (n_dryrun_proxy),120,nan,nan,nan
0.29,U (n_intervals_100+170),120,0.956,0.9373,0.9691
0.31,H (max_level_m),120,-0.5293,-0.6471,-0.3867
0.31,F (n_switches),120,0.8567,0.8004,0.8981
0.31,D (n_dryrun_proxy),120,nan,nan,nan
0.31,U (n_intervals_100+170),120,0.9504,0.9295,0.9652
0.33,H (max_level_m),120,-0.5853,-0.692,-0.4537
0.33,F (n_switches),120,0.9048,0.866,0.9327
0.33,D (n_dryrun_proxy),120,nan,nan,nan
0.33,U (n_intervals_100+170),120,0.9527,0.9328,0.9669
0.35,H (max_level_m),120,-0.5328,-0.65,-0.3909
0.35,F (n_switches),120,0.9275,0.8975,0.949
0.35,D (n_dryrun_proxy),120,nan,nan,nan
0.35,U (n_intervals_100+170),120,0.9696,0.9566,0.9787
0.4,H (max_level_m),120,-0.2221,-0.386,-0.0446
0.4,F (n_switches),120,0.9433,0.9195,0.9602
0.4,D (n_dryrun_proxy),120,0.297,0.1244,0.4522
0.4,U (n_intervals_100+170),120,0.9687,0.9553,0.9781
0.45,H (max_level_m),120,0.209,0.0309,0.3742
0.45,F (n_switches),120,0.9559,0.9373,0.9691
0.45,D (n_dryrun_proxy),120,-0.1824,-0.3502,-0.0032
0.45,U (n_intervals_100+170),120,0.9643,0.9491,0.975
0.5,H (max_level_m),120,0.289,0.1157,0.4452
0.5,F (n_switches),120,0.9756,0.9652,0.983
0.5,D (n_dryrun_proxy),120,0.4566,0.3021,0.5878
0.5,U (n_intervals_100+170),120,0.964,0.9486,0.9748
